kind,old_location,cell,old_token,new_value,unit,target,population,n,artifact,row_key,numeric_check,semantic_result,old_target
paragraph,D-P118,,10.69,10.807545499294342,m/s,E0 conditional minimum,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,pressure row=1;minimum_ms,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,A-P073,,10.69,10.807545499294342,m/s,E0 conditional minimum,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,pressure row=1;minimum_ms,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P101,,10.69,10.807545499294342,m/s,E0 conditional minimum,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,pressure row=1;minimum_ms,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P017,,9.87,9.91022238832415,m/s mean,gust descriptive,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\H0_R1_B1_shape.csv,pressure row=1;gust_mean,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P017,,5.22,5.279979383259645,m/s SD,gust descriptive,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\H0_R1_B1_shape.csv,pressure row=1;gust_sd,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P030,,47.13,47.12833410550003,customers,customer comparator,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\customer_aggregation_comparison.json,"R05 CUSTOMER_COMPARATOR_SUMMARY: main, common n60436; minimum numeric stage",passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,A-P018,,47.13,47.12833410550003,customers,customer comparator,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\customer_aggregation_comparison.json,"R05 CUSTOMER_COMPARATOR_SUMMARY: main, common n60436; minimum numeric stage",passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P030,,93.02,93.02572969753128,customers,customer comparator,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\customer_aggregation_comparison.json,R05 customer main aggregate_C common mean,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,A-P018,,93.02,93.02572969753128,customers,customer comparator,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\customer_aggregation_comparison.json,R05 customer main aggregate_C common mean,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P030,,1.97,1.9738811367549456,ratio of means on common population,customer comparator,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\customer_aggregation_comparison.json,"R05 CUSTOMER_COMPARATOR_SUMMARY: main, common n60436; minimum numeric stage",passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,A-P018,,1.97,1.9738811367549456,ratio of means on common population,customer comparator,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\customer_aggregation_comparison.json,"R05 CUSTOMER_COMPARATOR_SUMMARY: main, common n60436; minimum numeric stage",passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P073,,0.157286,0.16994822249025912,standardized gust,E0 conditional minimum,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,pressure row=1,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P073,,9.656,9.647571090290969,m/s,E0 conditional minimum,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,pressure row=0,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P073,,11.732,11.967519908297716,m/s,E0 conditional minimum,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,pressure row=2,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,A-P076,,−0.032325899095631154,-0.036035759551102414,beta1,E0,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,pressure row=1;beta1,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,A-P076,,0.10276170747389514,0.106019818927991,beta2,E0,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,pressure row=1;beta2,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,A-P076,,−0.0408384359554068,-0.046583620077591446,beta3_interaction,E0,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,pressure row=1;beta3_interaction,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,A-P076,,9.87229677581956,9.91022238832415,gust_mean,E0,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,pressure row=1;gust_mean,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,A-P076,,5.222713076874045,5.279979383259645,gust_sd,E0,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixH_pressure_minima.json,pressure row=1;gust_sd,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P006,,"1,601",1659.0,events,event description; not weather-only,main Eunice,1659,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\storm_LAD_details.csv,main;window=Eunice;events,passed,explicit target/population/unit supplied; full sentence must follow candidate,main Eunice
paragraph,D-P006,,101,101.0,LAD,event description; not weather-only,main Eunice,1659,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\storm_LAD_details.csv,main;window=Eunice;LAD,passed,explicit target/population/unit supplied; full sentence must follow candidate,main Eunice
paragraph,D-P006,,"376,712",395470.0,customers,event description; not weather-only,main Eunice,1659,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\storm_LAD_details.csv,main;window=Eunice;customers,passed,explicit target/population/unit supplied; full sentence must follow candidate,main Eunice
paragraph,D-P006,,52.7,54.56398432790837,hours,event description; not weather-only,main Eunice,1659,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\storm_LAD_details.csv,main;window=Eunice;duration_mean_hours,passed,explicit target/population/unit supplied; full sentence must follow candidate,main Eunice
paragraph,D-P006,,"1,187",1132.0,events,event description; not weather-only,main Franklin,1132,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\storm_LAD_details.csv,main;window=Franklin;events,passed,explicit target/population/unit supplied; full sentence must follow candidate,main Franklin
paragraph,D-P006,,39.4,39.400001525878906,"m/s cached proxy, observed/3-second semantics unverified",event description; not weather-only,main Eunice,1659,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\storm_LAD_details.csv,main;window=Eunice;gust_max_ms,passed,explicit target/population/unit supplied; full sentence must follow candidate,main Eunice
paragraph,D-P102,,27,25.0,unique UTC days; summed windows remain27,storm union descriptive,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\storm_statistics.csv,main UNIQUE_ANY; calendar1096; unique_days25; events4452/60436; customers745372/5622103,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P102,,2.46,2.281021897810219,percent of calendar days,storm union descriptive,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\storm_statistics.csv,main UNIQUE_ANY; calendar1096; unique_days25; events4452/60436; customers745372/5622103,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P102,,8.15,7.366470315705871,percent events,storm union descriptive,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\storm_statistics.csv,main UNIQUE_ANY; calendar1096; unique_days25; events4452/60436; customers745372/5622103,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P102,,14.72,13.257885883627532,percent customers,storm union descriptive,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\storm_statistics.csv,main UNIQUE_ANY; calendar1096; unique_days25; events4452/60436; customers745372/5622103,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P102,,3.3,3.229460586405454,event concentration ratio,storm union descriptive,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\storm_statistics.csv,main UNIQUE_ANY; calendar1096; unique_days25; events4452/60436; customers745372/5622103,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P102,,6,5.81225717138231,customer concentration ratio,storm union descriptive,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\storm_statistics.csv,main UNIQUE_ANY; calendar1096; unique_days25; events4452/60436; customers745372/5622103,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P101,,0.15,0.38224634294109494,R² percentage points; sign changes to positive,E0 pooled OOF increment,weather all_valid,9857,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\core_metrics.csv,weather E0 gust_from_control ×100,passed,explicit target/population/unit supplied; full sentence must follow candidate,weather E0
paragraph,D-P101,,63.70,65.02912171553379,percent within population,support description,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixG_low_gust_support.csv,low_gust_support main below_pct,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,A-P073,,63.70,65.02912171553379,percent within population,support description,main,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixG_low_gust_support.csv,low_gust_support main below_pct,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P101,,36.83,37.88170843055696,percent within population,support description,weather,9857,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixG_low_gust_support.csv,low_gust_support weather below_pct,passed,explicit target/population/unit supplied; full sentence must follow candidate,weather
paragraph,A-P073,,36.83,37.88170843055696,percent within population,support description,weather,9857,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixG_low_gust_support.csv,low_gust_support weather below_pct,passed,explicit target/population/unit supplied; full sentence must follow candidate,weather
paragraph,A-P073,,57.8,58.253452347501096,percent ratio of within-group shares,support description,ratio of weather/main within-group shares,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixG_low_gust_support.csv,weather/main below_pct ×100,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P101,,6.89,6.933842239185751,percent; main-population deciles,weather membership proportion,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixG_main_gust_deciles.csv,main decile lowest weather_pct,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,A-P071,,6.89,6.933842239185751,percent; main-population deciles,weather membership proportion,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixG_main_gust_deciles.csv,main decile lowest weather_pct,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P101,,56.10,57.07138092061374,percent; main-population deciles,weather membership proportion,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixG_main_gust_deciles.csv,main decile highest weather_pct,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,A-P071,,56.10,57.07138092061374,percent; main-population deciles,weather membership proportion,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixG_main_gust_deciles.csv,main decile highest weather_pct,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,A-P091,,10.46,10.4485500028908,full-fit diagnostic factor; not applied,E0,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\residual_diagnostics.csv,residual diagnostics E0 mean_exp_residual_diagnostic_only,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,A-P091,,2.20,3.4635270260323283,full-fit diagnostic factor; not applied,R0c,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\residual_diagnostics.csv,residual diagnostics R0c mean_exp_residual_diagnostic_only,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P038,,0.0608,0.0780610485572144,"mean fold coefficient, overlapping training folds",R0c overlapping training-fold summary,six_groups all_valid,117108,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixC_fold_summary.csv,six_groups;zG2;mean_coefficient,passed,explicit target/population/unit supplied; full sentence must follow candidate,six_groups
paragraph,D-P038,,0.0792,0.0835022011747216,"mean fold coefficient, overlapping training folds",R0c overlapping training-fold summary,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixC_fold_summary.csv,main;zG2;mean_coefficient,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P038,,0.0257,0.0189203050582171,"mean fold coefficient, overlapping training folds",R0c overlapping training-fold summary,six_groups all_valid,117108,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixC_fold_summary.csv,six_groups;zG;mean_coefficient,passed,explicit target/population/unit supplied; full sentence must follow candidate,six_groups
paragraph,D-P038,,0.0002,-0.0055458424425808,"mean fold coefficient, overlapping training folds",R0c overlapping training-fold summary,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixC_fold_summary.csv,main;zG;mean_coefficient,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P038,,"116,064",117108.0,events,R0c overlapping training-fold summary,six_groups all_valid,117108,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixC_fold_summary.csv,six_groups;zG;evaluation_n,passed,explicit target/population/unit supplied; full sentence must follow candidate,six_groups
paragraph,D-P038,,"59,834",60436.0,events,R0c overlapping training-fold summary,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\AppendixC_fold_summary.csv,main;zG;evaluation_n,passed,explicit target/population/unit supplied; full sentence must follow candidate,main
paragraph,D-P097,,"9,758",9857.0,events,E0/R0c descriptive,weather all_valid,9857,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\core_metrics.csv,weather E0 G and R0c GK n,passed,explicit target/population/unit supplied; full sentence must follow candidate,weather
paragraph,D-P097,,"9,758",9857.0,events,E0/R0c descriptive,weather all_valid,9857,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\core_metrics.csv,weather E0 G and R0c GK n,passed,explicit target/population/unit supplied; full sentence must follow candidate,weather
paragraph,D-P097,,"9,857",9857.0,events,E0/R0c descriptive,weather all_valid,9857,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\core_metrics.csv,weather E0 G and R0c GK n,passed,explicit target/population/unit supplied; full sentence must follow candidate,weather
paragraph,D-P093,,1.96,1.94544161917769,ratio of exponentiated reference values;111 LAD,E0,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\regional_reference_ranges.csv,E0 regional_reference_ranges map_max_min_ratio,passed,explicit target/population/unit supplied; full sentence must follow candidate,E0
paragraph,D-P093,,1.41,1.4540999663905203,ratio of exponentiated reference values;111 LAD,R0c,main all_valid,60436,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\regional_reference_ranges.csv,R0c regional_reference_ranges map_max_min_ratio,passed,explicit target/population/unit supplied; full sentence must follow candidate,R0c
