group,target,term,coefficient,covariance,SE,variance_status,n,k,model_path,p_normal_CR1_descriptive,p_log10_normal_CR1,p_status
main,E0,month_6,0.2605041679520892,LAD_CR1,0.0589512581096284,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,9.9169866878369e-06,-5.003620269745601,finite_normal_Wald_descriptive
main,E0,month_7,0.3058443417369488,LAD_CR1,0.0571727006656287,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,8.82062594190164e-08,-7.05450059474707,finite_normal_Wald_descriptive
main,E0,month_8,0.1438800049628603,LAD_CR1,0.0555982251278473,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.0096576329922399,-2.015129302608638,finite_normal_Wald_descriptive
main,E0,month_9,0.0613211430509694,LAD_CR1,0.0549354830522522,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.264319732667847,-0.5778704136035736,finite_normal_Wald_descriptive
main,E0,month_10,-0.0532922632087104,LAD_CR1,0.0512158317661484,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.298087806364374,-0.5256557889354244,finite_normal_Wald_descriptive
main,E0,month_11,-0.1242400583406503,LAD_CR1,0.0425351316239079,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.0034904310683331,-2.45712093434807,finite_normal_Wald_descriptive
main,E0,month_12,0.074988503961002,LAD_CR1,0.0402934278558432,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.0627356441194201,-1.202485638659821,finite_normal_Wald_descriptive
main,E0,const,3.2844960164588817,date_CR1,0.2623288351661243,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,5.7649001487965296e-36,-35.23920821052057,finite_normal_Wald_descriptive
main,E0,zG,-0.0360357595511024,date_CR1,0.0209047607090193,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.0847428053436245,-1.0718971631213212,finite_normal_Wald_descriptive
main,E0,zG2,0.106019818927991,date_CR1,0.0323708397682656,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.0010560053608668,-2.976333877077795,finite_normal_Wald_descriptive
main,E0,zRain24,0.0457429738376808,date_CR1,0.0158238301835766,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.0038430542156136,-2.4153234887139603,finite_normal_Wald_descriptive
main,E0,zTemp,-0.0111336338261673,date_CR1,0.039573199460804,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.7784475035216514,-0.10877066980054845,finite_normal_Wald_descriptive
main,E0,zPressure,-0.0904688695588858,date_CR1,0.0232605440965481,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.0001005046612208,-3.9978137959993343,finite_normal_Wald_descriptive
main,E0,zG_zPressure,-0.0465836200775914,date_CR1,0.0286926298604515,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.1044741106467561,-0.9809913171726131,finite_normal_Wald_descriptive
main,E0,urban_binary,-0.155834889891181,date_CR1,0.0226954924820706,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,6.5871562285288646e-12,-11.181302036211832,finite_normal_Wald_descriptive
main,E0,log_population,-0.0775143531757319,date_CR1,0.0203186467311881,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.000136217790379,-3.865766168789539,finite_normal_Wald_descriptive
main,E0,income_deprivation_rate,-3.1803620830587227,date_CR1,0.3709931576409992,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,1.0120727173958027e-17,-16.994788282329054,finite_normal_Wald_descriptive
main,E0,deprivation_gap_pct,0.175698010750466,date_CR1,0.1823385024616434,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.3352557772121717,-0.4746237295397525,finite_normal_Wald_descriptive
main,E0,morans_i,-0.0258985596323963,date_CR1,0.074576857235685,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.7283859238145521,-0.13763845561288812,finite_normal_Wald_descriptive
main,E0,year_2022,0.0908714706377091,date_CR1,0.0333828950203515,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.006486914443536,-2.187961829978703,finite_normal_Wald_descriptive
main,E0,year_2023,0.0162136197918383,date_CR1,0.0334253954498506,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.6276274722349469,-0.20229805492111266,finite_normal_Wald_descriptive
main,E0,year_2024,-0.018422771108352,date_CR1,0.0683871500849658,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.7876300673273384,-0.10367771327401183,finite_normal_Wald_descriptive
main,E0,month_2,0.0237787695054347,date_CR1,0.0774332952782864,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.7587770427788758,-0.11988581740551452,finite_normal_Wald_descriptive
main,E0,month_3,-0.0250364165182386,date_CR1,0.0655212817732529,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.7023788742884141,-0.15342855934276153,finite_normal_Wald_descriptive
main,E0,month_4,-0.0803578714886228,date_CR1,0.0675371031417685,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.2341120512805277,-0.6305762297466834,finite_normal_Wald_descriptive
main,E0,month_5,-0.0043908656474655,date_CR1,0.0777744709666743,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.9549782380486276,-0.020006524963982444,finite_normal_Wald_descriptive
main,E0,month_6,0.2605041679520892,date_CR1,0.1067657786199115,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.0146889115847389,-1.833010383260403,finite_normal_Wald_descriptive
main,E0,month_7,0.3058443417369488,date_CR1,0.0805344180404449,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.0001460538343913,-3.835487036888627,finite_normal_Wald_descriptive
main,E0,month_8,0.1438800049628603,date_CR1,0.1152476249219284,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.2118691421705816,-0.6739322918069951,finite_normal_Wald_descriptive
main,E0,month_9,0.0613211430509694,date_CR1,0.1016543766832109,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.5463545582188976,-0.26252542926698735,finite_normal_Wald_descriptive
main,E0,month_10,-0.0532922632087104,date_CR1,0.0818563363548529,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.5150166130033447,-0.288178761600921,finite_normal_Wald_descriptive
main,E0,month_11,-0.1242400583406503,date_CR1,0.0736680645423163,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.0917024936485062,-1.0376188544819815,finite_normal_Wald_descriptive
main,E0,month_12,0.074988503961002,date_CR1,0.0637961529038769,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.2398190167823077,-0.6201163818870397,finite_normal_Wald_descriptive
main,E0,const,3.2844960164588817,LAD_date_two_way_CR1,1.0453495068760612,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.0016779372359572,-2.7752242881957723,finite_normal_Wald_descriptive
main,E0,zG,-0.0360357595511024,LAD_date_two_way_CR1,0.0217379227357945,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.0973705554475519,-1.0115723525661648,finite_normal_Wald_descriptive
main,E0,zG2,0.106019818927991,LAD_date_two_way_CR1,0.0319791698585505,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.000915522257769,-3.0383310928600755,finite_normal_Wald_descriptive
main,E0,zRain24,0.0457429738376808,LAD_date_two_way_CR1,0.0162110826505447,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.0047768353140821,-2.3208597311717973,finite_normal_Wald_descriptive
main,E0,zTemp,-0.0111336338261673,LAD_date_two_way_CR1,0.0417683276315402,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.7898103828238578,-0.10247716133957468,finite_normal_Wald_descriptive
main,E0,zPressure,-0.0904688695588858,LAD_date_two_way_CR1,0.0231038213445497,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,9.01222885335129e-05,-4.045167788487744,finite_normal_Wald_descriptive
main,E0,zG_zPressure,-0.0465836200775914,LAD_date_two_way_CR1,0.0276250385102014,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.0917413925737066,-1.0374346718507954,finite_normal_Wald_descriptive
main,E0,urban_binary,-0.155834889891181,LAD_date_two_way_CR1,0.0768067868138772,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.0424663544497163,-1.3719550196857262,finite_normal_Wald_descriptive
main,E0,log_population,-0.0775143531757319,LAD_date_two_way_CR1,0.0886789298707125,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.3820631799143255,-0.41786481400103215,finite_normal_Wald_descriptive
main,E0,income_deprivation_rate,-3.1803620830587227,LAD_date_two_way_CR1,0.9167644178458074,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.0005221739997746,-3.2821847564799653,finite_normal_Wald_descriptive
main,E0,deprivation_gap_pct,0.175698010750466,LAD_date_two_way_CR1,0.5426878647144462,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.7461233864231571,-0.12718934731055803,finite_normal_Wald_descriptive
main,E0,morans_i,-0.0258985596323963,LAD_date_two_way_CR1,0.2394599825738235,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.9138735180281524,-0.039113907355336965,finite_normal_Wald_descriptive
main,E0,year_2022,0.0908714706377091,LAD_date_two_way_CR1,0.0358144768616753,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.0111716538158385,-1.9518825305614784,finite_normal_Wald_descriptive
main,E0,year_2023,0.0162136197918383,LAD_date_two_way_CR1,0.0386754495752843,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.6750535084489202,-0.17066180123849453,finite_normal_Wald_descriptive
main,E0,year_2024,-0.018422771108352,LAD_date_two_way_CR1,0.0712239474886048,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.7958977489196756,-0.0991427236346659,finite_normal_Wald_descriptive
main,E0,month_2,0.0237787695054347,LAD_date_two_way_CR1,0.0791292585265294,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.7637916778635805,-0.11702507793129839,finite_normal_Wald_descriptive
main,E0,month_3,-0.0250364165182386,LAD_date_two_way_CR1,0.0692549644434952,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.7177176445712747,-0.14404637681945281,finite_normal_Wald_descriptive
main,E0,month_4,-0.0803578714886228,LAD_date_two_way_CR1,0.0693794846403421,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.2467674191398821,-0.6077121810319074,finite_normal_Wald_descriptive
main,E0,month_5,-0.0043908656474655,LAD_date_two_way_CR1,0.080193688008543,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.9563350396328576,-0.01938993160178513,finite_normal_Wald_descriptive
main,E0,month_6,0.2605041679520892,LAD_date_two_way_CR1,0.108301133401837,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.0161561517823134,-1.7916620754134414,finite_normal_Wald_descriptive
main,E0,month_7,0.3058443417369488,LAD_date_two_way_CR1,0.0812691264619824,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.0001676508616485,-3.7755942101548863,finite_normal_Wald_descriptive
main,E0,month_8,0.1438800049628603,LAD_date_two_way_CR1,0.1135966533931596,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.2053031275088389,-0.6876044347040055,finite_normal_Wald_descriptive
main,E0,month_9,0.0613211430509694,LAD_date_two_way_CR1,0.1017511123983901,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.5467360890349563,-0.26222225818920797,finite_normal_Wald_descriptive
main,E0,month_10,-0.0532922632087104,LAD_date_two_way_CR1,0.0837154206127482,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.524393002161398,-0.2803431124490929,finite_normal_Wald_descriptive
main,E0,month_11,-0.1242400583406503,LAD_date_two_way_CR1,0.0728935458349702,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.0883056185990824,-1.05401166279902,finite_normal_Wald_descriptive
main,E0,month_12,0.074988503961002,LAD_date_two_way_CR1,0.0628401658505382,valid,60436,26,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\full_model.json,0.2327435913745107,-0.6331222685378317,finite_normal_Wald_descriptive
main,R0c,const,1.7153754037082043,LAD_CR1,0.2626026598084136,valid,60436,28,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_R0c\full_model.json,6.480672108854854e-11,-10.188379951223496,finite_normal_Wald_descriptive
main,R0c,zG,-0.007378949069827,LAD_CR1,0.0092688178419489,valid,60436,28,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_R0c\full_model.json,0.4259712062647932,-0.37061975625630367,finite_normal_Wald_descriptive
main,R0c,zG2,0.0878421321724063,LAD_CR1,0.0064155132731828,valid,60436,28,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_R0c\full_model.json,1.1312131510408097e-42,-41.94645555458036,finite_normal_Wald_descriptive
main,R0c,zRain24,0.050303766600442,LAD_CR1,0.0062252037449519,valid,60436,28,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_R0c\full_model.json,6.441618509088131e-16,-15.191004998905308,finite_normal_Wald_descriptive
main,R0c,zTemp,-0.0665531180686735,LAD_CR1,0.0100797025504281,valid,60436,28,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_R0c\full_model.json,4.0377225196387406e-11,-10.393863529951672,finite_normal_Wald_descriptive
main,R0c,zPressure,-0.0438723123973069,LAD_CR1,0.0079596366093746,valid,60436,28,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_R0c\full_model.json,3.5508418088515284e-08,-7.4496686752267385,finite_normal_Wald_descriptive
main,R0c,zG_zPressure,0.0208228827693973,LAD_CR1,0.0096959121082528,valid,60436,28,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_R0c\full_model.json,0.0317460216577962,-1.4983106917994706,finite_normal_Wald_descriptive
main,R0c,urban_binary,0.1378421854210411,LAD_CR1,0.0386652064007553,valid,60436,28,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_R0c\full_model.json,0.0003638301910114,-3.439101265564922,finite_normal_Wald_descriptive
main,R0c,log_population,0.0095692563411053,LAD_CR1,0.0230079500389576,valid,60436,28,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_R0c\full_model.json,0.6774752307207237,-0.16910657847267865,finite_normal_Wald_descriptive
main,R0c,income_deprivation_rate,0.5956553750215532,LAD_CR1,0.5626992877760234,valid,60436,28,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_R0c\full_model.json,0.2897966353601248,-0.5379066611457763,finite_normal_Wald_descriptive
main,R0c,deprivation_gap_pct,-0.3152592127934771,LAD_CR1,0.4711834563559194,valid,60436,28,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_R0c\full_model.json,0.5034447371860942,-0.29804819472771465,finite_normal_Wald_descriptive
main,R0c,morans_i,0.2891675381938069,LAD_CR1,0.1314162683138128,valid,60436,28,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_R0c\full_model.json,0.0277789694000587,-1.5562838706275641,finite_normal_Wald_descriptive
main,R0c,year_2022,0.0456390303840995,LAD_CR1,0.0193486466897956,valid,60436,28,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_R0c\full_model.json,0.0183355571881804,-1.7367058879899684,finite_normal_Wald_descriptive
main,R0c,year_2023,-0.1191991390006739,LAD_CR1,0.021273003131636,valid,60436,28,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_R0c\full_model.json,2.103018769700073e-08,-7.677156851164944,finite_normal_Wald_descriptive
main,R0c,year_2024,-0.2441520265811604,LAD_CR1,0.0332016630590274,valid,60436,28,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_R0c\full_model.json,1.9292648687085552e-13,-12.714608143988105,finite_normal_Wald_descriptive
main,R0c,month_2,0.3435907896634211,LAD_CR1,0.0433156545156066,valid,60436,28,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_R0c\full_model.json,2.1520307951971654e-15,-14.667151518280505,finite_normal_Wald_descriptive
main,R0c,month_3,-0.0294280765088757,LAD_CR1,0.0277829005423115,valid,60436,28,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_R0c\full_model.json,0.2895016865918596,-0.5383489017969796,finite_normal_Wald_descriptive
main,R0c,month_4,-0.0552703673494561,LAD_CR1,0.0350072259511481,valid,60436,28,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_R0c\full_model.json,0.1143756531662202,-0.9416664127884442,finite_normal_Wald_descriptive
main,R0c,month_5,-0.0691484612645284,LAD_CR1,0.0342965495932852,valid,60436,28,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_R0c\full_model.json,0.0437798040672395,-1.3587261864114655,finite_normal_Wald_descriptive
main,R0c,month_6,0.1282879138220289,LAD_CR1,0.0422455693938625,valid,60436,28,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_R0c\full_model.json,0.0023916847755152,-2.621296061002869,finite_normal_Wald_descriptive
