old_location,cell,old_numeric_token,old_context,new_value,unit,status,current_artifact,MR,CL,Word_status
D-P006,,2022,"Storms and other extreme weather events are the most common cause of power disruptions in Great Britain [1]. In November 2021, Storm Arwen alone left more than one million customers without power [2]. Three months later, three named storms struck the United Kingdom within five days: Dudley, Eunice, and Franklin. Within the service area of UK Power Networks (UKPN), which covers London, the South East, and the East of England, Storm Eunice produced a peak observed gust of 39.4 m/s in Lewes, East Sussex, on 18 February 2022. This value is the highest gust recorded across the entire study period examined in this paper. The storm was associated with 1,601 weather-related outage events across 101 Local Authority Districts, a cumulative estimate of 376,712 affected customers, and a mean restoration time of 52.7 hours. Two days later, Storm Franklin affected the same network and produced a further 1,187 events.",,requires_semantic_interpretation,citation_date_equation_index_or_definition; no model-derived replacement; source wording limits remain in MR,,"MR05,MR27","CL01,CL02,CL05",not_modified
D-P006,,"1,601","Storms and other extreme weather events are the most common cause of power disruptions in Great Britain [1]. In November 2021, Storm Arwen alone left more than one million customers without power [2]. Three months later, three named storms struck the United Kingdom within five days: Dudley, Eunice, and Franklin. Within the service area of UK Power Networks (UKPN), which covers London, the South East, and the East of England, Storm Eunice produced a peak observed gust of 39.4 m/s in Lewes, East Sussex, on 18 February 2022. This value is the highest gust recorded across the entire study period examined in this paper. The storm was associated with 1,601 weather-related outage events across 101 Local Authority Districts, a cumulative estimate of 376,712 affected customers, and a mean restoration time of 52.7 hours. Two days later, Storm Franklin affected the same network and produced a further 1,187 events.",1659,events,current_main_population; old weather-related label cannot be retained,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\storm_LAD_details.csv,"MR05,MR27","CL01,CL02,CL05",not_modified
D-P006,,101,"Storms and other extreme weather events are the most common cause of power disruptions in Great Britain [1]. In November 2021, Storm Arwen alone left more than one million customers without power [2]. Three months later, three named storms struck the United Kingdom within five days: Dudley, Eunice, and Franklin. Within the service area of UK Power Networks (UKPN), which covers London, the South East, and the East of England, Storm Eunice produced a peak observed gust of 39.4 m/s in Lewes, East Sussex, on 18 February 2022. This value is the highest gust recorded across the entire study period examined in this paper. The storm was associated with 1,601 weather-related outage events across 101 Local Authority Districts, a cumulative estimate of 376,712 affected customers, and a mean restoration time of 52.7 hours. Two days later, Storm Franklin affected the same network and produced a further 1,187 events.",101,LAD,current_main_population; old weather-related label cannot be retained,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\storm_LAD_details.csv,"MR05,MR27","CL01,CL02,CL05",not_modified
D-P006,,"376,712","Storms and other extreme weather events are the most common cause of power disruptions in Great Britain [1]. In November 2021, Storm Arwen alone left more than one million customers without power [2]. Three months later, three named storms struck the United Kingdom within five days: Dudley, Eunice, and Franklin. Within the service area of UK Power Networks (UKPN), which covers London, the South East, and the East of England, Storm Eunice produced a peak observed gust of 39.4 m/s in Lewes, East Sussex, on 18 February 2022. This value is the highest gust recorded across the entire study period examined in this paper. The storm was associated with 1,601 weather-related outage events across 101 Local Authority Districts, a cumulative estimate of 376,712 affected customers, and a mean restoration time of 52.7 hours. Two days later, Storm Franklin affected the same network and produced a further 1,187 events.",395470,customers,current_main_population; old weather-related label cannot be retained,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\storm_LAD_details.csv,"MR05,MR27","CL01,CL02,CL05",not_modified
D-P006,,52.7,"Storms and other extreme weather events are the most common cause of power disruptions in Great Britain [1]. In November 2021, Storm Arwen alone left more than one million customers without power [2]. Three months later, three named storms struck the United Kingdom within five days: Dudley, Eunice, and Franklin. Within the service area of UK Power Networks (UKPN), which covers London, the South East, and the East of England, Storm Eunice produced a peak observed gust of 39.4 m/s in Lewes, East Sussex, on 18 February 2022. This value is the highest gust recorded across the entire study period examined in this paper. The storm was associated with 1,601 weather-related outage events across 101 Local Authority Districts, a cumulative estimate of 376,712 affected customers, and a mean restoration time of 52.7 hours. Two days later, Storm Franklin affected the same network and produced a further 1,187 events.",54.56398432790837,hours,current_main_population; old weather-related label cannot be retained,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\storm_LAD_details.csv,"MR05,MR27","CL01,CL02,CL05",not_modified
D-P006,,"1,187","Storms and other extreme weather events are the most common cause of power disruptions in Great Britain [1]. In November 2021, Storm Arwen alone left more than one million customers without power [2]. Three months later, three named storms struck the United Kingdom within five days: Dudley, Eunice, and Franklin. Within the service area of UK Power Networks (UKPN), which covers London, the South East, and the East of England, Storm Eunice produced a peak observed gust of 39.4 m/s in Lewes, East Sussex, on 18 February 2022. This value is the highest gust recorded across the entire study period examined in this paper. The storm was associated with 1,601 weather-related outage events across 101 Local Authority Districts, a cumulative estimate of 376,712 affected customers, and a mean restoration time of 52.7 hours. Two days later, Storm Franklin affected the same network and produced a further 1,187 events.",1132,events,current_value_computed_context_requires_revision,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\tables\storm_LAD_details.csv,"MR05,MR27","CL01,CL02,CL05",not_modified
D-P008,,3,"Existing empirical work on power outage duration and customer impact under severe weather has established regression- and machine-learning-based approaches for hurricane- and ice-storm-affected US utilities [3–6]. A separate line of engineering research addresses the wind vulnerability of individual distribution and transmission structures. It derives fragility curves, expressing the probability of structural failure as a function of wind speed, from finite element simulation or physical testing of particular structure types [7–10]. These studies motivate examining nonlinear wind response, but a component failure probability and the consequences of an observed network outage are different outcomes.",,requires_semantic_interpretation,citation_date_equation_index_or_definition; no model-derived replacement; source wording limits remain in MR,,MR27,"CL01,CL05",not_modified
D-P008,,6,"Existing empirical work on power outage duration and customer impact under severe weather has established regression- and machine-learning-based approaches for hurricane- and ice-storm-affected US utilities [3–6]. A separate line of engineering research addresses the wind vulnerability of individual distribution and transmission structures. It derives fragility curves, expressing the probability of structural failure as a function of wind speed, from finite element simulation or physical testing of particular structure types [7–10]. These studies motivate examining nonlinear wind response, but a component failure probability and the consequences of an observed network outage are different outcomes.",,requires_semantic_interpretation,citation_date_equation_index_or_definition; no model-derived replacement; source wording limits remain in MR,,MR27,"CL01,CL05",not_modified
D-P008,,7,"Existing empirical work on power outage duration and customer impact under severe weather has established regression- and machine-learning-based approaches for hurricane- and ice-storm-affected US utilities [3–6]. A separate line of engineering research addresses the wind vulnerability of individual distribution and transmission structures. It derives fragility curves, expressing the probability of structural failure as a function of wind speed, from finite element simulation or physical testing of particular structure types [7–10]. These studies motivate examining nonlinear wind response, but a component failure probability and the consequences of an observed network outage are different outcomes.",,requires_semantic_interpretation,citation_date_equation_index_or_definition; no model-derived replacement; source wording limits remain in MR,,MR27,"CL01,CL05",not_modified
D-P008,,10,"Existing empirical work on power outage duration and customer impact under severe weather has established regression- and machine-learning-based approaches for hurricane- and ice-storm-affected US utilities [3–6]. A separate line of engineering research addresses the wind vulnerability of individual distribution and transmission structures. It derives fragility curves, expressing the probability of structural failure as a function of wind speed, from finite element simulation or physical testing of particular structure types [7–10]. These studies motivate examining nonlinear wind response, but a component failure probability and the consequences of an observed network outage are different outcomes.",,requires_semantic_interpretation,citation_date_equation_index_or_definition; no model-derived replacement; source wording limits remain in MR,,MR27,"CL01,CL05",not_modified
D-P010,,6,"This study addresses two questions within that operational setting. First, is there a consistent nonlinear association between gust intensity and the consequences of recorded outages, and how stable is the location of any fitted minimum? Second, does the predictive contribution of gust relative to affected-customer scale in a restoration-duration model change when attention is restricted to weather-attributed incidents? Prior work has investigated influential hazard and infrastructure predictors [6]; the comparison here concerns these two particular variable groups within the same network under different cause-based sample definitions.",,requires_semantic_interpretation,citation_date_equation_index_or_definition; no model-derived replacement; source wording limits remain in MR,,"MR13,MR18,MR26","CL01,CL02,CL03,CL04,CL05",not_modified
D-P011,,2021,"Addressing both questions requires an observational record long enough, and varied enough, to include both routine operating conditions and a number of distinct severe wind events within the same network. The UKPN dataset examined in this paper spans three years of continuous operation, from April 2021 to March 2024, and includes seven officially named storms, among them Storm Eunice described above. This combination of duration and event coverage makes it possible to estimate a continuous response function across the full range of observed wind conditions, and to examine that function specifically under the seven storm events, rather than relying on a single simulated structure or a short observation window.",,requires_semantic_interpretation,citation_date_equation_index_or_definition; no model-derived replacement; source wording limits remain in MR,,MR14,CL04,not_modified
D-P011,,2024,"Addressing both questions requires an observational record long enough, and varied enough, to include both routine operating conditions and a number of distinct severe wind events within the same network. The UKPN dataset examined in this paper spans three years of continuous operation, from April 2021 to March 2024, and includes seven officially named storms, among them Storm Eunice described above. This combination of duration and event coverage makes it possible to estimate a continuous response function across the full range of observed wind conditions, and to examine that function specifically under the seven storm events, rather than relying on a single simulated structure or a short observation window.",,requires_semantic_interpretation,citation_date_equation_index_or_definition; no model-derived replacement; source wording limits remain in MR,,MR14,CL04,not_modified
D-P012,,2021,"The analysis uses UKPN outage records from April 2021 to March 2024. Separate quadratic specifications describe affected customers and restoration duration conditional on an incident having occurred. The exposure model’s fitted minimum is evaluated at a stated pressure reference, and nested-model comparisons assess the incremental predictive contribution of gust and affected customers to recovery duration. Retrospective temporal analyses examine sample sensitivity, while seven named storms provide a descriptive assessment of fitted performance during severe weather. The development history limits the independence of the temporal evidence, as explained in Section 3.2 and Appendix E.",,requires_semantic_interpretation,citation_date_equation_index_or_definition; no model-derived replacement; source wording limits remain in MR,,MR22,"CL03,CL05",not_modified
D-P012,,2024,"The analysis uses UKPN outage records from April 2021 to March 2024. Separate quadratic specifications describe affected customers and restoration duration conditional on an incident having occurred. The exposure model’s fitted minimum is evaluated at a stated pressure reference, and nested-model comparisons assess the incremental predictive contribution of gust and affected customers to recovery duration. Retrospective temporal analyses examine sample sensitivity, while seven named storms provide a descriptive assessment of fitted performance during severe weather. The development history limits the independence of the temporal evidence, as explained in Section 3.2 and Appendix E.",,requires_semantic_interpretation,citation_date_equation_index_or_definition; no model-derived replacement; source wording limits remain in MR,,MR22,"CL03,CL05",not_modified
D-P012,,3.2,"The analysis uses UKPN outage records from April 2021 to March 2024. Separate quadratic specifications describe affected customers and restoration duration conditional on an incident having occurred. The exposure model’s fitted minimum is evaluated at a stated pressure reference, and nested-model comparisons assess the incremental predictive contribution of gust and affected customers to recovery duration. Retrospective temporal analyses examine sample sensitivity, while seven named storms provide a descriptive assessment of fitted performance during severe weather. The development history limits the independence of the temporal evidence, as explained in Section 3.2 and Appendix E.",,requires_semantic_interpretation,citation_date_equation_index_or_definition; no model-derived replacement; source wording limits remain in MR,,MR22,"CL03,CL05",not_modified
D-P013,,2,"Section 2 describes the data, incident-level outcome construction and sample. Section 3 presents the regression specifications, model-development history and evaluation procedures. Section 4.1 reports gust curvature and conditional fitted minima; Sections 4.2 and 4.3 examine predictive contributions and storm-period fitted performance; Section 4.4 reports retrospective temporal and clustering checks. Section 5 discusses interpretation, limitations and further work.",,requires_semantic_interpretation,cross_reference_or_caption; content changes recorded in coverage,,MR26,"CL01,CL02,CL03,CL04,CL05",not_modified
D-P013,,3,"Section 2 describes the data, incident-level outcome construction and sample. Section 3 presents the regression specifications, model-development history and evaluation procedures. Section 4.1 reports gust curvature and conditional fitted minima; Sections 4.2 and 4.3 examine predictive contributions and storm-period fitted performance; Section 4.4 reports retrospective temporal and clustering checks. Section 5 discusses interpretation, limitations and further work.",,requires_semantic_interpretation,cross_reference_or_caption; content changes recorded in coverage,,MR26,"CL01,CL02,CL03,CL04,CL05",not_modified
D-P013,,4.1,"Section 2 describes the data, incident-level outcome construction and sample. Section 3 presents the regression specifications, model-development history and evaluation procedures. Section 4.1 reports gust curvature and conditional fitted minima; Sections 4.2 and 4.3 examine predictive contributions and storm-period fitted performance; Section 4.4 reports retrospective temporal and clustering checks. Section 5 discusses interpretation, limitations and further work.",,requires_semantic_interpretation,cross_reference_or_caption; content changes recorded in coverage,,MR26,"CL01,CL02,CL03,CL04,CL05",not_modified
D-P013,,4.2,"Section 2 describes the data, incident-level outcome construction and sample. Section 3 presents the regression specifications, model-development history and evaluation procedures. Section 4.1 reports gust curvature and conditional fitted minima; Sections 4.2 and 4.3 examine predictive contributions and storm-period fitted performance; Section 4.4 reports retrospective temporal and clustering checks. Section 5 discusses interpretation, limitations and further work.",,requires_semantic_interpretation,cross_reference_or_caption; content changes recorded in coverage,,MR26,"CL01,CL02,CL03,CL04,CL05",not_modified
D-P013,,4.3,"Section 2 describes the data, incident-level outcome construction and sample. Section 3 presents the regression specifications, model-development history and evaluation procedures. Section 4.1 reports gust curvature and conditional fitted minima; Sections 4.2 and 4.3 examine predictive contributions and storm-period fitted performance; Section 4.4 reports retrospective temporal and clustering checks. Section 5 discusses interpretation, limitations and further work.",,requires_semantic_interpretation,cross_reference_or_caption; content changes recorded in coverage,,MR26,"CL01,CL02,CL03,CL04,CL05",not_modified
D-P013,,4.4,"Section 2 describes the data, incident-level outcome construction and sample. Section 3 presents the regression specifications, model-development history and evaluation procedures. Section 4.1 reports gust curvature and conditional fitted minima; Sections 4.2 and 4.3 examine predictive contributions and storm-period fitted performance; Section 4.4 reports retrospective temporal and clustering checks. Section 5 discusses interpretation, limitations and further work.",,requires_semantic_interpretation,cross_reference_or_caption; content changes recorded in coverage,,MR26,"CL01,CL02,CL03,CL04,CL05",not_modified
D-P013,,5,"Section 2 describes the data, incident-level outcome construction and sample. Section 3 presents the regression specifications, model-development history and evaluation procedures. Section 4.1 reports gust curvature and conditional fitted minima; Sections 4.2 and 4.3 examine predictive contributions and storm-period fitted performance; Section 4.4 reports retrospective temporal and clustering checks. Section 5 discusses interpretation, limitations and further work.",,requires_semantic_interpretation,cross_reference_or_caption; content changes recorded in coverage,,MR26,"CL01,CL02,CL03,CL04,CL05",not_modified
D-P014,,2,2. Data and Study Setting,,requires_semantic_interpretation,cross_reference_or_caption; content changes recorded in coverage,,,,not_modified
D-P015,,2.1,2.1 Study setting and data sources,,requires_semantic_interpretation,cross_reference_or_caption; content changes recorded in coverage,,,,not_modified
D-P016,,11,"UKPN operates the electricity distribution network across London, the South East, and the East of England, and reports outage incidents to Ofgem, the energy regulator for Great Britain, under the regulatory reporting framework set out in the RIIO-ED1 and RIIO-ED2 Annex F guidance [11, 12]. RIIO-ED1 and RIIO-ED2 are successive multi-year price control periods during which Ofgem sets the revenue and performance requirements for UK electricity distribution network operators. This paper draws on UKPN’s outage incident records covering 1 April 2021 to 31 March 2024, a period of three complete regulatory years spanning both the RIIO-ED1 and RIIO-ED2 price control periods. Each record corresponds to a restoration stage rather than a complete outage incident. An incident that requires more than one restoration action, for example because power is restored to part of the affected area before the remainder, is represented by more than one stage-level record sharing a common incident reference. Section 2.2 describes how event-level outcome variables are constructed from these stage-level records.",,requires_semantic_interpretation,citation_date_equation_index_or_definition; no model-derived replacement; source wording limits remain in MR,,"MR02,MR03,MR27","CL01,CL04,CL05",not_modified
D-P016,,12,"UKPN operates the electricity distribution network across London, the South East, and the East of England, and reports outage incidents to Ofgem, the energy regulator for Great Britain, under the regulatory reporting framework set out in the RIIO-ED1 and RIIO-ED2 Annex F guidance [11, 12]. RIIO-ED1 and RIIO-ED2 are successive multi-year price control periods during which Ofgem sets the revenue and performance requirements for UK electricity distribution network operators. This paper draws on UKPN’s outage incident records covering 1 April 2021 to 31 March 2024, a period of three complete regulatory years spanning both the RIIO-ED1 and RIIO-ED2 price control periods. Each record corresponds to a restoration stage rather than a complete outage incident. An incident that requires more than one restoration action, for example because power is restored to part of the affected area before the remainder, is represented by more than one stage-level record sharing a common incident reference. Section 2.2 describes how event-level outcome variables are constructed from these stage-level records.",,requires_semantic_interpretation,citation_date_equation_index_or_definition; no model-derived replacement; source wording limits remain in MR,,"MR02,MR03,MR27","CL01,CL04,CL05",not_modified
D-P016,,1,"UKPN operates the electricity distribution network across London, the South East, and the East of England, and reports outage incidents to Ofgem, the energy regulator for Great Britain, under the regulatory reporting framework set out in the RIIO-ED1 and RIIO-ED2 Annex F guidance [11, 12]. RIIO-ED1 and RIIO-ED2 are successive multi-year price control periods during which Ofgem sets the revenue and performance requirements for UK electricity distribution network operators. This paper draws on UKPN’s outage incident records covering 1 April 2021 to 31 March 2024, a period of three complete regulatory years spanning both the RIIO-ED1 and RIIO-ED2 price control periods. Each record corresponds to a restoration stage rather than a complete outage incident. An incident that requires more than one restoration action, for example because power is restored to part of the affected area before the remainder, is represented by more than one stage-level record sharing a common incident reference. Section 2.2 describes how event-level outcome variables are constructed from these stage-level records.",,requires_semantic_interpretation,citation_date_equation_index_or_definition; no model-derived replacement; source wording limits remain in MR,,"MR02,MR03,MR27","CL01,CL04,CL05",not_modified
D-P016,,2021,"UKPN operates the electricity distribution network across London, the South East, and the East of England, and reports outage incidents to Ofgem, the energy regulator for Great Britain, under the regulatory reporting framework set out in the RIIO-ED1 and RIIO-ED2 Annex F guidance [11, 12]. RIIO-ED1 and RIIO-ED2 are successive multi-year price control periods during which Ofgem sets the revenue and performance requirements for UK electricity distribution network operators. This paper draws on UKPN’s outage incident records covering 1 April 2021 to 31 March 2024, a period of three complete regulatory years spanning both the RIIO-ED1 and RIIO-ED2 price control periods. Each record corresponds to a restoration stage rather than a complete outage incident. An incident that requires more than one restoration action, for example because power is restored to part of the affected area before the remainder, is represented by more than one stage-level record sharing a common incident reference. Section 2.2 describes how event-level outcome variables are constructed from these stage-level records.",,requires_semantic_interpretation,citation_date_equation_index_or_definition; no model-derived replacement; source wording limits remain in MR,,"MR02,MR03,MR27","CL01,CL04,CL05",not_modified
D-P016,,31,"UKPN operates the electricity distribution network across London, the South East, and the East of England, and reports outage incidents to Ofgem, the energy regulator for Great Britain, under the regulatory reporting framework set out in the RIIO-ED1 and RIIO-ED2 Annex F guidance [11, 12]. RIIO-ED1 and RIIO-ED2 are successive multi-year price control periods during which Ofgem sets the revenue and performance requirements for UK electricity distribution network operators. This paper draws on UKPN’s outage incident records covering 1 April 2021 to 31 March 2024, a period of three complete regulatory years spanning both the RIIO-ED1 and RIIO-ED2 price control periods. Each record corresponds to a restoration stage rather than a complete outage incident. An incident that requires more than one restoration action, for example because power is restored to part of the affected area before the remainder, is represented by more than one stage-level record sharing a common incident reference. Section 2.2 describes how event-level outcome variables are constructed from these stage-level records.",,requires_semantic_interpretation,citation_date_equation_index_or_definition; no model-derived replacement; source wording limits remain in MR,,"MR02,MR03,MR27","CL01,CL04,CL05",not_modified
D-P016,,2024,"UKPN operates the electricity distribution network across London, the South East, and the East of England, and reports outage incidents to Ofgem, the energy regulator for Great Britain, under the regulatory reporting framework set out in the RIIO-ED1 and RIIO-ED2 Annex F guidance [11, 12]. RIIO-ED1 and RIIO-ED2 are successive multi-year price control periods during which Ofgem sets the revenue and performance requirements for UK electricity distribution network operators. This paper draws on UKPN’s outage incident records covering 1 April 2021 to 31 March 2024, a period of three complete regulatory years spanning both the RIIO-ED1 and RIIO-ED2 price control periods. Each record corresponds to a restoration stage rather than a complete outage incident. An incident that requires more than one restoration action, for example because power is restored to part of the affected area before the remainder, is represented by more than one stage-level record sharing a common incident reference. Section 2.2 describes how event-level outcome variables are constructed from these stage-level records.",,requires_semantic_interpretation,citation_date_equation_index_or_definition; no model-derived replacement; source wording limits remain in MR,,"MR02,MR03,MR27","CL01,CL04,CL05",not_modified
