storm,combination,prediction_type,excluded_from_primary_metrics,n,rmse,mae,mean_observed,mean_prediction,bias,r2,correlation,correlation_p_value
Ciaran,R0c_all,display_only,True,2,5.3044597100478921,5.2932077215672404,6.7751974011404474,1.4819896795732075,-5.2932077215672404,-28584.62417345426,,not calculated
Henk,E0_all,in_sample,False,494,2.0570788652541805,1.7658328542610477,2.866812264339182,2.694070332194221,-0.17274193214496128,0.114516769749474,0.34754966045441416,not calculated
Henk,E0_all,LAD_OOF,False,494,2.0589208313747052,1.7671774731204912,2.866812264339182,2.697457886967809,-0.16935437737137246,0.11293028672927163,0.3448694095078636,not calculated
Henk,R0c_all,in_sample,False,439,1.1759814730387834,0.91825530782790854,1.8285332816868884,1.7874247404634489,-0.041108541223439349,0.056881110486072584,0.24919785441616829,not calculated
Henk,R0c_all,LAD_OOF,False,439,1.1804989544335689,0.92200815052934038,1.8285332816868884,1.7832335636985268,-0.045299717988361583,0.049621293152471546,0.23833909181053539,not calculated
Henk,R0c_all,display_only,True,4,3.9721608366207297,3.9584074922358465,5.6734857209806302,1.7150782287447832,-3.9584074922358465,-71.441135728514013,0.86096326899276798,not calculated
UNION_DEDUPLICATED,E0_all,in_sample,False,4452,2.1386849111118305,1.8272965756129476,2.8102047034630671,2.7327460619987876,-0.077458641464279693,0.098016314382900149,0.3150859097028299,not calculated
UNION_DEDUPLICATED,E0_all,LAD_OOF,False,4452,2.1435025424216367,1.8306675952030285,2.8102047034630671,2.7331859494169684,-0.077018754046098481,0.093948095540269505,0.30841602054488709,not calculated
UNION_DEDUPLICATED,R0c_all,in_sample,False,3990,1.454035106995925,1.1669149570176716,2.5253597592813453,2.2684615576231448,-0.25689820165820071,0.12960650306767996,0.39623175541827227,not calculated
UNION_DEDUPLICATED,R0c_all,LAD_OOF,False,3990,1.4596903801890719,1.1711829210594196,2.5253597592813453,2.2681196729513435,-0.25724008633000206,0.12282278055254914,0.38739567583399981,not calculated
UNION_DEDUPLICATED,R0c_all,display_only,True,28,3.24327778621462,3.0647701060632038,5.7206298987523629,2.6558597926891587,-3.0647701060632038,-53.436827973227729,-0.46265770219999969,not calculated
