date_utc,fold,base_events
2021-11-16,0,45
2021-11-17,4,33
2021-11-18,1,38
2021-11-19,4,40
2021-11-20,0,25
2021-11-21,0,35
2021-11-22,4,37
2021-11-23,2,38
2021-11-24,3,38
2021-11-25,3,43
2021-11-26,1,44
2021-11-27,2,126
2021-11-28,4,57
2021-11-29,3,39
2021-11-30,2,44
2021-12-01,0,63
2021-12-02,1,45
2021-12-03,3,55
2021-12-04,4,48
2021-12-05,2,45
2021-12-06,0,56
2021-12-07,4,104
2021-12-08,3,47
2021-12-09,2,51
2021-12-10,3,69
2021-12-11,0,52
2021-12-12,3,44
2021-12-13,3,45
2021-12-14,4,39
2021-12-15,2,46
2021-12-16,1,49
2021-12-17,4,38
2021-12-18,2,32
2021-12-19,0,28
2021-12-20,0,33
2021-12-21,1,28
2021-12-22,0,40
2021-12-23,4,43
2021-12-24,3,32
2021-12-25,0,60
2021-12-26,3,73
2021-12-27,2,49
2021-12-28,4,47
2021-12-29,4,45
2021-12-30,3,46
2021-12-31,2,28
2022-01-01,0,41
2022-01-02,0,38
2022-01-03,3,28
2022-01-04,1,38
2022-01-05,1,40
2022-01-06,0,39
2022-01-07,1,41
2022-01-08,0,45
2022-01-09,4,46
2022-01-10,0,58
2022-01-11,1,58
2022-01-12,1,39
2022-01-13,3,51
2022-01-14,2,38
2022-01-15,0,46
2022-01-16,3,21
2022-01-17,0,50
2022-01-18,0,43
2022-01-19,1,56
2022-01-20,1,42
2022-01-21,1,46
2022-01-22,3,30
2022-01-23,1,35
2022-01-24,1,33
2022-01-25,0,37
2022-01-26,4,36
2022-01-27,1,45
2022-01-28,4,44
2022-01-29,1,52
2022-01-30,2,39
2022-01-31,2,72
2022-02-01,2,64
2022-02-02,4,32
2022-02-03,2,42
2022-02-04,2,52
2022-02-05,3,39
2022-02-06,1,61
2022-02-07,0,48
2022-02-08,3,38
2022-02-09,3,42
2022-02-10,3,49
2022-02-11,0,47
2022-02-12,0,36
2022-02-13,1,43
2022-02-14,4,69
2022-02-15,3,52
2022-02-16,3,145
2022-02-17,3,94
2022-02-18,0,1180
2022-02-19,1,385
2022-02-20,3,315
2022-02-21,3,266
2022-02-22,4,166
2022-02-23,4,121
2022-02-24,1,120
2022-02-25,0,99
2022-02-26,3,54
2022-02-27,1,50
2022-02-28,2,50
2022-03-01,0,92
2022-03-02,4,73
2022-03-03,1,48
2022-03-04,2,67
2022-03-05,4,38
2022-03-06,3,34
2022-03-07,4,52
2022-03-08,4,49
2022-03-09,3,60
2022-03-10,0,70
2022-03-11,2,75
2022-03-12,0,49
2022-03-13,2,33
2022-03-14,2,46
2022-03-15,4,39
2022-03-16,3,67
2022-03-17,1,49
2022-03-18,3,46
2022-03-19,1,36
2022-03-20,2,35
2022-03-21,0,32
2022-03-22,2,48
2022-03-23,2,41
2022-03-24,0,54
2022-03-25,4,30
2022-03-26,0,30
2022-03-27,4,19
2022-03-28,4,42
2022-03-29,2,43
2022-03-30,3,43
2022-03-31,2,77
2022-04-01,4,60
2022-04-02,1,32
2022-04-03,4,28
2022-04-04,3,33
2022-04-05,0,53
2022-04-06,3,70
2022-04-07,0,115
2022-04-08,1,53
2022-04-09,4,33
2022-04-10,0,24
2022-04-11,1,68
2022-04-12,2,45
2022-04-13,2,36
2022-04-14,2,49
2022-04-15,0,38
2022-04-16,3,49
2022-04-17,0,39
2022-04-18,4,34
2022-04-19,4,46
2022-04-20,2,32
2022-04-21,0,44
2022-04-22,1,39
2022-04-23,4,29
2022-04-24,1,47
2022-04-25,2,39
2022-04-26,1,37
2022-04-27,0,42
2022-04-28,2,40
2022-04-29,1,42
2022-04-30,0,27
2022-05-01,0,18
2022-05-02,3,25
2022-05-03,2,42
2022-05-04,4,49
2022-05-05,3,45
2022-05-06,1,60
2022-05-07,3,41
2022-05-08,0,28
2022-05-09,4,41
2022-05-10,4,45
2022-05-11,2,53
2022-05-12,0,41
2022-05-13,0,46
2022-05-14,0,34
2022-05-15,1,27
2022-05-16,1,44
2022-05-17,0,57
2022-05-18,0,52
2022-05-19,1,78
2022-05-20,4,51
2022-05-21,3,27
2022-05-22,0,33
2022-05-23,4,54
2022-05-24,0,73
2022-05-25,2,56
2022-05-26,3,39
2022-05-27,1,38
2022-05-28,4,43
2022-05-29,1,33
2022-05-30,3,36
2022-05-31,3,32
2022-06-01,3,35
2022-06-02,1,28
2022-06-03,1,30
2022-06-04,1,34
2022-06-05,3,64
2022-06-06,1,57
2022-06-07,1,46
2022-06-08,0,55
2022-06-09,3,26
2022-06-10,1,51
2022-06-11,4,32
2022-06-12,0,31
2022-06-13,3,40
2022-06-14,2,46
2022-06-15,4,62
2022-06-16,0,49
2022-06-17,3,75
2022-06-18,0,66
2022-06-19,4,70
2022-06-20,0,45
2022-06-21,4,39
2022-06-22,4,55
2022-06-23,3,53
2022-06-24,1,41
2022-06-25,2,37
2022-06-26,4,25
2022-06-27,2,47
2022-06-28,2,60
2022-06-29,3,42
2022-06-30,3,48
2022-07-01,0,51
2022-07-02,2,41
2022-07-03,4,27
2022-07-04,0,29
2022-07-05,2,38
2022-07-06,1,31
2022-07-07,4,42
2022-07-08,2,34
2022-07-09,2,30
2022-07-10,0,42
2022-07-11,1,76
2022-07-12,0,60
2022-07-13,2,68
2022-07-14,1,49
2022-07-15,3,47
2022-07-16,4,48
2022-07-17,2,31
2022-07-18,2,109
2022-07-19,1,178
2022-07-20,0,87
2022-07-21,1,70
2022-07-22,4,40
2022-07-23,0,39
2022-07-24,3,41
2022-07-25,2,57
2022-07-26,1,55
2022-07-27,3,46
2022-07-28,1,39
2022-07-29,0,48
2022-07-30,3,30
2022-07-31,1,42
2022-08-01,4,47
2022-08-02,1,48
2022-08-03,2,49
2022-08-04,3,34
2022-08-05,3,38
2022-08-06,4,34
2022-08-07,1,29
2022-08-08,0,43
2022-08-09,0,40
2022-08-10,1,43
2022-08-11,3,77
2022-08-12,4,46
2022-08-13,2,39
2022-08-14,2,28
2022-08-15,1,45
2022-08-16,2,58
2022-08-17,1,96
2022-08-18,3,59
2022-08-19,0,46
2022-08-20,3,28
2022-08-21,3,31
2022-08-22,4,35
2022-08-23,3,50
2022-08-24,2,55
2022-08-25,3,115
2022-08-26,3,49
2022-08-27,4,50
2022-08-28,4,26
2022-08-29,0,32
2022-08-30,1,46
2022-08-31,3,55
2022-09-01,3,58
2022-09-02,1,40
2022-09-03,1,22
2022-09-04,0,34
2022-09-05,0,55
2022-09-06,2,73
2022-09-07,1,54
2022-09-08,2,80
2022-09-09,2,70
2022-09-10,2,42
2022-09-11,2,45
2022-09-12,4,53
2022-09-13,1,52
2022-09-14,2,48
2022-09-15,2,43
2022-09-16,4,58
2022-09-17,3,39
2022-09-18,2,33
2022-09-19,2,22
2022-09-20,3,33
2022-09-21,2,29
2022-09-22,4,39
2022-09-23,0,58
2022-09-24,4,31
2022-09-25,3,29
2022-09-26,3,48
2022-09-27,2,52
2022-09-28,3,42
2022-09-29,2,46
2022-09-30,0,81
2022-10-01,2,51
2022-10-02,0,39
2022-10-03,4,48
2022-10-04,0,35
2022-10-05,0,96
2022-10-06,3,43
2022-10-07,4,55
2022-10-08,1,32
2022-10-09,0,26
2022-10-10,2,54
2022-10-11,3,51
2022-10-12,4,36
2022-10-13,3,54
2022-10-14,4,41
2022-10-15,1,26
2022-10-16,0,31
2022-10-17,4,42
2022-10-18,4,43
2022-10-19,1,55
2022-10-20,1,69
2022-10-21,0,54
2022-10-22,1,34
2022-10-23,0,103
2022-10-24,4,102
2022-10-25,0,41
2022-10-26,2,55
2022-10-27,3,37
2022-10-28,0,42
2022-10-29,4,28
2022-10-30,0,43
2022-10-31,0,53
2022-11-01,2,136
2022-11-02,0,70
2022-11-03,4,132
2022-11-04,4,75
2022-11-05,1,41
2022-11-06,3,95
2022-11-07,2,78
2022-11-08,2,69
2022-11-09,4,67
2022-11-10,0,48
2022-11-11,3,52
2022-11-12,4,49
2022-11-13,2,32
2022-11-14,0,47
2022-11-15,2,74
2022-11-16,3,74
2022-11-17,1,115
2022-11-18,0,67
2022-11-19,1,43
2022-11-20,4,33
2022-11-21,2,61
2022-11-22,3,60
2022-11-23,3,70
2022-11-24,4,54
2022-11-25,1,47
2022-11-26,2,40
2022-11-27,3,56
2022-11-28,3,55
2022-11-29,2,44
2022-11-30,0,36
2022-12-01,4,38
2022-12-02,0,38
2022-12-03,1,36
2022-12-04,2,34
2022-12-05,3,57
2022-12-06,0,49
2022-12-07,1,42
2022-12-08,0,50
2022-12-09,2,43
2022-12-10,2,42
2022-12-11,3,80
2022-12-12,4,60
2022-12-13,4,81
2022-12-14,1,60
2022-12-15,1,67
2022-12-16,1,54
2022-12-17,2,47
2022-12-18,4,96
2022-12-19,1,130
2022-12-20,4,94
2022-12-21,2,66
2022-12-22,2,60
2022-12-23,1,88
2022-12-24,1,48
2022-12-25,3,42
2022-12-26,4,57
2022-12-27,4,51
2022-12-28,0,76
2022-12-29,4,56
2022-12-30,0,80
2022-12-31,3,71
2023-01-01,3,47
2023-01-02,4,47
2023-01-03,0,69
2023-01-04,3,78
2023-01-05,3,61
2023-01-06,3,44
2023-01-07,4,52
2023-01-08,1,58
2023-01-09,0,65
2023-01-10,0,79
2023-01-11,0,57
2023-01-12,0,113
2023-01-13,3,85
2023-01-14,3,102
2023-01-15,3,43
2023-01-16,4,77
2023-01-17,2,67
2023-01-18,4,42
2023-01-19,0,60
2023-01-20,4,59
2023-01-21,1,39
2023-01-22,1,53
2023-01-23,3,46
2023-01-24,1,51
2023-01-25,1,49
2023-01-26,1,59
2023-01-27,0,55
2023-01-28,3,34
2023-01-29,0,42
2023-01-30,3,40
2023-01-31,0,59
2023-02-01,0,47
2023-02-02,4,55
2023-02-03,1,47
2023-02-04,4,40
2023-02-05,1,35
2023-02-06,4,46
2023-02-07,1,42
2023-02-08,2,58
2023-02-09,2,39
2023-02-10,2,42
2023-02-11,0,27
2023-02-12,0,51
2023-02-13,0,46
2023-02-14,2,36
2023-02-15,2,41
2023-02-16,1,31
2023-02-17,2,47
2023-02-18,2,31
2023-02-19,1,38
2023-02-20,3,42
2023-02-21,3,66
2023-02-22,3,58
2023-02-23,0,56
2023-02-24,3,41
2023-02-25,2,26
2023-02-26,3,36
2023-02-27,1,46
2023-02-28,2,48
2023-03-01,2,53
2023-03-02,3,32
2023-03-03,3,31
2023-03-04,0,28
2023-03-05,4,36
2023-03-06,2,51
2023-03-07,2,49
2023-03-08,1,93
2023-03-09,2,87
2023-03-10,4,126
2023-03-11,3,53
2023-03-12,3,60
2023-03-13,2,182
2023-03-14,1,81
2023-03-15,4,53
2023-03-16,4,44
2023-03-17,4,42
2023-03-18,4,43
2023-03-19,4,37
2023-03-20,0,53
2023-03-21,4,63
2023-03-22,3,51
2023-03-23,4,66
2023-03-24,1,57
2023-03-25,1,56
2023-03-26,1,50
2023-03-27,2,54
2023-03-28,0,44
2023-03-29,0,52
2023-03-30,3,45
2023-03-31,4,82
2023-04-01,2,59
2023-04-02,2,50
2023-04-03,1,52
2023-04-04,1,66
2023-04-05,0,68
2023-04-06,4,51
2023-04-07,2,46
2023-04-08,0,33
2023-04-09,1,33
2023-04-10,4,65
2023-04-11,4,61
2023-04-12,0,110
2023-04-13,3,67
2023-04-14,3,50
2023-04-15,3,46
2023-04-16,2,35
2023-04-17,4,64
2023-04-18,4,70
2023-04-19,3,59
2023-04-20,4,58
2023-04-21,3,39
2023-04-22,3,35
2023-04-23,0,42
2023-04-24,4,50
2023-04-25,1,53
2023-04-26,2,33
2023-04-27,0,50
2023-04-28,1,62
2023-04-29,1,44
2023-04-30,4,34
2023-05-01,3,33
2023-05-02,1,51
2023-05-03,3,48
2023-05-04,4,59
2023-05-05,3,54
2023-05-06,0,34
2023-05-07,1,50
2023-05-08,4,35
2023-05-09,4,91
2023-05-10,3,69
2023-05-11,2,57
2023-05-12,0,61
2023-05-13,2,44
2023-05-14,0,54
2023-05-15,4,54
2023-05-16,4,41
2023-05-17,1,42
2023-05-18,2,50
2023-05-19,0,41
2023-05-20,0,25
2023-05-21,0,43
2023-05-22,1,55
2023-05-23,1,68
2023-05-24,2,52
2023-05-25,0,58
2023-05-26,3,50
2023-05-27,2,38
2023-05-28,0,36
2023-05-29,3,44
2023-05-30,0,40
2023-05-31,4,46
2023-06-01,3,47
2023-06-02,4,45
2023-06-03,0,37
2023-06-04,0,46
2023-06-05,4,47
2023-06-06,2,53
2023-06-07,4,44
2023-06-08,0,47
2023-06-09,3,49
2023-06-10,0,77
2023-06-11,1,47
2023-06-12,0,83
2023-06-13,4,69
2023-06-14,1,70
2023-06-15,2,55
2023-06-16,1,65
2023-06-17,1,46
2023-06-18,1,95
2023-06-19,2,77
2023-06-20,1,102
2023-06-21,1,69
2023-06-22,2,65
2023-06-23,1,63
2023-06-24,4,49
2023-06-25,2,63
2023-06-26,0,64
2023-06-27,4,60
2023-06-28,3,53
2023-06-29,2,97
2023-06-30,0,51
2023-07-01,3,38
2023-07-02,2,42
2023-07-03,1,64
2023-07-04,2,83
2023-07-05,4,86
2023-07-06,1,60
2023-07-07,1,54
2023-07-08,2,46
2023-07-09,1,41
2023-07-10,4,48
2023-07-11,2,60
2023-07-12,1,59
2023-07-13,3,42
2023-07-14,4,71
2023-07-15,1,191
2023-07-16,0,85
2023-07-17,2,54
2023-07-18,0,44
2023-07-19,2,51
2023-07-20,0,49
2023-07-21,2,47
2023-07-22,4,53
2023-07-23,3,54
2023-07-24,3,52
2023-07-25,1,44
2023-07-26,2,68
2023-07-27,2,80
2023-07-28,2,41
2023-07-29,4,50
2023-07-30,4,38
2023-07-31,3,57
2023-08-01,3,109
2023-08-02,3,77
2023-08-03,3,47
2023-08-04,0,48
2023-08-05,3,73
2023-08-06,0,45
2023-08-07,2,44
2023-08-08,1,37
2023-08-09,1,45
2023-08-10,1,40
2023-08-11,0,38
2023-08-12,3,44
2023-08-13,1,28
2023-08-14,0,60
2023-08-15,1,61
2023-08-16,3,55
2023-08-17,4,44
2023-08-18,4,52
2023-08-19,1,36
2023-08-20,1,25
2023-08-21,4,47
2023-08-22,0,50
2023-08-23,0,47
2023-08-24,3,46
2023-08-25,0,44
2023-08-26,0,52
2023-08-27,4,30
2023-08-28,2,37
2023-08-29,1,44
2023-08-30,4,42
2023-08-31,3,41
2023-09-01,1,47
2023-09-02,2,25
2023-09-03,1,34
2023-09-04,0,66
2023-09-05,2,45
2023-09-06,0,53
2023-09-07,2,61
2023-09-08,4,39
2023-09-09,2,40
2023-09-10,0,55
2023-09-11,4,46
2023-09-12,1,38
2023-09-13,1,52
2023-09-14,1,53
2023-09-15,0,39
2023-09-16,1,39
2023-09-17,2,38
2023-09-18,3,83
2023-09-19,2,66
2023-09-20,3,126
2023-09-21,4,98
2023-09-22,3,61
2023-09-23,4,33
2023-09-24,1,58
2023-09-25,0,42
2023-09-26,2,44
2023-09-27,0,46
2023-09-28,1,50
2023-09-29,4,55
2023-09-30,1,42
2023-10-01,3,65
2023-10-02,4,67
2023-10-03,2,64
2023-10-04,2,42
2023-10-05,0,33
2023-10-06,3,40
2023-10-07,1,33
2023-10-08,0,35
2023-10-09,1,43
2023-10-10,2,62
2023-10-11,4,41
2023-10-12,3,63
2023-10-13,4,109
2023-10-14,0,63
2023-10-15,3,38
2023-10-16,0,65
2023-10-17,2,50
2023-10-18,3,85
2023-10-19,1,92
2023-10-20,4,139
2023-10-21,1,82
2023-10-22,4,61
2023-10-23,0,41
2023-10-24,0,59
2023-10-25,0,67
2023-10-26,1,55
2023-10-27,1,46
2023-10-28,2,55
2023-10-29,2,58
2023-10-30,4,78
2023-10-31,4,63
2023-11-01,2,70
2023-11-02,2,351
2023-11-03,3,92
2023-11-04,3,51
2023-11-05,1,48
2023-11-06,3,66
2023-11-07,2,46
2023-11-08,3,72
2023-11-09,3,60
2023-11-10,2,47
2023-11-11,3,37
2023-11-12,4,51
2023-11-13,3,116
2023-11-14,2,69
2023-11-15,4,73
2023-11-16,3,50
2023-11-17,2,43
2023-11-18,4,50
2023-11-19,3,44
2023-11-20,1,49
2023-11-21,4,57
2023-11-22,0,69
2023-11-23,2,48
2023-11-24,4,72
2023-11-25,0,30
2023-11-26,1,30
2023-11-27,3,80
2023-11-28,2,59
2023-11-29,0,50
2023-11-30,4,60
2023-12-01,1,51
2023-12-02,0,51
2023-12-03,3,47
2023-12-04,0,70
2023-12-05,4,77
2023-12-06,3,55
2023-12-07,0,57
2023-12-08,1,60
2023-12-09,0,109
2023-12-10,4,85
2023-12-11,0,78
2023-12-12,4,80
2023-12-13,3,68
2023-12-14,1,57
2023-12-15,3,46
2023-12-16,4,32
2023-12-17,4,29
2023-12-18,1,72
2023-12-19,0,95
2023-12-20,3,58
2023-12-21,2,124
2023-12-22,2,51
2023-12-23,1,35
2023-12-24,2,57
2023-12-25,2,36
2023-12-26,2,33
2023-12-27,3,69
2023-12-28,3,106
2023-12-29,3,57
2023-12-30,4,47
2023-12-31,2,84
2024-01-01,4,31
2024-01-02,4,307
2024-01-03,3,156
2024-01-04,3,113
2024-01-05,1,108
2024-01-06,0,54
2024-01-07,2,56
2024-01-08,1,67
2024-01-09,0,62
2024-01-10,3,51
2024-01-11,4,46
2024-01-12,0,61
2024-01-13,4,37
2024-01-14,3,43
2024-01-15,4,57
2024-01-16,4,58
2024-01-17,1,61
2024-01-18,1,63
2024-01-19,3,48
2024-01-20,4,44
2024-01-21,2,224
2024-01-22,4,270
2024-01-23,4,113
2024-01-24,1,110
2024-01-25,0,75
2024-01-26,4,74
2024-01-27,0,29
2024-01-28,2,39
2024-01-29,3,42
2024-01-30,1,73
2024-01-31,4,54
2024-02-01,0,55
2024-02-02,2,90
2024-02-03,2,34
2024-02-04,1,78
2024-02-05,4,51
2024-02-06,0,74
2024-02-07,1,86
2024-02-08,3,97
2024-02-09,2,95
2024-02-10,2,49
2024-02-11,4,42
2024-02-12,0,73
2024-02-13,0,47
2024-02-14,4,68
2024-02-15,3,49
2024-02-16,3,64
2024-02-17,0,37
2024-02-18,0,90
2024-02-19,4,65
2024-02-20,1,71
2024-02-21,2,61
2024-02-22,1,74
2024-02-23,0,72
2024-02-24,0,46
2024-02-25,1,47
2024-02-26,2,108
2024-02-27,3,59
2024-02-28,1,46
2024-02-29,3,62
2024-03-01,2,72
2024-03-02,3,56
2024-03-03,2,46
2024-03-04,0,58
2024-03-05,4,48
2024-03-06,1,50
2024-03-07,3,45
2024-03-08,1,85
2024-03-09,2,35
2024-03-10,4,49
2024-03-11,4,43
2024-03-12,0,57
2024-03-13,2,50
2024-03-14,2,63
2024-03-15,2,53
2024-03-16,0,48
2024-03-17,1,37
2024-03-18,3,53
2024-03-19,1,41
2024-03-20,4,59
2024-03-21,3,50
2024-03-22,4,69
2024-03-23,1,29
2024-03-24,3,35
2024-03-25,2,100
2024-03-26,4,53
2024-03-27,4,62
2024-03-28,3,88
2024-03-29,4,50
2024-03-30,3,33
2024-03-31,2,28
