Incident Reference,new_date_utc,fold,candidate_main_E0,candidate_main_R0c,candidate_weather_E0,candidate_weather_R0c
FREP-12561-O,2023-01-26,1,True,True,False,False
FREP-12566-O,2023-02-09,2,True,True,False,False
FREP-12567-O,2023-01-24,1,True,True,False,False
FREP-12574-O,2022-12-19,1,True,True,False,False
FREP-12579-O,2023-01-29,0,True,True,False,False
FREP-12590-O,2023-01-29,0,True,True,False,False
FREP-12597-O,2023-03-11,3,True,True,False,False
FREP-12602-O,2023-01-26,1,True,True,False,False
FREP-12608-O,2023-01-29,0,True,True,False,False
FREP-12609-O,2023-01-30,3,True,True,False,False
FREP-12620-O,2023-01-31,0,True,True,False,False
FREP-12635-O,2022-12-22,2,True,True,False,False
FREP-12640-O,2023-02-02,4,True,True,False,False
FREP-12642-O,2023-02-02,4,True,True,False,False
FREP-12645-O,2023-02-02,4,True,True,False,False
FREP-12649-O,2023-04-08,0,True,True,False,False
FREP-12657-O,2023-01-31,0,True,True,False,False
FREP-12663-O,2023-02-06,4,True,True,False,False
FREP-126680-Z,2021-05-25,3,True,True,False,False
FREP-12670-O,2023-02-07,1,True,True,False,False
FREP-12671-O,2023-02-07,1,True,True,False,False
FREP-12676-O,2023-01-11,0,True,True,False,False
FREP-126945-Z,2023-01-14,3,True,True,False,False
FREP-12696-O,2023-02-01,0,True,True,False,False
FREP-12713-O,2023-01-08,1,True,True,True,True
FREP-12720-W,2023-01-08,1,True,True,False,False
FREP-12729-Z,2023-04-04,1,True,True,False,False
FREP-12774-O,2023-02-03,1,True,True,False,False
FREP-12802-W,2021-11-10,4,True,True,False,False
FREP-12803-O,2023-02-21,3,True,True,False,False
FREP-12814-O,2023-01-23,3,True,True,False,False
FREP-12825-O,2023-12-18,1,True,True,False,False
FREP-128260-Z,2022-11-12,4,True,True,False,False
FREP-12835-O,2023-02-08,2,True,True,False,False
FREP-12836-O,2023-02-23,0,True,True,False,False
FREP-12839-O,2023-05-23,1,True,True,False,False
FREP-12848-O,2023-01-21,1,True,True,False,False
FREP-12859-O,2023-02-21,3,True,True,False,False
FREP-12862-W,2023-02-08,2,True,True,False,False
FREP-12867-O,2023-03-01,2,True,True,False,False
FREP-12869-O,2023-03-20,0,True,True,False,False
FREP-12871-O,2023-03-01,2,True,True,False,False
FREP-12872-O,2023-11-02,2,True,True,False,False
FREP-12873-O,2023-03-02,3,True,True,False,False
FREP-12874-O,2023-01-26,1,True,True,False,False
FREP-12900-O,2023-03-21,4,True,True,False,False
FREP-129239-G,2021-05-12,1,True,True,False,False
FREP-12928-O,2023-03-03,3,True,True,False,False
FREP-129305-G,2021-04-26,3,True,True,False,False
FREP-129348-G,2023-01-13,3,True,True,False,False
FREP-12980-W,2021-05-14,4,True,True,False,False
FREP-12992-O,2023-02-13,0,True,True,False,False
FREP-13009-W,2021-04-03,2,True,True,False,False
FREP-13014-W,2021-04-05,1,True,True,False,False
FREP-13022-W,2021-04-11,4,True,True,False,False
FREP-13023-W,2021-04-11,4,True,True,False,False
FREP-13046-O,2023-06-28,3,True,True,False,False
FREP-13054-O,2023-03-23,4,True,True,False,False
FREP-13060-O,2023-03-16,4,True,True,False,False
FREP-13066-O,2023-02-12,0,True,True,False,False
FREP-13070-O,2023-02-12,0,True,True,False,False
FREP-13071-O,2023-02-12,0,True,True,False,False
FREP-13073-O,2023-02-12,0,True,True,False,False
FREP-13080-W,2021-04-27,0,True,True,False,False
FREP-13081-O,2023-02-13,0,True,True,False,False
FREP-13089-W,2021-05-02,1,True,True,False,False
FREP-13095-O,2023-03-16,4,True,True,False,False
FREP-13099-W,2021-05-06,2,True,True,False,False
FREP-13101-W,2021-05-06,2,True,True,False,False
FREP-13109-O,2023-05-18,2,True,True,False,False
FREP-13109-W,2022-07-01,0,True,True,False,False
FREP-13123-W,2021-05-14,4,True,True,False,False
FREP-131238-Z,2023-11-08,3,True,True,False,False
FREP-13144-W,2021-05-18,0,True,True,False,False
FREP-13150-O,2023-03-01,2,True,True,False,False
FREP-13156-O,2023-02-22,3,True,True,False,False
FREP-13157-W,2021-05-20,3,True,True,False,False
FREP-13158-O,2023-02-18,2,True,True,False,False
FREP-13158-W,2021-05-21,2,True,True,True,True
FREP-13160-O,2023-02-18,2,True,True,False,False
FREP-13161-O,2023-02-18,2,True,True,False,False
FREP-13163-O,2023-02-19,1,True,True,False,False
FREP-13163-W,2021-05-20,3,True,True,True,True
FREP-13172-W,2021-05-21,2,True,True,True,True
FREP-13173-W,2021-05-21,2,True,True,False,False
FREP-13175-W,2021-05-21,2,True,True,False,False
FREP-13177-W,2021-05-22,0,True,True,False,False
FREP-13179-W,2021-05-26,3,True,True,True,True
FREP-13188-O,2023-02-22,3,True,True,False,False
FREP-13191-O,2023-03-12,3,True,True,False,False
FREP-13194-O,2023-03-21,4,True,True,False,False
FREP-131970-G,2024-01-15,4,True,True,False,False
FREP-13198-O,2023-02-22,3,True,True,False,False
FREP-13200-W,2021-06-03,2,True,True,True,True
FREP-13211-O,2023-05-04,4,True,True,False,False
FREP-13212-W,2021-06-05,0,True,True,False,False
FREP-13216-O,2023-04-21,3,True,True,False,False
FREP-13218-W,2021-06-06,1,True,True,False,False
FREP-13223-W,2021-06-10,1,True,True,False,False
FREP-13227-W,2021-06-11,2,True,True,False,False
FREP-13228-O,2023-02-23,0,True,True,False,False
FREP-13229-O,2023-03-30,3,True,True,False,False
FREP-13229-W,2021-06-12,0,True,True,False,False
FREP-13231-W,2021-06-12,0,True,True,False,False
FREP-13233-W,2021-06-12,0,True,True,False,False
FREP-13242-W,2021-06-16,2,True,True,True,True
FREP-13243-W,2021-06-16,2,True,True,False,False
FREP-13255-O,2023-02-28,2,True,True,False,False
FREP-13258-O,2023-02-28,2,True,True,False,False
FREP-13262-W,2021-06-18,3,True,True,False,False
FREP-13265-W,2021-06-18,3,True,True,False,False
FREP-13268-W,2021-06-24,2,True,True,False,False
FREP-13282-O,2023-03-01,2,True,True,True,True
FREP-13313-O,2024-01-15,4,True,True,False,False
FREP-13317-W,2021-07-01,0,True,True,False,False
FREP-13320-W,2021-07-01,0,True,True,True,True
FREP-13332-W,2021-07-05,4,True,True,False,False
FREP-13334-W,2021-07-06,1,True,True,True,True
FREP-13335-W,2021-07-06,1,True,True,True,True
FREP-13340-W,2021-07-06,1,True,True,True,True
FREP-13345-O,2023-04-05,0,True,True,False,False
FREP-13346-O,2023-03-09,2,True,True,False,False
FREP-13350-O,2023-03-27,2,True,True,False,False
FREP-13372-O,2023-03-10,4,True,True,False,False
FREP-13373-O,2023-03-11,3,True,True,False,False
FREP-133761-Z,2023-12-12,4,True,True,False,False
FREP-13377-W,2021-07-11,2,True,True,False,False
FREP-13379-W,2021-07-12,4,True,True,False,False
FREP-13382-O,2023-03-11,3,True,True,False,False
FREP-13385-W,2021-07-15,4,True,True,False,False
FREP-13386-O,2023-03-17,4,True,True,False,False
FREP-13390-O,2023-05-22,1,True,True,False,False
FREP-13392-W,2021-07-12,4,True,True,False,False
FREP-13393-O,2023-04-14,3,True,True,False,False
FREP-13398-O,2023-04-17,4,True,True,False,False
FREP-13402-W,2021-07-18,3,True,True,False,False
FREP-13406-O,2023-04-18,4,True,True,False,False
FREP-13413-O,2023-04-13,3,True,True,False,False
FREP-13415-O,2023-04-28,1,True,True,False,False
FREP-13418-W,2021-07-21,2,True,True,False,False
FREP-13437-O,2023-05-07,1,True,True,False,False
FREP-13440-O,2023-04-25,1,True,True,False,False
FREP-13448-W,2021-08-05,3,True,True,False,False
FREP-13451-O,2023-03-21,4,True,True,False,False
FREP-13451-W,2021-08-05,3,True,True,False,False
FREP-13465-W,2021-08-11,4,True,True,False,False
FREP-13466-W,2021-08-10,3,True,True,True,True
FREP-13470-O,2023-05-19,0,True,True,False,False
FREP-134857-Z,2021-09-09,4,True,True,False,False
FREP-13494-W,2021-08-17,0,True,True,True,True
FREP-13496-W,2021-08-17,0,True,True,False,False
FREP-13499-W,2021-08-17,0,True,True,False,False
FREP-13502-O,2023-03-24,1,True,True,False,False
FREP-13502-W,2021-08-17,0,True,True,False,False
FREP-135100-Z,2023-03-23,4,True,True,False,False
FREP-13520-O,2023-03-27,2,True,True,False,False
FREP-13521-O,2023-03-27,2,True,True,False,False
FREP-13522-O,2023-03-27,2,True,True,False,False
FREP-13524-O,2023-03-27,2,True,True,False,False
FREP-13531-O,2023-04-19,3,True,True,False,False
FREP-13533-O,2024-02-04,1,True,True,False,False
FREP-135362-Z,2021-10-28,2,True,True,False,False
FREP-13543-W,2021-08-19,0,True,True,False,False
FREP-13549-W,2021-08-20,3,True,True,False,False
FREP-135505-G,2023-01-13,3,True,True,False,False
FREP-13551-O,2023-04-20,4,True,True,False,False
FREP-13563-W,2021-08-30,4,True,True,False,False
FREP-13564-W,2021-08-27,0,True,True,False,False
FREP-135650-G,2023-01-12,0,True,True,False,False
FREP-13574-W,2021-08-27,0,True,True,False,False
FREP-13581-O,2023-04-28,1,True,True,False,False
FREP-13593-W,2021-09-03,2,True,True,False,False
FREP-136030-G,2021-04-21,0,True,True,False,False
FREP-13608-O,2023-03-29,0,True,True,False,False
FREP-13629-O,2023-03-31,4,True,True,False,False
FREP-13629-W,2021-09-04,0,True,True,True,True
