requirement_id,claim_id,source_status,final_status,authoritative_sources,source_run,source_sha256,producer,export_function,configuration,transformation,dependencies,review,gap_and_minimal_action
C02,CL_C02,COMPLETION,已生成,review_package/data/combined_E0_final.csv;review_package/data/combined_R0c_final.csv;analysis_new/model_selection.py;analysis_new/final_models.py;analysis_new/weather_only_regression.py;analysis_new/knot_estimation.py;analysis_new/plateau_model.py;analysis_new/basis_solver.py;results/new/20260909183317/results/model_selection/E0_model_comparison.csv;results/new/20260909183317/results/model_selection/E0_coefficients.xlsx;results/new/20260909183317/results/model_selection/knots.json;results/new/20260909183317/results/model_selection/ramp_model.json;results/new/20260909183317/results/model_selection/ramp_model_R0c.json;results/new/20260909183317/results/final_models/final_summary.json;results/new/20260909183317/results/weather_only/weather_only_summary.json;results/new/20260909183317/results/final_models/E0_final_twoway.csv;results/new/20260909183317/results/final_models/R0c_final_twoway.csv;results/new/20260909183317/results/weather_only/E0_weather_paper_twoway.csv;results/new/20260909183317/results/weather_only/E0_weather_hinge_twoway.csv;results/new/20260909183317/results/weather_only/E0_weather_final_twoway.csv;results/new/20260909183317/results/weather_only/R0c_weather_paper_twoway.csv;results/new/20260909183317/results/weather_only/R0c_weather_hinge_twoway.csv;results/new/20260909183317/results/weather_only/R0c_weather_final_twoway.csv,20260909183317,review_package/data/combined_E0_final.csv:6a82fedd4dd77f4218f89f47058cafea7cc7c34867120589cdbeba8fca63ec38;review_package/data/combined_R0c_final.csv:313e5cea062eec015b5dbfdd61986ed277e058ab8fe9e0fa33ee773d936e72a9;analysis_new/model_selection.py:a1bceefb6a24da496b69d64e0414a879e7e5e5eafa65071b02dfc64f2c83cd1d;analysis_new/final_models.py:4ffcc8764848c4c348a5a6aec460d74a1f03c5c90be7365c3ca70345c3f53310;analysis_new/weather_only_regression.py:b7db64e8bd350dfbcabacd3f2ad7d2514ad26a4fb5d7f622d9989072b80ff9bd;analysis_new/knot_estimation.py:69c07f14a33db4942cf7e43db19f1de0fe9094088d1488297a05a3a10606bf8f;analysis_new/plateau_model.py:672d8ee3fc667b9192f4fe6f40bde033d27306e6298677e51af5e411eb3f3bdd;analysis_new/basis_solver.py:ab181c3628721a83aac4d2d2bbe5cd2fbed2074de8ebaa427769f6a1c914cb9a;results/new/20260909183317/results/model_selection/E0_model_comparison.csv:5be68241e8581134a3ef3f54cebe6e5152c73db65e6be184c04aff4aafd3fc8a;results/new/20260909183317/results/model_selection/E0_coefficients.xlsx:d889100fd6c2b0de04260114f1ad100655fb3e496643023c28759bdb4b0f6ea5;results/new/20260909183317/results/model_selection/knots.json:af506c6ec5b9ba4c3f3450bf88a02afb87e4116f798233bb5920341c95f5bb3b;results/new/20260909183317/results/model_selection/ramp_model.json:ce9f95991d1f2d96e084103021153f1c5be63e833f923ae8564b8562b3083623;results/new/20260909183317/results/model_selection/ramp_model_R0c.json:521d363cc4e001e8ff10ae47605d31591014f5f846447bfa9fee1577ae64e3ef;results/new/20260909183317/results/final_models/final_summary.json:3432d0bdbd3a6ccfb3a689613c8483dde5ad26489f49f960a37a9f9abe264741;results/new/20260909183317/results/weather_only/weather_only_summary.json:286b36e35231108b8403bda654ec05e2d41550001797fd365e39b98e086ec555;results/new/20260909183317/results/final_models/E0_final_twoway.csv:491c75aea00d6a4a60a04026978eba65072e1576e0974dfaa211c96954487f94;results/new/20260909183317/results/final_models/R0c_final_twoway.csv:0dab57b08504cba609ca93c282fa3ccf8b1bde92a9b679286efd965255cb54a2;results/new/20260909183317/results/weather_only/E0_weather_paper_twoway.csv:3127bb1e88f37f2ad617beb4ae89d56175f088a1e7dbd032f7a2be7823366632;results/new/20260909183317/results/weather_only/E0_weather_hinge_twoway.csv:f0f47980a4cebdda9722e7d7180e29a7b9f54035179d8018b6fa7f158c3c35ac;results/new/20260909183317/results/weather_only/E0_weather_final_twoway.csv:994d2218bae8a395f72905e708e6f34763ea5990285d5792bf9de0ea890c400a;results/new/20260909183317/results/weather_only/R0c_weather_paper_twoway.csv:aff72a4663243d0d92816628206ca830c55fcf12ca84a01d4600d213207e554e;results/new/20260909183317/results/weather_only/R0c_weather_hinge_twoway.csv:cb846e2ab94541dc74843302eee67fd1da910eeebd1cad64a03be57f70afb9e8;results/new/20260909183317/results/weather_only/R0c_weather_final_twoway.csv:ba69ee5391716b3273a38bb6203da0781b63623dd49be5491a2addf89f7ba220,analysis_new.appendix.c_completion:generate,analysis_new.appendix.c_completion:generate,"{""task"": ""APP-C-COMPLETE"", ""seed"": 20260908}",c_complete,"Python,pandas,numpy,matplotlib; existing frozen source files",,
C03,CL_C03,COMPLETION,已生成,review_package/data/combined_E0_final.csv;review_package/data/combined_R0c_final.csv;analysis_new/model_selection.py;analysis_new/final_models.py;analysis_new/weather_only_regression.py;analysis_new/knot_estimation.py;analysis_new/plateau_model.py;analysis_new/basis_solver.py;results/new/20260909183317/results/model_selection/E0_model_comparison.csv;results/new/20260909183317/results/model_selection/E0_coefficients.xlsx;results/new/20260909183317/results/model_selection/knots.json;results/new/20260909183317/results/model_selection/ramp_model.json;results/new/20260909183317/results/model_selection/ramp_model_R0c.json;results/new/20260909183317/results/final_models/final_summary.json;results/new/20260909183317/results/weather_only/weather_only_summary.json;results/new/20260909183317/results/final_models/E0_final_twoway.csv;results/new/20260909183317/results/final_models/R0c_final_twoway.csv;results/new/20260909183317/results/weather_only/E0_weather_paper_twoway.csv;results/new/20260909183317/results/weather_only/E0_weather_hinge_twoway.csv;results/new/20260909183317/results/weather_only/E0_weather_final_twoway.csv;results/new/20260909183317/results/weather_only/R0c_weather_paper_twoway.csv;results/new/20260909183317/results/weather_only/R0c_weather_hinge_twoway.csv;results/new/20260909183317/results/weather_only/R0c_weather_final_twoway.csv,20260909183317,review_package/data/combined_E0_final.csv:6a82fedd4dd77f4218f89f47058cafea7cc7c34867120589cdbeba8fca63ec38;review_package/data/combined_R0c_final.csv:313e5cea062eec015b5dbfdd61986ed277e058ab8fe9e0fa33ee773d936e72a9;analysis_new/model_selection.py:a1bceefb6a24da496b69d64e0414a879e7e5e5eafa65071b02dfc64f2c83cd1d;analysis_new/final_models.py:4ffcc8764848c4c348a5a6aec460d74a1f03c5c90be7365c3ca70345c3f53310;analysis_new/weather_only_regression.py:b7db64e8bd350dfbcabacd3f2ad7d2514ad26a4fb5d7f622d9989072b80ff9bd;analysis_new/knot_estimation.py:69c07f14a33db4942cf7e43db19f1de0fe9094088d1488297a05a3a10606bf8f;analysis_new/plateau_model.py:672d8ee3fc667b9192f4fe6f40bde033d27306e6298677e51af5e411eb3f3bdd;analysis_new/basis_solver.py:ab181c3628721a83aac4d2d2bbe5cd2fbed2074de8ebaa427769f6a1c914cb9a;results/new/20260909183317/results/model_selection/E0_model_comparison.csv:5be68241e8581134a3ef3f54cebe6e5152c73db65e6be184c04aff4aafd3fc8a;results/new/20260909183317/results/model_selection/E0_coefficients.xlsx:d889100fd6c2b0de04260114f1ad100655fb3e496643023c28759bdb4b0f6ea5;results/new/20260909183317/results/model_selection/knots.json:af506c6ec5b9ba4c3f3450bf88a02afb87e4116f798233bb5920341c95f5bb3b;results/new/20260909183317/results/model_selection/ramp_model.json:ce9f95991d1f2d96e084103021153f1c5be63e833f923ae8564b8562b3083623;results/new/20260909183317/results/model_selection/ramp_model_R0c.json:521d363cc4e001e8ff10ae47605d31591014f5f846447bfa9fee1577ae64e3ef;results/new/20260909183317/results/final_models/final_summary.json:3432d0bdbd3a6ccfb3a689613c8483dde5ad26489f49f960a37a9f9abe264741;results/new/20260909183317/results/weather_only/weather_only_summary.json:286b36e35231108b8403bda654ec05e2d41550001797fd365e39b98e086ec555;results/new/20260909183317/results/final_models/E0_final_twoway.csv:491c75aea00d6a4a60a04026978eba65072e1576e0974dfaa211c96954487f94;results/new/20260909183317/results/final_models/R0c_final_twoway.csv:0dab57b08504cba609ca93c282fa3ccf8b1bde92a9b679286efd965255cb54a2;results/new/20260909183317/results/weather_only/E0_weather_paper_twoway.csv:3127bb1e88f37f2ad617beb4ae89d56175f088a1e7dbd032f7a2be7823366632;results/new/20260909183317/results/weather_only/E0_weather_hinge_twoway.csv:f0f47980a4cebdda9722e7d7180e29a7b9f54035179d8018b6fa7f158c3c35ac;results/new/20260909183317/results/weather_only/E0_weather_final_twoway.csv:994d2218bae8a395f72905e708e6f34763ea5990285d5792bf9de0ea890c400a;results/new/20260909183317/results/weather_only/R0c_weather_paper_twoway.csv:aff72a4663243d0d92816628206ca830c55fcf12ca84a01d4600d213207e554e;results/new/20260909183317/results/weather_only/R0c_weather_hinge_twoway.csv:cb846e2ab94541dc74843302eee67fd1da910eeebd1cad64a03be57f70afb9e8;results/new/20260909183317/results/weather_only/R0c_weather_final_twoway.csv:ba69ee5391716b3273a38bb6203da0781b63623dd49be5491a2addf89f7ba220,analysis_new.appendix.c_completion:generate,analysis_new.appendix.c_completion:generate,"{""task"": ""APP-C-COMPLETE"", ""seed"": 20260908}",c_complete,"Python,pandas,numpy,matplotlib; existing frozen source files",,
C04,CL_C04,COMPLETION,已生成,review_package/data/combined_E0_final.csv;review_package/data/combined_R0c_final.csv;analysis_new/model_selection.py;analysis_new/final_models.py;analysis_new/weather_only_regression.py;analysis_new/knot_estimation.py;analysis_new/plateau_model.py;analysis_new/basis_solver.py;results/new/20260909183317/results/model_selection/E0_model_comparison.csv;results/new/20260909183317/results/model_selection/E0_coefficients.xlsx;results/new/20260909183317/results/model_selection/knots.json;results/new/20260909183317/results/model_selection/ramp_model.json;results/new/20260909183317/results/model_selection/ramp_model_R0c.json;results/new/20260909183317/results/final_models/final_summary.json;results/new/20260909183317/results/weather_only/weather_only_summary.json;results/new/20260909183317/results/final_models/E0_final_twoway.csv;results/new/20260909183317/results/final_models/R0c_final_twoway.csv;results/new/20260909183317/results/weather_only/E0_weather_paper_twoway.csv;results/new/20260909183317/results/weather_only/E0_weather_hinge_twoway.csv;results/new/20260909183317/results/weather_only/E0_weather_final_twoway.csv;results/new/20260909183317/results/weather_only/R0c_weather_paper_twoway.csv;results/new/20260909183317/results/weather_only/R0c_weather_hinge_twoway.csv;results/new/20260909183317/results/weather_only/R0c_weather_final_twoway.csv,20260909183317,review_package/data/combined_E0_final.csv:6a82fedd4dd77f4218f89f47058cafea7cc7c34867120589cdbeba8fca63ec38;review_package/data/combined_R0c_final.csv:313e5cea062eec015b5dbfdd61986ed277e058ab8fe9e0fa33ee773d936e72a9;analysis_new/model_selection.py:a1bceefb6a24da496b69d64e0414a879e7e5e5eafa65071b02dfc64f2c83cd1d;analysis_new/final_models.py:4ffcc8764848c4c348a5a6aec460d74a1f03c5c90be7365c3ca70345c3f53310;analysis_new/weather_only_regression.py:b7db64e8bd350dfbcabacd3f2ad7d2514ad26a4fb5d7f622d9989072b80ff9bd;analysis_new/knot_estimation.py:69c07f14a33db4942cf7e43db19f1de0fe9094088d1488297a05a3a10606bf8f;analysis_new/plateau_model.py:672d8ee3fc667b9192f4fe6f40bde033d27306e6298677e51af5e411eb3f3bdd;analysis_new/basis_solver.py:ab181c3628721a83aac4d2d2bbe5cd2fbed2074de8ebaa427769f6a1c914cb9a;results/new/20260909183317/results/model_selection/E0_model_comparison.csv:5be68241e8581134a3ef3f54cebe6e5152c73db65e6be184c04aff4aafd3fc8a;results/new/20260909183317/results/model_selection/E0_coefficients.xlsx:d889100fd6c2b0de04260114f1ad100655fb3e496643023c28759bdb4b0f6ea5;results/new/20260909183317/results/model_selection/knots.json:af506c6ec5b9ba4c3f3450bf88a02afb87e4116f798233bb5920341c95f5bb3b;results/new/20260909183317/results/model_selection/ramp_model.json:ce9f95991d1f2d96e084103021153f1c5be63e833f923ae8564b8562b3083623;results/new/20260909183317/results/model_selection/ramp_model_R0c.json:521d363cc4e001e8ff10ae47605d31591014f5f846447bfa9fee1577ae64e3ef;results/new/20260909183317/results/final_models/final_summary.json:3432d0bdbd3a6ccfb3a689613c8483dde5ad26489f49f960a37a9f9abe264741;results/new/20260909183317/results/weather_only/weather_only_summary.json:286b36e35231108b8403bda654ec05e2d41550001797fd365e39b98e086ec555;results/new/20260909183317/results/final_models/E0_final_twoway.csv:491c75aea00d6a4a60a04026978eba65072e1576e0974dfaa211c96954487f94;results/new/20260909183317/results/final_models/R0c_final_twoway.csv:0dab57b08504cba609ca93c282fa3ccf8b1bde92a9b679286efd965255cb54a2;results/new/20260909183317/results/weather_only/E0_weather_paper_twoway.csv:3127bb1e88f37f2ad617beb4ae89d56175f088a1e7dbd032f7a2be7823366632;results/new/20260909183317/results/weather_only/E0_weather_hinge_twoway.csv:f0f47980a4cebdda9722e7d7180e29a7b9f54035179d8018b6fa7f158c3c35ac;results/new/20260909183317/results/weather_only/E0_weather_final_twoway.csv:994d2218bae8a395f72905e708e6f34763ea5990285d5792bf9de0ea890c400a;results/new/20260909183317/results/weather_only/R0c_weather_paper_twoway.csv:aff72a4663243d0d92816628206ca830c55fcf12ca84a01d4600d213207e554e;results/new/20260909183317/results/weather_only/R0c_weather_hinge_twoway.csv:cb846e2ab94541dc74843302eee67fd1da910eeebd1cad64a03be57f70afb9e8;results/new/20260909183317/results/weather_only/R0c_weather_final_twoway.csv:ba69ee5391716b3273a38bb6203da0781b63623dd49be5491a2addf89f7ba220,analysis_new.appendix.c_completion:generate,analysis_new.appendix.c_completion:generate,"{""task"": ""APP-C-COMPLETE"", ""seed"": 20260908}",c_complete,"Python,pandas,numpy,matplotlib; existing frozen source files",,
D01,CL_D01,FORMAT,已生成,results/new/20260909183317/results/model_selection/knots.json;results/new/20260909183317/results/model_selection/ramp_model.json;results/new/20260909183317/results/model_selection/ramp_model_R0c.json,20260909183317,results/new/20260909183317/results/model_selection/knots.json:af506c6ec5b9ba4c3f3450bf88a02afb87e4116f798233bb5920341c95f5bb3b;results/new/20260909183317/results/model_selection/ramp_model.json:ce9f95991d1f2d96e084103021153f1c5be63e833f923ae8564b8562b3083623;results/new/20260909183317/results/model_selection/ramp_model_R0c.json:521d363cc4e001e8ff10ae47605d31591014f5f846447bfa9fee1577ae64e3ef,analysis_new/knot_estimation.py; plateau_model.py,analysis_new.appendix.exporters:knots,{},knots,"Python,pandas,numpy,matplotlib; existing frozen source files",,
D02,CL_D02,FORMAT,已生成,results/new/20260909183317/results/model_selection/E0_all_plateau_profile.csv;results/new/20260909183317/results/model_selection/E0_all_plateau_bootstrap.csv;results/new/20260909183317/results/model_selection/E0_weather_plateau_profile.csv;results/new/20260909183317/results/model_selection/E0_weather_plateau_bootstrap.csv,20260909183317,results/new/20260909183317/results/model_selection/E0_all_plateau_profile.csv:3547170e114283ce44efea242a8d7220fae02bd62b2d16c6109c1af6bd43ef3c;results/new/20260909183317/results/model_selection/E0_all_plateau_bootstrap.csv:9f117c89925071619d0e5ec257095b13b9feb5601195cc1ef12a5bd4e8e68a86;results/new/20260909183317/results/model_selection/E0_weather_plateau_profile.csv:b2f44fe02e3d584231a2673236e52ee8ed2886f2502349a21588e2521c7d2c18;results/new/20260909183317/results/model_selection/E0_weather_plateau_bootstrap.csv:30cfb33b76731a5cadad5cac86e48d38b335c4509ff4c871349a14afbdde2041,analysis_new/plateau_model.py,analysis_new.appendix.exporters:profiles,{},profiles,"Python,pandas,numpy,matplotlib; existing frozen source files",,
E01,CL_E01,FORMAT,已生成,results/new/20260909183317/results/paper/paper_extras.json;analysis_new/paper_extras.py,20260909183317,results/new/20260909183317/results/paper/paper_extras.json:3ed00f4f19ab19fe3fdf32ad17a79500e13f0eae5262d280f88830d6bcd4090e;analysis_new/paper_extras.py:a6699f2b0ae820d0a5766041b1db217185c70cc931452686ee953595e7075b70,analysis_new/paper_extras.py,analysis_new.appendix.exporters:period,{},period,"Python,pandas,numpy,matplotlib; existing frozen source files",,
F01,CL_F01,FORMAT,已生成,results/new/20260909183317/results/final_models/E0_final_lad.csv;results/new/20260909183317/results/final_models/E0_final_twoway.csv;results/new/20260909183317/results/final_models/R0c_final_lad.csv;results/new/20260909183317/results/final_models/R0c_final_twoway.csv;results/new/20260909183317/results/weather_only/E0_weather_final_twoway.csv;results/new/20260909183317/results/weather_only/R0c_weather_final_twoway.csv,20260909183317,results/new/20260909183317/results/final_models/E0_final_lad.csv:2d7bc26b90a58031268cec59e0c1e7d84ef5b0a60634f009efc23d75c45dcc6d;results/new/20260909183317/results/final_models/E0_final_twoway.csv:491c75aea00d6a4a60a04026978eba65072e1576e0974dfaa211c96954487f94;results/new/20260909183317/results/final_models/R0c_final_lad.csv:46f803512e3124cf8895a8e9d127fe46da16f36e7a280c3537683b0d93341e13;results/new/20260909183317/results/final_models/R0c_final_twoway.csv:0dab57b08504cba609ca93c282fa3ccf8b1bde92a9b679286efd965255cb54a2;results/new/20260909183317/results/weather_only/E0_weather_final_twoway.csv:994d2218bae8a395f72905e708e6f34763ea5990285d5792bf9de0ea890c400a;results/new/20260909183317/results/weather_only/R0c_weather_final_twoway.csv:ba69ee5391716b3273a38bb6203da0781b63623dd49be5491a2addf89f7ba220,analysis_new/final_models.py; weather_only_regression.py,analysis_new.appendix.exporters:coefficients,{},coefficients,"Python,pandas,numpy,matplotlib; existing frozen source files",,
F02,CL_F02,COMPLETION,产物已补齐/研究负责人已关闭推断补全缺口,review_package/data/combined_E0_final.csv;review_package/data/combined_R0c_final.csv;analysis_new/weather_only_regression.py;analysis_new/model_selection.py;analysis_new/final_models.py;analysis_new/appendix/design_adapter.py;results/new/20260909183317/results/weather_only/weather_only_summary.json;results/Appendix/C/tables/C_SAMPLE_DEFINITIONS.csv;results/new/20260909183317/results/weather_only/E0_weather_final_twoway.csv;results/Appendix/C/data/models/E0_weather/F08/result.json;results/Appendix/C/data/models/E0_weather/F08/preprocessing.json;results/Appendix/C/data/models/E0_weather/F08/in_sample.csv.gz;results/Appendix/C/data/models/E0_weather/F08/coefficients.csv;results/new/20260909183317/results/weather_only/R0c_weather_final_twoway.csv;results/Appendix/C/data/models/R0c_weather/F06/result.json;results/Appendix/C/data/models/R0c_weather/F06/preprocessing.json;results/Appendix/C/data/models/R0c_weather/F06/in_sample.csv.gz;results/Appendix/C/data/models/R0c_weather/F06/coefficients.csv,20260909183317,review_package/data/combined_E0_final.csv:6a82fedd4dd77f4218f89f47058cafea7cc7c34867120589cdbeba8fca63ec38;review_package/data/combined_R0c_final.csv:313e5cea062eec015b5dbfdd61986ed277e058ab8fe9e0fa33ee773d936e72a9;analysis_new/weather_only_regression.py:b7db64e8bd350dfbcabacd3f2ad7d2514ad26a4fb5d7f622d9989072b80ff9bd;analysis_new/model_selection.py:a1bceefb6a24da496b69d64e0414a879e7e5e5eafa65071b02dfc64f2c83cd1d;analysis_new/final_models.py:4ffcc8764848c4c348a5a6aec460d74a1f03c5c90be7365c3ca70345c3f53310;analysis_new/appendix/design_adapter.py:7f4b4ed2c1647f6c759bcb45017c172d008dfe6b9a8abda11d00c5c3b8781529;results/new/20260909183317/results/weather_only/weather_only_summary.json:286b36e35231108b8403bda654ec05e2d41550001797fd365e39b98e086ec555;results/Appendix/C/tables/C_SAMPLE_DEFINITIONS.csv:a55abc79b7bdd3c065944de4b74cb4a8aaf7f7b10f089e4dc70fef056288ac41;results/new/20260909183317/results/weather_only/E0_weather_final_twoway.csv:994d2218bae8a395f72905e708e6f34763ea5990285d5792bf9de0ea890c400a;results/Appendix/C/data/models/E0_weather/F08/result.json:a5f2bc6ceaa6111fa627e7954f19686afe9c9b9055f03ff0c18f7b9780a901d7;results/Appendix/C/data/models/E0_weather/F08/preprocessing.json:59a9f3d7aff2533f9d27a89d4d02d854991c4d54563d08a511bb6d05161f3648;results/Appendix/C/data/models/E0_weather/F08/in_sample.csv.gz:e55e747678b2a928a6c0130df2740452b2a0e54416a3193cf6960d0b921b85aa;results/Appendix/C/data/models/E0_weather/F08/coefficients.csv:a53cf97477a4f04ebd837a8ddfb9e2156a11a54d5a8ee3fdd98aa5987d9bc7d8;results/new/20260909183317/results/weather_only/R0c_weather_final_twoway.csv:ba69ee5391716b3273a38bb6203da0781b63623dd49be5491a2addf89f7ba220;results/Appendix/C/data/models/R0c_weather/F06/result.json:1678db65d47d4e5684eca6210cf58950e4f070ff8f0b63b97fd93c52a8eafd3e;results/Appendix/C/data/models/R0c_weather/F06/preprocessing.json:bce2375bd8fdc03c9069b90f9281ffc4e26a2eb07a80e1e8a54371b167d1c3fa;results/Appendix/C/data/models/R0c_weather/F06/in_sample.csv.gz:e20b35e9d3ca550352f2e3b4d7652c94c1a71182e0ea94a1d2be0765e83f3d21;results/Appendix/C/data/models/R0c_weather/F06/coefficients.csv:7843f66c35a5e8ae2acc012e96168f633c9c1a352ce27557ed99d933875e77fe,analysis_new.appendix.f02_cov:generate,analysis_new.appendix.f02_cov:generate,"{""task"": ""APP-F02-COV"", ""use_correction"": true, ""reference"": ""t"", ""df"": ""G_LAD-1"", ""alpha"": 0.05}",f02_complete,"Python,pandas,numpy,matplotlib; existing frozen source files",,
F03,CL_F03,FORMAT,已生成,results/new/20260909183317/results/paper/r2_decomposition.csv,20260909183317,results/new/20260909183317/results/paper/r2_decomposition.csv:547ad247bc5571e6ffe452e2e39b13cf2ea73da8cfcea68023522855ff7909af,analysis_new/paper_extras.py,analysis_new.appendix.exporters:csv,{},csv,"Python,pandas,numpy,matplotlib; existing frozen source files",,
G01,CL_G01,FORMAT,已生成,results/new/20260909183317/results/model_selection/predicted_vs_observed_summary.csv,20260909183317,results/new/20260909183317/results/model_selection/predicted_vs_observed_summary.csv:f1fcace39c43913e4037f984db875ec87617eb00d3248dad059c68014da0540a,analysis_new/plot_model_selection.py,analysis_new.appendix.exporters:csv,{},csv,"Python,pandas,numpy,matplotlib; existing frozen source files",,
G02,CL_G02,FORMAT,已生成,results/new/20260909183317/results/final_models/final_summary.json;results/new/20260909183317/results/weather_only/weather_only_pred_vs_obs.csv,20260909183317,results/new/20260909183317/results/final_models/final_summary.json:3432d0bdbd3a6ccfb3a689613c8483dde5ad26489f49f960a37a9f9abe264741;results/new/20260909183317/results/weather_only/weather_only_pred_vs_obs.csv:f1caf2fb60d3160a10c259292c0455a218f54b4ddd285387a06f2bc278fdf4ad,analysis_new/final_models.py; weather_only_regression.py,analysis_new.appendix.exporters:final_prediction,{},final_prediction,"Python,pandas,numpy,matplotlib; existing frozen source files",,
G03,CL_G03,COMPLETION,产物已补齐/研究负责人已关闭第三包结果缺口,review_package/data/combined_E0_final.csv;review_package/data/combined_R0c_final.csv;docs/new_analysis/instructions/附录FGHIJ四步推进台账与第一步J03执行指令 (2).md;results/new/20260909183317/results/final_models/final_summary.json;results/new/20260909183317/results/weather_only/weather_only_summary.json;results/new/20260909183317/results/model_selection/knots.json;analysis_new/final_models.py;analysis_new/weather_only_regression.py;analysis_new/model_selection.py;analysis_new/plot_model_selection.py;scripts/c02_c08_repair_20260905/figure9_storm_validation.py;scripts/c02_c08_repair_20260905/corrected_sample_builder.py,20260909183317,review_package/data/combined_E0_final.csv:6a82fedd4dd77f4218f89f47058cafea7cc7c34867120589cdbeba8fca63ec38;review_package/data/combined_R0c_final.csv:313e5cea062eec015b5dbfdd61986ed277e058ab8fe9e0fa33ee773d936e72a9;docs/new_analysis/instructions/附录FGHIJ四步推进台账与第一步J03执行指令 (2).md:3fd5f721ff5c95ba2fe10db94146317c7add51c320d27193218a51312c522dfd;results/new/20260909183317/results/final_models/final_summary.json:3432d0bdbd3a6ccfb3a689613c8483dde5ad26489f49f960a37a9f9abe264741;results/new/20260909183317/results/weather_only/weather_only_summary.json:286b36e35231108b8403bda654ec05e2d41550001797fd365e39b98e086ec555;results/new/20260909183317/results/model_selection/knots.json:af506c6ec5b9ba4c3f3450bf88a02afb87e4116f798233bb5920341c95f5bb3b;analysis_new/final_models.py:4ffcc8764848c4c348a5a6aec460d74a1f03c5c90be7365c3ca70345c3f53310;analysis_new/weather_only_regression.py:b7db64e8bd350dfbcabacd3f2ad7d2514ad26a4fb5d7f622d9989072b80ff9bd;analysis_new/model_selection.py:a1bceefb6a24da496b69d64e0414a879e7e5e5eafa65071b02dfc64f2c83cd1d;analysis_new/plot_model_selection.py:5a0c8ce85b0f3228c773f51b78b12a72e538c33ce377a92186de0ccd0d53e392;scripts/c02_c08_repair_20260905/figure9_storm_validation.py:67350fbbee8f4d44adde39d503b0233501bfdd1dbf8d247f9729cd596d89932d;scripts/c02_c08_repair_20260905/corrected_sample_builder.py:feb1ddd4f42dacd31a127c747826d26a4948e1409cfd406e601e985ed8e8bb8d,analysis_new.appendix.gi_completion:generate,analysis_new.appendix.gi_completion:generate,"{""task"": ""APP-GI-PRED"", ""seed"": 20260908, ""knots"": ""fixed original production"", ""status"": ""researcher closed results gap; writing changes pending""}",gi_complete,"Python,pandas,numpy,matplotlib; existing frozen source files",,
H01,CL_H01,FORMAT,已生成,results/new/20260909183317/results/model_selection/fragility_summary.json,20260909183317,results/new/20260909183317/results/model_selection/fragility_summary.json:3b6732df959c7fec4ca65d289689998f617edabce354a5ae36f693371fb3b79c,analysis_new/fragility_demo.py,analysis_new.appendix.exporters:ordinal,{},ordinal,"Python,pandas,numpy,matplotlib; existing frozen source files",,
H02,CL_H02,FORMAT,已生成,results/new/20260909183317/results/model_selection/fragility_lognormal.json;results/new/20260909183317/results/model_selection/fragility_optimizer_diagnostics.json,20260909183317,results/new/20260909183317/results/model_selection/fragility_lognormal.json:022d45a861d7ef0c9b9d3c6b9ca58072dbd735e67d7624bbd122909a504e5b58;results/new/20260909183317/results/model_selection/fragility_optimizer_diagnostics.json:2080150b3016fe5b74d64b8932429768773cb3e92527a80e27d88c01bf68b3cb,analysis_new/fragility_surfaces.py,analysis_new.appendix.exporters:conditional,{},conditional,"Python,pandas,numpy,matplotlib; existing frozen source files",,
