k1,k2
10.0,19.0
8.0,18.0
15.0,20.0
15.0,20.0
16.0,20.0
13.0,20.0
13.0,19.0
13.0,18.0
14.0,20.0
18.0,28.0
13.0,18.0
9.0,18.0
8.0,18.0
10.0,18.0
14.0,20.0
14.0,20.0
14.0,21.0
13.0,20.0
8.0,18.0
8.0,18.0
13.0,18.0
13.0,19.0
15.0,20.0
14.0,20.0
16.0,20.0
13.0,20.0
8.0,18.0
13.0,18.0
9.0,18.0
15.0,21.0
9.0,19.0
13.0,20.0
13.0,19.0
13.0,18.0
14.0,21.0
9.0,18.0
9.0,19.0
14.0,19.0
11.0,19.0
13.0,19.0
10.0,19.0
14.0,21.0
8.0,18.0
13.0,19.0
8.0,18.0
8.0,18.0
13.0,20.0
13.0,20.0
8.0,18.0
9.0,18.0
13.0,19.0
8.0,18.0
13.0,19.0
13.0,18.0
13.0,20.0
15.0,21.0
8.0,18.0
9.0,18.0
14.0,20.0
14.0,20.0
15.0,22.0
13.0,20.0
14.0,20.0
15.0,25.0
13.0,18.0
9.0,18.0
15.0,21.0
13.0,21.0
15.0,19.0
15.0,21.0
8.0,18.0
8.0,18.0
14.0,21.0
15.0,20.0
15.0,25.0
16.0,20.0
14.0,20.0
14.0,21.0
13.0,18.0
13.0,18.0
11.0,18.0
14.0,20.0
14.0,19.0
13.0,20.0
14.0,19.0
14.0,20.0
15.0,21.0
9.0,18.0
13.0,20.0
9.0,18.0
13.0,19.0
15.0,20.0
13.0,19.0
13.0,19.0
10.0,18.0
17.0,27.0
17.0,28.0
14.0,19.0
13.0,19.0
13.0,18.0
15.0,19.0
13.0,18.0
10.0,18.0
15.0,19.0
8.0,18.0
15.0,21.0
15.0,20.0
10.0,18.0
14.0,21.0
15.0,20.0
13.0,20.0
14.0,19.0
9.0,18.0
13.0,19.0
8.0,18.0
14.0,20.0
14.0,18.0
13.0,19.0
9.0,19.0
14.0,21.0
8.0,19.0
13.0,20.0
13.0,18.0
14.0,20.0
13.0,19.0
14.0,19.0
14.0,20.0
13.0,18.0
9.0,18.0
20.0,24.0
10.0,20.0
14.0,21.0
13.0,20.0
14.0,19.0
16.0,20.0
14.0,20.0
13.0,21.0
14.0,19.0
13.0,20.0
13.0,20.0
14.0,20.0
13.0,20.0
15.0,20.0
14.0,21.0
14.0,20.0
8.0,19.0
13.0,20.0
13.0,19.0
14.0,21.0
13.0,18.0
10.0,19.0
9.0,18.0
13.0,19.0
13.0,18.0
16.0,25.0
14.0,18.0
13.0,20.0
13.0,18.0
15.0,21.0
20.0,24.0
14.0,20.0
14.0,22.0
10.0,20.0
15.0,20.0
14.0,21.0
14.0,20.0
14.0,20.0
14.0,19.0
8.0,18.0
15.0,20.0
9.0,18.0
13.0,19.0
15.0,19.0
9.0,18.0
15.0,21.0
13.0,20.0
9.0,18.0
14.0,20.0
16.0,20.0
13.0,19.0
8.0,18.0
13.0,19.0
8.0,18.0
9.0,18.0
13.0,19.0
9.0,18.0
13.0,21.0
16.0,27.0
13.0,19.0
