LAD21CD,status,mean_eta,exp_mean_eta,mean_exp_eta,interpretation,regional_proxy_flag
E06000031,descriptive_common_calendar,2.0457816979207,7.73520276714066,7.832200335714665,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000077,descriptive_common_calendar,1.8325313222627617,6.249686623571968,6.328058132395101,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000095,descriptive_common_calendar,2.0088051053143183,7.454404794924498,7.547871895299014,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000096,descriptive_common_calendar,2.067432124617083,7.904499265379341,8.003611319731666,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000098,descriptive_common_calendar,1.9588914640779915,7.091461566482193,7.180403563762011,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000099,descriptive_common_calendar,1.992612661856056,7.334671768009452,7.426658952737096,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000102,descriptive_common_calendar,2.0409269430204153,7.6977412603952935,7.794291729460653,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000103,descriptive_common_calendar,1.9837854191257682,7.270211760593095,7.361351803685298,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000105,descriptive_common_calendar,2.032259796013207,7.631312096774258,7.726974917487569,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000106,descriptive_common_calendar,1.9921562631817977,7.331324997327358,7.42326514793891,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000107,descriptive_common_calendar,2.025231931932504,7.577868290473529,7.672847324812946,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000108,descriptive_common_calendar,2.006769134057116,7.439243280463574,7.532543095937945,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000109,descriptive_common_calendar,2.0458214356439384,7.73551015259477,7.832494536875861,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000110,descriptive_common_calendar,2.018355407084342,7.525937646694265,7.620276435270346,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000111,descriptive_common_calendar,1.882778377232457,6.571738288832553,6.654177410781734,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000112,descriptive_common_calendar,2.063563870643662,7.873981717554767,7.972738799725467,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000113,descriptive_common_calendar,1.9082932770086105,6.741572976570364,6.826118660550631,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000114,descriptive_common_calendar,2.072981209822154,7.948483929765687,8.048198153240927,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000115,descriptive_common_calendar,1.9839676753407345,7.271536922626424,7.362725255643929,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000116,descriptive_common_calendar,1.9899346955809205,7.315056041225781,7.406786898444823,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000143,descriptive_common_calendar,1.869162767811417,6.482866462068452,6.564171220692193,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000144,descriptive_common_calendar,1.9651174456141325,7.135750603558909,7.225222458471852,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000145,descriptive_common_calendar,2.098924981637207,8.157395846943771,8.259734595757916,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000146,descriptive_common_calendar,1.884000989668287,6.579777891447115,6.662328095451037,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000147,descriptive_common_calendar,1.8290147448338638,6.227747714199208,6.305888994867188,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000148,descriptive_common_calendar,2.029289681558027,7.608679853218182,7.704111403107786,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000149,descriptive_common_calendar,1.8365193968529543,6.2746606059439785,6.353344157963416,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000179,descriptive_common_calendar,1.867226486784059,6.470325955625457,6.551460865360755,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000200,descriptive_common_calendar,1.8623324257978426,6.438737147625142,6.519471387273661,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000202,descriptive_common_calendar,2.0233111140755895,7.563326556226276,7.658219320707709,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000203,descriptive_common_calendar,1.7881834134663088,5.9785819842635854,6.053520277661782,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000207,descriptive_common_calendar,1.974121825405023,7.2002937615503,7.290617936352954,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000208,descriptive_common_calendar,1.9858565331373994,7.285284801643243,7.376642869925463,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000209,descriptive_common_calendar,1.9761915185543866,7.215211592563107,7.305669527899478,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000210,descriptive_common_calendar,1.952144786255841,7.043778791034015,7.132138643737285,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000211,descriptive_common_calendar,1.9964562408759685,7.36291740593262,7.455230218993277,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000212,descriptive_common_calendar,1.996737689638232,7.364989981571411,7.457321122592854,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000213,descriptive_common_calendar,2.0476042202882017,7.749313201586376,7.846491577288652,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000215,descriptive_common_calendar,1.9681350303584464,7.157315856844996,7.247080522458632,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000216,descriptive_common_calendar,1.8094799121754275,6.107270289186739,6.183843624051219,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000217,descriptive_common_calendar,1.9599552246647822,7.099009197523838,7.188060730545232,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000223,descriptive_common_calendar,1.9980740859311263,7.374839106581221,7.4673760258752315,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000224,descriptive_common_calendar,2.023180733399879,7.562340508881412,7.657182599479313,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000226,descriptive_common_calendar,2.022558387901708,7.557635584506184,7.6523818697356445,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000227,descriptive_common_calendar,1.8260798321905112,6.209496614485654,6.287383545809488,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000228,descriptive_common_calendar,1.9499293365365387,7.028190926729109,7.116294971387491,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000229,descriptive_common_calendar,2.009550314494653,7.459961956178223,7.553534554937744,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000240,descriptive_common_calendar,1.971848207306452,7.183941639623332,7.274053809096709,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000241,descriptive_common_calendar,2.0442064465905583,7.723027470786358,7.819885920703432,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000242,descriptive_common_calendar,1.9558733943280668,7.070091305536047,7.158744804968847,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000243,descriptive_common_calendar,1.9943826762320325,7.347665738847033,7.439816161445546,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000001,descriptive_common_calendar,1.8677597360686453,6.473777172409995,6.55445698709812,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000002,descriptive_common_calendar,2.0784020140669797,7.9916881000703945,8.091844510727615,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000003,descriptive_common_calendar,2.0399359363043827,7.690116525813567,7.786526603035314,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000004,descriptive_common_calendar,2.1128677839688224,8.271929408730346,8.37564355736066,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000005,descriptive_common_calendar,2.1182243622501904,8.316357531273272,8.420619483347672,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000006,descriptive_common_calendar,2.0756712766673258,7.969894668101703,8.069862868788743,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000007,descriptive_common_calendar,2.0605008244912866,7.8499002483049996,7.948396559795748,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000008,descriptive_common_calendar,2.0666465909387113,7.89829245314491,7.997304787004335,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000010,descriptive_common_calendar,2.1600348321351244,8.671439697962366,8.780236023000299,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000011,descriptive_common_calendar,2.0621397506929555,7.862776203990854,7.961377221575022,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000012,descriptive_common_calendar,2.041541824863629,7.702475917208148,7.799072713236083,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000013,descriptive_common_calendar,2.0240428285339633,7.568862776840193,7.663797055204425,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000014,descriptive_common_calendar,2.126068267598096,8.381846762474845,8.4870007537596,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000015,descriptive_common_calendar,2.031538028133189,7.625806048103981,7.721414635968987,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000016,descriptive_common_calendar,2.076542802334383,7.976843663542791,8.076839866800936,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000017,descriptive_common_calendar,2.0906893206441755,8.090490184501727,8.191873194233079,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000019,descriptive_common_calendar,2.019879672567055,7.537417920944299,7.631952390689509,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000020,descriptive_common_calendar,2.106454787148535,8.219051286573485,8.32218897542688,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000021,descriptive_common_calendar,1.966365312695898,7.14466062994889,7.23426738522986,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000022,descriptive_common_calendar,2.00968338411305,7.460954716520645,7.554566514603839,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000023,descriptive_common_calendar,2.06231322395492,7.864140303741053,7.962801542945302,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000024,descriptive_common_calendar,2.1019723035958067,8.182291972422277,8.284920807531476,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000025,descriptive_common_calendar,2.0454641864500207,7.732747141399361,7.82965636050146,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000026,descriptive_common_calendar,2.0723592837707088,7.943542097426699,8.043145695118781,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000027,descriptive_common_calendar,1.962896864683241,7.11992267194654,7.2092459239548266,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000028,descriptive_common_calendar,2.070940178867729,7.932277372692727,8.0317577878533,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000029,descriptive_common_calendar,2.03389591148421,7.643808024162404,7.739678594577148,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000030,descriptive_common_calendar,2.0713809265804493,7.935774276370946,8.035291074793586,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000031,descriptive_common_calendar,2.0149435533132465,7.500304001943342,7.594381070299671,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000032,descriptive_common_calendar,2.0497242216188836,7.76575918247672,7.863154679782107,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000033,descriptive_common_calendar,2.060164534020849,7.847260845485493,7.945704618496854,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
