Incident Reference,incident_date_utc,cause_group_official,customers_v2_event_excl_reinterruptions,duration_B_full_span_hours
FREP-243696-Z,2021-06-18,weather_natural,125.0,6.816666666666666
FREP-19859-U,2022-03-10,weather_natural,789.0,5.766666666666667
FREP-243963-Z,2021-06-20,weather_natural,6.0,9.166666666666666
FREP-20683-U,2022-10-05,weather_natural,243.0,3.6
FREP-244295-Z,2021-06-22,weather_natural,184.0,0.55
FREP-19785-U,2022-02-20,weather_natural,0.0,0.1666666666666666
FREP-244414-Z,2021-06-20,weather_natural,8.0,0.3833333333333333
FREP-21845-U,2023-07-14,weather_natural,183.0,3.0
FREP-245189-Z,2021-06-26,weather_natural,70.0,0.6333333333333333
FREP-21119-U,2022-12-12,weather_natural,27.0,9.183333333333334
FREP-244514-Z,2021-06-24,weather_natural,166.0,56.85
FREP-21951-U,2023-07-17,weather_natural,179.0,28.1
FREP-21886-U,2023-07-15,weather_natural,3107.0,4.5
FREP-21901-U,2023-07-15,weather_natural,493.0,19.933333333333334
FREP-245405-Z,2021-06-28,weather_natural,3.0,5.2
FREP-245417-Z,2021-06-28,weather_natural,1.0,1.75
FREP-228861-Z,2021-04-02,weather_natural,12.0,3.4166666666666665
FREP-246233-Z,2021-07-01,weather_natural,10.0,7.65
FREP-246543-Z,2021-07-03,weather_natural,130.0,1.7
FREP-247036-Z,2021-07-06,weather_natural,97.0,10.7
FREP-247387-Z,2021-07-07,weather_natural,1255.0,0.5
FREP-247095-Z,2021-07-06,weather_natural,1.0,4.666666666666667
FREP-231182-Z,2021-04-15,weather_natural,31.0,2.75
FREP-247846-Z,2021-07-09,weather_natural,107.0,3.7
FREP-232894-Z,2021-04-25,weather_natural,4.0,0.1166666666666666
FREP-232572-Z,2021-04-22,weather_natural,1.0,7.516666666666667
FREP-249238-Z,2021-07-17,weather_natural,65.0,0.7833333333333333
FREP-248979-Z,2021-07-15,weather_natural,227.0,1.2166666666666666
FREP-249006-Z,2021-07-15,weather_natural,149.0,2.966666666666667
FREP-233977-Z,2021-05-12,weather_natural,12.0,5.4
FREP-249042-Z,2021-07-16,weather_natural,82.0,1.4166666666666667
FREP-234484-Z,2021-05-03,weather_natural,3.0,3.333333333333333
FREP-234507-Z,2021-05-03,weather_natural,1900.0,5.05
FREP-249177-G,2021-04-17,weather_natural,5.0,4.516666666666667
FREP-249467-G,2021-04-21,weather_natural,24.0,8.0
FREP-233730-Z,2021-04-29,weather_natural,1.0,5.266666666666667
FREP-249490-Z,2021-07-19,weather_natural,185.0,2.85
FREP-234575-Z,2021-05-04,weather_natural,423.0,4.433333333333334
FREP-234547-Z,2021-05-03,weather_natural,391.0,3.3833333333333333
FREP-234629-Z,2021-05-04,weather_natural,527.0,3.633333333333333
FREP-234652-Z,2021-05-05,weather_natural,2.0,10.183333333333334
FREP-249557-Z,2021-07-19,weather_natural,773.0,4.816666666666666
FREP-234648-Z,2021-05-04,weather_natural,124.0,10.4
FREP-234895-Z,2021-05-04,weather_natural,2.0,11.183333333333334
FREP-249811-Z,2021-07-20,weather_natural,0.0,1.0
FREP-249821-Z,2021-07-20,weather_natural,150.0,1.6333333333333333
FREP-249926-Z,2021-07-20,weather_natural,20.0,2.183333333333333
FREP-249969-Z,2021-07-20,weather_natural,0.0,2.6333333333333333
FREP-249980-Z,2021-07-20,weather_natural,847.0,0.3
FREP-250122-G,2021-05-04,weather_natural,107.0,8.9
FREP-250113-Z,2021-07-21,weather_natural,123.0,4.866666666666666
FREP-250216-Z,2021-07-21,weather_natural,31.0,1.2666666666666666
FREP-250137-G,2021-05-04,weather_natural,87.0,9.95
FREP-236797-Z,2021-05-14,weather_natural,612.0,0.9666666666666668
FREP-250129-G,2021-05-04,weather_natural,147.0,8.583333333333334
FREP-237408-Z,2021-05-18,weather_natural,201.0,1.4666666666666666
FREP-250173-G,2021-05-04,weather_natural,314.0,6.116666666666666
FREP-238398-Z,2021-05-22,weather_natural,44.0,1.25
FREP-250095-G,2021-05-03,weather_natural,279.0,5.433333333333334
FREP-250116-G,2021-05-03,weather_natural,320.0,115.13333333333334
FREP-250629-G,2021-05-13,weather_natural,462.0,2.05
FREP-238117-Z,2021-05-21,weather_natural,56.0,3.65
FREP-250898-Z,2021-07-24,weather_natural,86.0,3.4166666666666665
FREP-251071-G,2021-05-21,weather_natural,176.0,39.88333333333333
FREP-251103-Z,2021-07-25,weather_natural,0.0,6.366666666666666
FREP-251152-Z,2021-07-25,weather_natural,357.0,10.233333333333333
FREP-257097-G,2021-11-06,weather_natural,315.0,4.716666666666667
FREP-259783-G,2021-12-07,weather_natural,146.0,7.5
FREP-259798-G,2021-12-07,weather_natural,1.0,21.4
FREP-259822-G,2021-12-07,weather_natural,445.0,11.233333333333333
FREP-259776-G,2021-12-07,weather_natural,73.0,3.716666666666667
FREP-259801-G,2021-12-07,weather_natural,1.0,1.9833333333333327
FREP-259903-G,2021-12-07,weather_natural,50.0,6.316666666666666
FREP-260207-G,2021-12-10,weather_natural,1.0,1.1833333333333331
FREP-260203-Z,2021-09-14,weather_natural,290.0,3.75
FREP-260344-Z,2021-09-14,weather_natural,4.0,4.366666666666666
FREP-260508-Z,2021-09-15,weather_natural,5.0,0.3833333333333333
FREP-260853-G,2021-12-17,weather_natural,49.0,8.716666666666667
FREP-260949-Z,2021-09-19,weather_natural,459.0,2.083333333333333
FREP-261413-G,2021-12-24,weather_natural,9.0,4.766666666666667
FREP-261949-G,2022-01-01,weather_natural,42.0,4.55
FREP-261854-G,2021-12-31,weather_natural,145.0,6.55
FREP-262116-Z,2021-09-27,weather_natural,2.0,11.383333333333333
FREP-262013-Z,2021-09-27,weather_natural,154.0,1.5666666666666669
FREP-262063-Z,2021-09-27,weather_natural,1373.0,5.5
FREP-262083-Z,2021-09-27,weather_natural,566.0,10.333333333333334
FREP-262096-Z,2021-09-27,weather_natural,2.0,4.5
FREP-253697-G,2021-07-06,weather_natural,74.0,4.416666666666667
FREP-253647-G,2021-07-05,weather_natural,33.0,3.433333333333333
FREP-253907-G,2021-07-13,weather_natural,516.0,2.466666666666667
FREP-253843-G,2021-07-11,weather_natural,160.0,6.25
FREP-253700-G,2021-07-06,weather_natural,6.0,4.383333333333334
FREP-253578-G,2021-07-04,weather_natural,350.0,1.5166666666666666
FREP-253595-G,2021-07-04,weather_natural,3.0,4.333333333333333
FREP-254152-G,2021-07-20,weather_natural,1.0,1.4166666666666667
FREP-254038-G,2021-07-17,weather_natural,1141.0,4.316666666666666
FREP-254070-G,2021-07-18,weather_natural,234.0,3.2
FREP-254083-G,2021-07-19,weather_natural,112.0,10.6
FREP-254113-G,2021-07-19,weather_natural,5.0,3.733333333333333
FREP-254257-G,2021-07-21,weather_natural,1153.0,4.35
FREP-254032-Z,2021-08-07,weather_natural,763.0,0.5166666666666667
FREP-254053-G,2021-07-18,weather_natural,774.0,1.8833333333333333
FREP-254056-G,2021-07-18,weather_natural,298.0,8.516666666666667
FREP-254117-Z,2021-08-07,weather_natural,106.0,2.45
FREP-254120-G,2021-07-19,weather_natural,150.0,12.883333333333333
FREP-254155-Z,2021-08-08,weather_natural,1361.0,7.733333333333333
FREP-254332-G,2021-07-23,weather_natural,108.0,8.883333333333333
FREP-254405-G,2021-07-25,weather_natural,41.0,0.5166666666666667
FREP-254526-G,2021-07-28,weather_natural,656.0,0.7833333333333333
FREP-254547-Z,2021-08-10,weather_natural,9.0,5.666666666666667
FREP-254577-G,2021-07-29,weather_natural,31.0,1.1
FREP-254758-G,2021-08-04,weather_natural,2.0,10.15
FREP-254585-Z,2021-08-10,weather_natural,36.0,2.333333333333333
FREP-254552-G,2021-07-28,weather_natural,70.0,3.15
FREP-254416-G,2021-07-25,weather_natural,21.0,0.5
FREP-254591-G,2021-07-30,weather_natural,289.0,0.8666666666666667
FREP-254616-G,2021-07-30,weather_natural,1.0,4.6
FREP-254449-G,2021-07-26,weather_natural,77.0,5.983333333333333
FREP-254470-Z,2021-08-09,weather_natural,535.0,4.65
FREP-254624-G,2021-07-30,weather_natural,341.0,7.166666666666667
FREP-254843-G,2021-08-08,weather_natural,1.0,2.816666666666667
FREP-255180-G,2021-08-22,weather_natural,5.0,4.733333333333333
FREP-252013-Z,2021-07-28,weather_natural,190.0,3.633333333333333
FREP-251887-G,2021-06-02,weather_natural,215.0,1.6
FREP-252013-G,2021-06-04,weather_natural,215.0,10.033333333333331
FREP-252106-G,2021-06-06,weather_natural,34.0,11.333333333333334
FREP-252168-G,2021-06-11,weather_natural,2.0,3.9
FREP-252554-G,2021-06-13,weather_natural,68.0,15.15
FREP-252455-Z,2021-07-30,weather_natural,388.0,3.9166666666666665
FREP-252206-G,2021-06-08,weather_natural,493.0,1.2166666666666666
FREP-252277-Z,2021-07-30,weather_natural,2.0,6.633333333333334
FREP-252437-Z,2021-07-30,weather_natural,18.0,5.733333333333333
FREP-252446-Z,2021-07-30,weather_natural,18.0,19.85
FREP-252565-G,2021-06-13,weather_natural,187.0,17.5
FREP-252641-G,2021-06-14,weather_natural,278.0,2.4833333333333334
FREP-252895-G,2021-06-17,weather_natural,332.0,3.3833333333333333
FREP-252737-Z,2021-08-01,weather_natural,187.0,4.866666666666666
FREP-252890-Z,2021-08-02,weather_natural,1.0,1.35
FREP-252782-G,2021-06-16,weather_natural,282.0,4.2
FREP-252835-G,2021-06-17,weather_natural,235.0,0.6
FREP-251311-G,2021-05-24,weather_natural,210.0,11.2
FREP-251375-G,2021-05-24,weather_natural,73.0,7.2
FREP-251470-G,2021-05-26,weather_natural,0.0,6.0
FREP-251650-Z,2021-07-27,weather_natural,418.0,2.966666666666667
FREP-256078-G,2021-10-02,weather_natural,322.0,2.1166666666666667
FREP-255966-G,2021-09-27,weather_natural,252.0,1.4166666666666667
FREP-255958-G,2021-09-27,weather_natural,281.0,5.366666666666666
FREP-256065-G,2021-10-02,weather_natural,329.0,3.4166666666666665
FREP-255828-G,2021-09-20,weather_natural,14.0,9.533333333333331
FREP-255975-Z,2021-08-17,weather_natural,51.0,6.416666666666667
FREP-53650-C,2021-10-05,weather_natural,1.0,8.383333333333333
FREP-55077-C,2021-10-23,weather_natural,56.0,1.9833333333333327
FREP-5479-I,2022-10-05,weather_natural,368.0,1.4833333333333334
FREP-5497-I,2022-10-05,weather_natural,770.0,0.5333333333333333
FREP-55271-C,2021-10-26,weather_natural,7.0,2.05
FREP-55593-C,2021-10-31,weather_natural,797.0,1.95
FREP-55645-C,2021-11-01,weather_natural,33.0,27.65
FREP-55553-C,2021-10-31,weather_natural,99.0,7.366666666666666
FREP-55955-C,2021-11-05,weather_natural,15.0,3.616666666666666
FREP-56587-C,2021-11-18,weather_natural,9.0,0.65
FREP-56748-V,2021-04-10,weather_natural,23.0,1.7666666666666666
FREP-57213-C,2021-11-27,weather_natural,0.0,1.6166666666666667
FREP-57269-C,2021-11-27,weather_natural,190.0,8.583333333333334
FREP-58117-V,2021-05-03,weather_natural,1.0,29.666666666666668
FREP-58127-V,2021-05-03,weather_natural,62.0,5.0
FREP-64472-V,2021-07-18,weather_natural,53.0,26.316666666666663
FREP-64492-V,2021-07-18,weather_natural,141.0,1.7166666666666666
FREP-64717-V,2021-07-20,weather_natural,463.0,3.1
FREP-64909-V,2021-07-22,weather_natural,3.0,6.5
FREP-65757-V,2021-08-01,weather_natural,9.0,5.783333333333333
FREP-382981-Z,2023-07-03,weather_natural,740.0,8.166666666666666
FREP-383341-Z,2023-07-05,weather_natural,285.0,15.783333333333331
FREP-382975-Z,2023-07-03,weather_natural,1187.0,4.95
FREP-383460-Z,2023-07-05,weather_natural,1174.0,14.733333333333333
FREP-383723-Z,2023-07-04,weather_natural,434.0,0.5333333333333333
FREP-384491-Z,2023-07-11,weather_natural,2284.0,5.533333333333333
FREP-384500-Z,2023-07-11,weather_natural,13.0,4.55
FREP-384976-Z,2023-07-12,weather_natural,7.0,5.75
FREP-385656-Z,2023-07-15,weather_natural,58.0,17.816666666666666
FREP-385599-Z,2023-07-15,weather_natural,114.0,1.4333333333333331
FREP-385645-Z,2023-07-15,weather_natural,78.0,2.2333333333333334
FREP-385663-Z,2023-07-16,weather_natural,82.0,4.366666666666666
FREP-385687-Z,2023-07-15,weather_natural,210.0,6.783333333333333
FREP-385713-Z,2023-07-16,weather_natural,56.0,7.266666666666667
FREP-385617-Z,2023-07-15,weather_natural,0.0,1.0
FREP-385444-Z,2023-07-14,weather_natural,8.0,4.2
FREP-385461-Z,2023-07-15,weather_natural,1.0,15.383333333333333
FREP-385557-Z,2023-07-15,weather_natural,1.0,4.1
FREP-385728-Z,2023-07-16,weather_natural,340.0,16.966666666666665
FREP-385767-Z,2023-07-16,weather_natural,10.0,4.45
FREP-385777-Z,2023-07-16,weather_natural,1.0,4.483333333333333
FREP-385778-Z,2023-07-16,weather_natural,8.0,6.95
FREP-385813-Z,2023-07-16,weather_natural,8.0,2.7
FREP-386158-Z,2023-07-19,weather_natural,599.0,6.066666666666666
FREP-386705-Z,2023-07-23,weather_natural,33.0,6.966666666666667
FREP-385762-Z,2023-07-16,weather_natural,1.0,7.066666666666666
FREP-386709-Z,2023-07-23,weather_natural,14.0,9.733333333333333
FREP-386660-Z,2023-07-22,weather_natural,7.0,7.166666666666667
FREP-387632-Z,2023-07-27,weather_natural,172.0,7.05
FREP-388431-Z,2023-07-31,weather_natural,15.0,11.633333333333333
FREP-389825-Z,2023-08-05,weather_natural,238.0,2.3666666666666667
FREP-389857-Z,2023-08-05,weather_natural,5.0,4.816666666666666
FREP-389960-Z,2023-08-06,weather_natural,476.0,3.65
FREP-390001-Z,2023-08-06,weather_natural,114.0,0.5833333333333334
FREP-390183-Z,2023-08-07,weather_natural,9.0,4.866666666666666
FREP-390887-Z,2023-08-10,weather_natural,9.0,2.8
FREP-390736-Z,2023-08-09,weather_natural,741.0,6.9
FREP-391492-Z,2023-08-13,weather_natural,756.0,6.15
FREP-391523-Z,2023-08-14,weather_natural,391.0,7.75
FREP-391381-Z,2023-08-12,weather_natural,484.0,21.416666666666668
FREP-393035-Z,2023-08-22,weather_natural,375.0,3.583333333333333
FREP-393036-Z,2023-08-22,weather_natural,585.0,7.033333333333333
FREP-392656-Z,2023-08-19,weather_natural,7.0,2.1
FREP-392749-Z,2023-08-20,weather_natural,323.0,0.5666666666666667
FREP-393572-Z,2023-08-24,weather_natural,275.0,4.3
FREP-394141-Z,2023-08-26,weather_natural,417.0,0.5
FREP-393835-Z,2023-08-25,weather_natural,303.0,0.8666666666666667
FREP-393758-Z,2023-08-24,weather_natural,276.0,4.183333333333334
FREP-394321-Z,2023-08-28,weather_natural,47.0,0.5333333333333333
FREP-394320-Z,2023-08-28,weather_natural,47.0,0.5
FREP-395567-Z,2023-09-03,weather_natural,2.0,1.6833333333333331
FREP-395591-Z,2023-09-03,weather_natural,1236.0,5.95
FREP-396738-Z,2023-09-09,weather_natural,221.0,3.1333333333333333
FREP-398159-Z,2023-09-15,weather_natural,202.0,0.5166666666666667
FREP-397294-Z,2023-09-12,weather_natural,263.0,1.35
FREP-397835-Z,2023-09-14,weather_natural,16.0,8.083333333333334
FREP-398103-Z,2023-09-15,weather_natural,263.0,2.15
FREP-397438-Z,2023-09-12,weather_natural,10.0,14.666666666666666
FREP-397931-Z,2023-09-14,weather_natural,6.0,4.816666666666666
FREP-398683-Z,2023-09-18,weather_natural,457.0,5.75
FREP-398799-Z,2023-09-20,weather_natural,878.0,5.483333333333333
FREP-398724-Z,2023-09-19,weather_natural,311.0,2.7
FREP-398883-Z,2023-09-21,weather_natural,285.0,1.9666666666666663
FREP-398403-Z,2023-09-17,weather_natural,98.0,10.1
FREP-398732-Z,2023-09-19,weather_natural,159.0,3.083333333333333
FREP-398741-Z,2023-09-19,weather_natural,390.0,74.78333333333333
FREP-398755-Z,2023-09-19,weather_natural,250.0,5.65
FREP-398808-Z,2023-09-20,weather_natural,568.0,1.8333333333333333
FREP-399912-Z,2023-09-29,weather_natural,87.0,1.933333333333333
FREP-399657-Z,2023-09-28,weather_natural,107.0,3.583333333333333
FREP-4537-I,2022-02-18,weather_natural,66.0,74.45
FREP-4652-I,2022-03-11,weather_natural,2809.0,10.383333333333333
FREP-4687-I,2022-03-14,weather_natural,371.0,5.183333333333334
FREP-49931-C,2021-07-08,weather_natural,16.0,1.5166666666666666
FREP-51497-C,2021-09-09,weather_natural,33.0,0.55
FREP-53437-C,2021-10-02,weather_natural,254.0,4.45
FREP-255212-G,2021-08-24,weather_natural,209.0,6.916666666666667
FREP-255306-G,2021-08-29,weather_natural,19.0,1.5666666666666669
FREP-255469-G,2021-09-04,weather_natural,119.0,0.95
FREP-255511-G,2021-09-06,weather_natural,245.0,2.216666666666667
FREP-255553-Z,2021-08-16,weather_natural,1806.0,2.4833333333333334
FREP-329108-Z,2022-09-18,weather_natural,514.0,0.5166666666666667
FREP-329046-G,2023-08-14,weather_natural,1060.0,1.5166666666666666
FREP-330244-G,2023-08-24,weather_natural,367.0,5.433333333333334
FREP-330222-Z,2022-09-24,weather_natural,509.0,0.6333333333333333
FREP-331410-Z,2022-09-30,weather_natural,85.0,0.05
FREP-331528-G,2023-09-04,weather_natural,1050.0,6.416666666666667
FREP-331557-Z,2022-10-01,weather_natural,66.0,6.533333333333333
FREP-331945-G,2023-09-07,weather_natural,181.0,2.4833333333333334
FREP-332045-G,2023-09-08,weather_natural,0.0,0.1666666666666666
FREP-332105-G,2023-09-08,weather_natural,329.0,2.183333333333333
FREP-332398-G,2023-09-11,weather_natural,514.0,2.066666666666667
FREP-332166-G,2023-09-09,weather_natural,731.0,2.4833333333333334
FREP-332252-Z,2022-10-05,weather_natural,46.0,7.016666666666667
FREP-332894-Z,2022-10-09,weather_natural,354.0,5.416666666666667
FREP-333113-G,2023-09-18,weather_natural,1.0,13.516666666666667
FREP-334872-Z,2022-10-19,weather_natural,274.0,3.8
FREP-334893-Z,2022-10-20,weather_natural,72.0,7.35
FREP-335522-Z,2022-10-22,weather_natural,4.0,2.75
FREP-335692-Z,2022-10-23,weather_natural,63.0,0.55
FREP-335799-Z,2022-10-23,weather_natural,70.0,4.783333333333333
FREP-335784-Z,2022-10-24,weather_natural,3.0,1.0333333333333334
FREP-335708-Z,2022-10-23,weather_natural,292.0,7.2
FREP-335752-Z,2022-10-23,weather_natural,601.0,44.16666666666666
FREP-335859-Z,2022-10-24,weather_natural,517.0,0.8333333333333334
FREP-333218-G,2023-09-18,weather_natural,1.0,7.916666666666667
FREP-333234-G,2023-09-18,weather_natural,42.0,3.85
FREP-333527-Z,2022-10-12,weather_natural,0.0,0.8666666666666667
FREP-333213-G,2023-09-18,weather_natural,33.0,10.916666666666666
FREP-333314-G,2023-09-19,weather_natural,483.0,7.016666666666667
FREP-333435-G,2023-09-20,weather_natural,397.0,5.55
FREP-331372-Z,2022-09-30,weather_natural,23.0,6.166666666666667
FREP-331397-Z,2022-09-30,weather_natural,20.0,6.733333333333333
FREP-330903-Z,2022-09-28,weather_natural,346.0,1.7666666666666666
FREP-330345-G,2023-08-24,weather_natural,116.0,8.883333333333333
FREP-330461-Z,2022-09-26,weather_natural,32.0,14.016666666666667
FREP-330354-G,2023-08-24,weather_natural,74.0,1.5
FREP-330406-Z,2022-09-26,weather_natural,86.0,1.933333333333333
FREP-330478-G,2023-08-26,weather_natural,145.0,2.216666666666667
FREP-330542-Z,2022-09-26,weather_natural,0.0,1.5166666666666666
FREP-330620-G,2023-08-28,weather_natural,273.0,7.6
FREP-330622-Z,2022-09-27,weather_natural,625.0,3.466666666666667
FREP-262670-G,2022-01-09,weather_natural,1.0,3.683333333333333
FREP-263464-Z,2021-10-05,weather_natural,176.0,2.3833333333333333
FREP-263668-Z,2021-10-06,weather_natural,5.0,4.483333333333333
FREP-276916-Z,2021-12-30,weather_natural,10.0,10.316666666666666
FREP-277056-Z,2022-01-01,weather_natural,150.0,4.183333333333334
FREP-277609-G,2022-05-02,weather_natural,306.0,2.4
FREP-277537-G,2022-04-30,weather_natural,7.0,3.066666666666667
FREP-278465-G,2022-05-11,weather_natural,202.0,1.7666666666666666
FREP-280378-G,2022-05-28,weather_natural,196.0,1.1333333333333333
FREP-280606-Z,2022-01-22,weather_natural,6.0,2.466666666666667
FREP-280929-G,2022-06-04,weather_natural,1.0,2.7333333333333334
FREP-281983-G,2022-06-16,weather_natural,771.0,2.25
FREP-281898-G,2022-06-15,weather_natural,733.0,3.6666666666666665
FREP-281982-G,2022-06-16,weather_natural,225.0,12.216666666666669
FREP-281989-Z,2022-01-31,weather_natural,840.0,11.7
FREP-281991-Z,2022-01-31,weather_natural,481.0,2.05
FREP-282218-G,2022-06-18,weather_natural,393.0,7.383333333333334
FREP-282080-Z,2022-01-31,weather_natural,1123.0,3.083333333333333
FREP-282186-Z,2022-02-03,weather_natural,38.0,1.2833333333333334
FREP-282161-Z,2022-01-31,weather_natural,571.0,4.966666666666667
FREP-282203-G,2022-06-18,weather_natural,235.0,6.816666666666666
FREP-282219-G,2022-06-19,weather_natural,1.0,8.916666666666666
FREP-282233-G,2022-06-18,weather_natural,101.0,18.98333333333333
FREP-282248-G,2022-06-18,weather_natural,509.0,0.5666666666666667
FREP-282251-G,2022-06-18,weather_natural,1602.0,11.416666666666666
FREP-267179-G,2022-02-18,weather_natural,1661.0,31.633333333333333
FREP-267181-G,2022-02-18,weather_natural,52.0,120.8
FREP-267193-G,2022-02-18,weather_natural,155.0,49.91666666666666
FREP-267200-G,2022-02-18,weather_natural,294.0,0.1666666666666666
FREP-267201-G,2022-02-18,weather_natural,259.0,77.66666666666667
FREP-267207-G,2022-02-18,weather_natural,770.0,98.13333333333334
FREP-267220-G,2022-02-18,weather_natural,78.0,123.58333333333331
FREP-267223-G,2022-02-18,weather_natural,669.0,104.18333333333334
FREP-267224-G,2022-02-18,weather_natural,199.0,2.05
FREP-267301-G,2022-02-18,weather_natural,2832.0,79.38333333333334
FREP-267232-G,2022-02-18,weather_natural,1608.0,119.3
FREP-267233-G,2022-02-18,weather_natural,258.0,25.73333333333333
FREP-267252-G,2022-02-21,weather_natural,44.0,81.41666666666667
FREP-267285-G,2022-02-18,weather_natural,251.0,79.26666666666667
FREP-267303-G,2022-02-18,weather_natural,921.0,129.05
FREP-267289-G,2022-02-18,weather_natural,257.0,65.08333333333333
FREP-267320-G,2022-02-18,weather_natural,432.0,0.05
FREP-267254-G,2022-02-18,weather_natural,409.0,53.516666666666666
FREP-267189-G,2022-02-18,weather_natural,26.0,97.76666666666668
FREP-267315-G,2022-02-18,weather_natural,454.0,4.6
FREP-267277-G,2022-02-18,weather_natural,411.0,5.866666666666666
FREP-267311-G,2022-02-18,weather_natural,14171.0,37.61666666666667
FREP-267351-G,2022-02-18,weather_natural,3.0,101.71666666666668
FREP-267469-G,2022-02-23,weather_natural,22.0,121.8
FREP-267488-G,2022-02-19,weather_natural,13.0,95.36666666666666
FREP-267375-G,2022-02-18,weather_natural,1358.0,18.133333333333333
FREP-267380-G,2022-02-18,weather_natural,1370.0,78.96666666666667
FREP-267394-G,2022-02-20,weather_natural,2313.0,53.333333333333336
FREP-267416-G,2022-02-18,weather_natural,110.0,4.216666666666667
FREP-267451-G,2022-02-18,weather_natural,32.0,25.15
FREP-267452-Z,2021-10-31,weather_natural,316.0,1.6333333333333333
FREP-267494-Z,2021-10-31,weather_natural,392.0,5.45
FREP-267329-G,2022-02-18,weather_natural,1698.0,22.183333333333334
FREP-267365-G,2022-02-18,weather_natural,126.0,2.25
FREP-267406-G,2022-02-18,weather_natural,165.0,26.33333333333333
FREP-267397-G,2022-02-18,weather_natural,130.0,54.6
FREP-267499-G,2022-02-18,weather_natural,341.0,75.48333333333333
FREP-267522-G,2022-02-19,weather_natural,23.0,24.0
FREP-267410-Z,2021-10-31,weather_natural,421.0,8.85
FREP-267415-Z,2021-10-31,weather_natural,59.0,8.733333333333333
FREP-267506-Z,2021-10-31,weather_natural,57.0,1.8666666666666667
FREP-267461-Z,2021-10-31,weather_natural,4.0,8.05
FREP-267484-Z,2021-10-31,weather_natural,11.0,2.5
FREP-267509-Z,2021-10-31,weather_natural,404.0,0.6833333333333333
FREP-267773-G,2022-02-18,weather_natural,982.0,126.71666666666668
FREP-267616-G,2022-02-18,weather_natural,162.0,29.416666666666668
FREP-267888-G,2022-02-18,weather_natural,59.0,16.716666666666665
FREP-267839-G,2022-02-18,weather_natural,128.0,63.31666666666667
FREP-267662-G,2022-02-18,weather_natural,322.0,10.7
FREP-267668-G,2022-02-18,weather_natural,1.0,138.28333333333333
FREP-267718-G,2022-02-18,weather_natural,36.0,96.7
FREP-267709-G,2022-02-18,weather_natural,18.0,122.85
FREP-267872-G,2022-02-23,weather_natural,8.0,110.08333333333331
FREP-267561-G,2022-02-18,weather_natural,532.0,10.216666666666669
FREP-267577-Z,2021-10-31,weather_natural,342.0,0.5666666666666667
FREP-267879-G,2022-02-18,weather_natural,9.0,70.28333333333333
FREP-268195-G,2022-02-18,weather_natural,2.0,135.86666666666667
FREP-267919-G,2022-02-18,weather_natural,1.0,123.16666666666669
FREP-268182-G,2022-02-18,weather_natural,1.0,137.55
FREP-267953-G,2022-03-04,weather_natural,1.0,5.3
FREP-268015-G,2022-02-22,weather_natural,10.0,22.7
FREP-268014-G,2022-03-09,weather_natural,0.0,1.0
