margin,sample,n,term,VIF,controls,formula
E0,final_all,60437,z_temperature_sq,1.271356745665202,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
E0,final_all,60437,gust_low,1.734893634271963,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
E0,final_all,60437,gust_ramp,3.0756666451984431,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,z_gust_0h,2.393901864031089,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,z_precipitation_24h_sum,1.504605630218272,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,z_temperature_0h,3.2020043061921974,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,z_pressure_msl_0h,1.9231486017026957,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,z_gust_sq,1.8484696419564195,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,urban_binary,1.1671133239767963,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,log_population,1.318624974486901,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,income_deprivation_rate,2.6409219720304642,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,deprivation_gap_pct,3.8374263476605774,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,morans_i,2.5317834408637592,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,incident_year[2022],1.9325533952613554,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,incident_year[2023],1.8279664129056044,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,incident_year[2024],2.1273286385461363,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,incident_month[2],2.1725927970148917,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,incident_month[3],1.838630959207525,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,incident_month[4],1.9497906481511573,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,incident_month[5],2.4201147087453636,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,incident_month[6],3.2614354572347692,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,incident_month[7],3.5409547516132411,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,incident_month[8],3.0053133899542956,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,incident_month[9],2.8475577204297786,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,incident_month[10],2.785085565241284,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,incident_month[11],2.3585771304145515,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,incident_month[12],2.2023349080490857,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,z_customers_v2_log1p,1.7558559248651509,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,z_cust_sq,1.7502809948880684,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,z_temperature_sq,1.2802077557288627,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
R0c,final_all,51173,z_gust_precip,1.2157851038810001,All saved final design columns except intercept,diag(inv(correlation(X_without_intercept)))
