Incident Reference,date,fold
FREP-243766-Z,2021-06-19,2
FREP-243957-Z,2021-06-20,1
FREP-243973-Z,2021-06-20,1
FREP-202500-G,2023-01-13,0
FREP-19625-U,2022-03-31,2
FREP-20417-U,2022-08-04,4
FREP-244065-Z,2021-06-21,4
FREP-19865-U,2022-03-11,1
FREP-243485-J,2022-05-23,3
FREP-19668-U,2022-02-24,1
FREP-243496-Z,2021-06-18,3
FREP-19669-U,2022-02-19,1
FREP-243722-Z,2021-06-18,3
FREP-19686-U,2022-02-23,1
FREP-19717-U,2022-02-20,3
FREP-243521-Z,2021-06-18,3
FREP-19718-U,2022-02-20,3
FREP-19774-U,2022-02-23,1
FREP-243547-Z,2021-06-18,3
FREP-19850-U,2022-03-08,4
FREP-20012-U,2022-03-27,3
FREP-19959-U,2022-03-22,1
FREP-243696-Z,2021-06-18,3
FREP-19856-U,2022-03-10,1
FREP-243730-Z,2021-06-19,2
FREP-243760-Z,2021-06-18,3
FREP-205344-G,2023-01-12,0
FREP-19859-U,2022-03-10,1
FREP-20113-U,2022-04-25,0
FREP-19867-U,2022-03-12,4
FREP-19931-U,2022-03-18,4
FREP-243963-Z,2021-06-20,1
FREP-244054-Z,2021-06-20,1
FREP-19944-U,2022-03-20,3
FREP-19962-U,2022-05-16,1
FREP-19978-U,2022-03-24,0
FREP-20683-U,2022-10-05,4
FREP-20004-U,2022-03-26,3
FREP-244295-Z,2021-06-22,3
FREP-20311-U,2022-08-04,4
FREP-244306-Z,2021-06-22,3
FREP-203011-Z,2023-01-20,4
FREP-20337-U,2022-07-12,4
FREP-244352-Z,2021-06-25,0
FREP-19785-U,2022-02-20,3
FREP-244414-Z,2021-06-20,1
FREP-200682-G,2023-01-12,0
FREP-20019-U,2022-03-28,1
FREP-206022-J,2021-11-22,1
FREP-20866-U,2022-11-03,4
FREP-21345-U,2023-02-24,0
FREP-244710-Z,2021-06-23,3
FREP-20711-U,2022-10-10,1
FREP-20753-U,2022-10-19,0
FREP-21343-U,2023-02-23,3
FREP-21440-U,2023-05-03,3
FREP-244909-Z,2021-06-24,4
FREP-245256-Z,2021-06-26,2
FREP-21810-U,2023-07-13,4
FREP-21344-U,2023-02-23,3
FREP-244956-Z,2022-11-12,3
FREP-21672-U,2023-05-27,4
FREP-244989-Z,2021-06-25,0
FREP-214152-J,2022-11-14,0
FREP-21433-U,2023-03-22,3
FREP-245070-Z,2021-06-25,0
FREP-21845-U,2023-07-14,3
FREP-245141-Z,2021-06-25,0
FREP-20689-U,2022-10-06,1
FREP-245189-Z,2021-06-26,2
FREP-21352-U,2023-02-25,1
FREP-21119-U,2022-12-12,4
FREP-21531-U,2023-04-16,0
FREP-244299-Z,2021-06-22,3
FREP-244514-Z,2021-06-24,4
FREP-21951-U,2023-07-17,3
FREP-244523-Z,2021-06-23,3
FREP-21952-U,2023-07-17,3
FREP-244549-J,2023-02-08,2
FREP-21886-U,2023-07-15,2
FREP-21901-U,2023-07-15,2
FREP-244724-Z,2021-06-23,3
FREP-21958-U,2023-07-17,3
FREP-244784-Z,2021-06-24,4
FREP-245150-Z,2021-06-25,0
FREP-219637-J,2022-03-09,0
FREP-244811-Z,2021-11-02,4
FREP-22136-U,2023-09-07,1
FREP-245059-Z,2021-06-25,0
FREP-219138-J,2022-05-23,3
FREP-223310-J,2021-10-13,1
FREP-220657-G,2021-07-19,2
FREP-245405-Z,2021-06-28,3
FREP-221627-Z,2022-07-16,2
FREP-245458-Z,2021-06-28,3
FREP-224327-Z,2021-05-01,2
FREP-228460-G,2023-01-12,0
FREP-245842-Z,2021-06-29,1
FREP-228842-Z,2021-04-02,0
FREP-246048-Z,2021-06-30,1
FREP-246347-Z,2021-07-02,4
FREP-229298-Z,2021-04-06,3
FREP-246466-Z,2021-07-02,4
FREP-245409-J,2022-05-23,3
FREP-245627-Z,2021-06-28,3
FREP-228645-Z,2021-04-01,0
FREP-245417-Z,2021-06-28,3
FREP-229229-Z,2021-04-29,3
FREP-228978-Z,2021-04-03,4
FREP-228861-Z,2021-04-02,0
FREP-228865-Z,2021-04-02,0
FREP-246233-Z,2021-07-01,0
FREP-228882-Z,2021-04-02,0
FREP-245954-Z,2021-06-30,1
FREP-246037-Z,2021-06-30,1
FREP-228909-Z,2021-04-02,0
FREP-246200-Z,2021-07-01,0
FREP-228946-Z,2021-04-03,4
FREP-246149-Z,2021-07-13,0
FREP-246288-G,2021-04-28,3
FREP-229294-Z,2021-04-06,3
FREP-247190-Z,2021-07-06,2
FREP-246543-Z,2021-07-03,2
FREP-229032-Z,2021-04-03,4
FREP-229101-Z,2021-04-04,0
FREP-246598-Z,2021-07-04,4
FREP-229109-Z,2021-04-04,0
FREP-246709-Z,2021-07-04,4
FREP-247036-Z,2021-07-06,2
FREP-229453-Z,2021-04-06,3
FREP-229946-Z,2021-04-09,2
FREP-246678-Z,2021-07-04,4
FREP-246686-Z,2021-07-04,4
FREP-246785-Z,2021-07-05,0
FREP-230639-Z,2021-04-13,0
FREP-247020-Z,2021-07-05,0
FREP-247037-Z,2021-07-06,2
FREP-230514-Z,2021-04-12,2
FREP-247132-Z,2021-07-06,2
FREP-230537-Z,2021-04-12,2
FREP-230761-Z,2021-04-13,0
FREP-247068-Z,2021-07-06,2
FREP-230904-Z,2021-04-14,0
FREP-247387-Z,2021-07-07,0
FREP-246947-Z,2021-07-05,0
FREP-246521-Z,2021-07-02,4
FREP-230324-Z,2021-04-11,0
FREP-230374-Z,2021-04-12,2
FREP-230275-Z,2021-04-10,3
FREP-246718-Z,2021-07-04,4
FREP-230298-J,2022-05-23,3
FREP-230338-Z,2021-04-11,0
FREP-230401-Z,2021-04-12,2
FREP-230647-Z,2021-04-13,0
FREP-247045-Z,2021-07-06,2
FREP-230874-Z,2021-04-13,0
FREP-247299-Z,2021-07-06,2
FREP-247025-Z,2021-07-05,0
FREP-230934-Z,2021-04-14,0
FREP-231010-Z,2021-04-14,0
FREP-247095-Z,2021-07-06,2
FREP-231032-Z,2021-04-14,0
FREP-231158-Z,2021-04-14,0
FREP-232232-Z,2021-04-21,2
FREP-248038-Z,2021-07-11,3
FREP-247661-Z,2021-07-15,2
FREP-231689-Z,2021-04-17,2
FREP-247622-Z,2021-07-08,3
FREP-247961-Z,2021-07-11,3
FREP-232096-Z,2021-04-20,2
FREP-230917-Z,2021-04-14,0
FREP-231120-Z,2021-04-14,0
FREP-231156-Z,2021-04-14,0
FREP-231182-Z,2021-04-15,0
FREP-231377-Z,2021-04-16,3
FREP-247846-Z,2021-07-09,1
FREP-248050-Z,2021-07-11,3
FREP-247586-Z,2021-07-08,3
FREP-231608-Z,2021-04-16,3
FREP-248042-Z,2021-07-11,3
FREP-231628-Z,2021-04-17,2
FREP-231690-Z,2021-04-17,2
FREP-232061-Z,2021-04-19,1
FREP-247812-Z,2021-07-09,1
FREP-232314-Z,2021-04-21,2
FREP-247942-Z,2021-07-11,3
FREP-247918-Z,2021-07-10,3
FREP-232559-Z,2021-04-22,0
FREP-233424-Z,2021-04-27,1
FREP-248800-G,2021-04-09,2
FREP-232576-Z,2021-05-11,4
FREP-248876-Z,2021-07-15,2
FREP-248625-G,2021-04-05,2
FREP-232691-Z,2021-04-22,0
FREP-248867-G,2021-04-10,3
FREP-232894-Z,2021-04-25,3
FREP-248568-G,2021-04-03,4
FREP-232929-Z,2021-04-23,4
FREP-248796-Z,2021-07-15,2
FREP-248812-Z,2021-07-15,2
FREP-233470-Z,2021-04-27,1
FREP-248880-G,2021-04-10,3
FREP-233568-Z,2021-04-28,3
FREP-248898-G,2023-09-04,3
FREP-248969-G,2021-04-13,0
FREP-232430-Z,2021-05-10,3
FREP-232459-Z,2021-04-21,2
FREP-232778-Z,2021-04-23,4
FREP-248990-G,2021-04-13,0
FREP-248993-G,2021-04-13,0
FREP-232572-Z,2021-04-22,0
FREP-249025-G,2021-04-14,0
FREP-232591-Z,2021-04-22,0
FREP-249223-G,2021-04-19,1
FREP-249238-Z,2021-07-17,0
FREP-249268-G,2021-04-19,1
FREP-232955-Z,2021-04-23,4
FREP-233024-Z,2021-04-24,4
FREP-249345-Z,2021-07-18,0
FREP-249389-Z,2021-07-18,0
FREP-233120-Z,2021-04-26,0
FREP-249421-G,2021-04-21,2
FREP-233348-Z,2021-04-27,1
FREP-249434-G,2021-04-21,2
FREP-233641-Z,2021-04-28,3
FREP-233754-Z,2021-04-28,3
FREP-248979-Z,2021-07-15,2
FREP-249005-G,2021-04-14,0
FREP-233833-Z,2021-04-29,3
FREP-249006-Z,2021-07-15,2
FREP-233919-Z,2021-04-29,3
FREP-233977-Z,2021-05-12,2
FREP-234357-Z,2021-05-02,2
FREP-249042-Z,2021-07-16,3
FREP-234484-Z,2021-05-03,4
FREP-249036-G,2021-04-14,0
FREP-234507-Z,2021-05-03,4
FREP-249077-Z,2021-07-16,3
FREP-249097-J,2022-05-23,3
FREP-249158-Z,2022-01-21,0
FREP-234435-Z,2021-05-03,4
FREP-249128-Z,2021-07-16,3
FREP-234439-Z,2021-05-03,4
FREP-249166-G,2021-04-16,3
FREP-234499-Z,2021-05-03,4
FREP-234505-Z,2021-05-04,2
FREP-249177-G,2021-04-17,2
FREP-249186-Z,2021-07-16,3
FREP-234585-Z,2021-05-03,4
FREP-249201-G,2021-04-18,2
FREP-249219-Z,2021-07-17,0
FREP-249340-G,2021-04-20,2
FREP-233718-Z,2021-04-28,3
FREP-234331-Z,2021-05-01,2
FREP-233639-Z,2021-04-28,3
FREP-249388-Z,2021-07-18,0
FREP-249467-G,2021-04-21,2
FREP-249474-Z,2021-07-19,2
FREP-233730-Z,2021-04-29,3
FREP-233789-Z,2021-04-28,3
FREP-249641-Z,2021-07-19,2
FREP-233925-Z,2021-05-19,3
FREP-249490-Z,2021-07-19,2
FREP-233929-Z,2021-04-29,3
FREP-233943-Z,2021-04-29,3
FREP-249495-G,2021-04-21,2
FREP-249527-G,2021-04-22,0
FREP-234575-Z,2021-05-04,2
FREP-234547-Z,2021-05-03,4
FREP-234218-Z,2021-04-30,4
FREP-234589-Z,2021-05-04,2
FREP-249610-G,2021-04-23,4
FREP-234302-Z,2021-05-01,2
FREP-249833-G,2021-04-29,3
FREP-249665-G,2021-04-26,0
FREP-249763-G,2021-04-28,3
FREP-234611-Z,2021-05-04,2
FREP-234629-Z,2021-05-04,2
FREP-249859-Z,2021-07-20,4
FREP-234652-Z,2021-05-05,0
FREP-249486-Z,2021-07-19,2
FREP-235161-Z,2021-05-05,0
FREP-249507-G,2021-04-23,4
FREP-235214-Z,2021-05-06,4
FREP-235185-Z,2021-05-06,4
FREP-235187-Z,2021-05-06,4
FREP-235390-Z,2021-05-07,1
FREP-249557-Z,2021-07-19,2
FREP-234648-Z,2021-05-04,2
FREP-249558-G,2021-04-22,0
FREP-234816-Z,2021-05-04,2
FREP-249566-Z,2021-07-19,2
FREP-234895-Z,2021-05-04,2
FREP-235609-Z,2021-05-12,2
FREP-235192-Z,2021-05-07,1
FREP-249684-G,2021-04-26,0
FREP-235614-Z,2021-05-08,2
FREP-235632-Z,2021-05-08,2
FREP-235639-Z,2021-05-08,2
FREP-249717-G,2021-04-26,0
FREP-249720-Z,2021-07-19,2
FREP-235766-Z,2021-05-08,2
FREP-249733-Z,2021-07-19,2
FREP-235991-Z,2021-05-10,3
FREP-249759-G,2021-04-28,3
FREP-236076-Z,2021-05-11,4
FREP-249811-Z,2021-07-20,4
FREP-249821-Z,2021-07-20,4
FREP-236044-Z,2021-05-10,3
FREP-249856-Z,2021-07-20,4
FREP-235829-Z,2021-05-09,3
FREP-235740-Z,2021-05-08,2
FREP-249909-G,2021-04-29,3
FREP-235863-Z,2021-05-09,3
FREP-236175-Z,2021-05-12,2
FREP-249926-Z,2021-07-20,4
FREP-236377-Z,2021-05-12,2
FREP-249969-Z,2021-07-20,4
FREP-249978-G,2021-04-30,4
FREP-249980-Z,2021-07-20,4
FREP-236471-Z,2021-06-05,4
FREP-250001-G,2021-04-30,4
FREP-236560-Z,2021-05-13,1
FREP-250122-G,2021-05-04,2
FREP-236630-Z,2021-05-13,1
FREP-250040-Z,2021-07-20,4
FREP-237118-Z,2021-05-18,4
FREP-250041-G,2021-05-01,2
FREP-237631-Z,2021-05-18,4
FREP-250043-Z,2021-07-20,4
FREP-250049-G,2021-05-02,2
FREP-237474-Z,2021-05-18,4
FREP-250113-Z,2021-07-21,3
FREP-236916-Z,2021-05-15,1
FREP-250216-Z,2021-07-21,3
FREP-250137-G,2021-05-04,2
FREP-237424-Z,2021-05-18,4
FREP-237071-Z,2021-05-16,4
FREP-250281-G,2021-05-06,4
FREP-250204-G,2021-05-05,0
FREP-237375-Z,2021-05-17,2
FREP-250279-G,2021-12-31,1
FREP-236666-Z,2021-05-14,4
FREP-250208-G,2021-05-05,0
FREP-236797-Z,2021-05-14,4
FREP-250236-Z,2021-07-21,3
FREP-237374-Z,2021-05-18,4
FREP-237395-Z,2023-01-17,1
FREP-250277-G,2021-05-06,4
FREP-236974-Z,2021-05-16,4
FREP-250376-Z,2021-07-22,3
FREP-250379-G,2021-05-08,2
FREP-250129-G,2021-05-04,2
FREP-237408-Z,2021-05-18,4
FREP-250173-G,2021-05-04,2
FREP-237695-Z,2021-05-19,3
FREP-250015-G,2021-05-01,2
FREP-250249-G,2021-04-06,3
FREP-237847-Z,2021-05-20,1
FREP-238536-Z,2021-05-23,1
FREP-250294-G,2021-05-06,4
FREP-238398-Z,2021-05-22,4
FREP-238422-Z,2021-05-22,4
FREP-250095-G,2021-05-03,4
FREP-238523-Z,2021-05-22,4
FREP-250116-G,2021-05-03,4
FREP-250206-G,2021-05-05,0
FREP-238564-Z,2021-05-23,1
FREP-250279-Z,2021-07-21,3
FREP-237782-Z,2021-05-19,3
FREP-250803-G,2021-05-17,2
FREP-250629-G,2021-05-13,1
FREP-238117-Z,2021-05-21,4
FREP-250644-G,2021-05-13,1
FREP-238130-Z,2021-05-21,4
FREP-250754-G,2021-05-15,1
FREP-250878-Z,2021-07-23,0
FREP-250864-Z,2021-07-23,0
FREP-250898-Z,2021-07-24,4
FREP-250621-Z,2021-07-23,0
FREP-250859-G,2021-05-17,2
FREP-250646-Z,2021-07-23,0
FREP-250698-G,2021-05-14,4
FREP-250893-G,2021-05-18,4
FREP-250931-Z,2021-07-24,4
FREP-251071-G,2021-05-21,4
FREP-251077-Z,2021-07-25,0
FREP-251103-Z,2021-07-25,0
FREP-251152-Z,2021-07-25,0
FREP-250905-Z,2021-07-24,4
FREP-251000-G,2021-05-20,1
FREP-251117-Z,2021-07-25,0
FREP-251271-Z,2021-07-29,1
FREP-256917-G,2021-10-31,4
FREP-257304-G,2021-11-11,0
FREP-257003-G,2021-11-02,4
FREP-257148-G,2021-11-08,3
FREP-257287-G,2021-11-11,0
FREP-257332-G,2021-11-11,0
FREP-257349-Z,2021-08-24,3
FREP-257097-G,2021-11-06,4
FREP-257267-G,2021-11-11,0
FREP-257290-G,2021-11-11,0
FREP-257229-G,2021-11-09,4
FREP-259171-G,2021-12-01,4
FREP-259273-G,2021-12-01,4
FREP-259646-G,2021-12-06,3
FREP-259651-Z,2021-09-09,4
FREP-259149-G,2021-12-01,4
FREP-259155-Z,2021-09-05,0
FREP-259184-Z,2021-09-05,0
FREP-259291-G,2021-12-02,3
FREP-259342-Z,2021-09-06,2
FREP-259661-Z,2021-09-09,4
FREP-259467-J,2021-08-19,3
FREP-259502-Z,2021-09-08,2
FREP-259531-G,2021-12-04,3
FREP-259569-Z,2021-09-10,1
FREP-259582-G,2021-12-05,2
FREP-259587-Z,2021-09-08,2
FREP-259593-G,2021-12-06,3
FREP-259710-G,2021-12-06,3
FREP-259724-Z,2021-09-13,2
FREP-259736-G,2021-12-07,3
FREP-260087-G,2021-12-09,4
FREP-259783-G,2021-12-07,3
FREP-259798-G,2021-12-07,3
FREP-259821-G,2021-12-07,3
FREP-259822-G,2021-12-07,3
FREP-259871-G,2021-12-08,3
FREP-259884-G,2021-12-07,3
FREP-260118-Z,2021-09-13,2
FREP-260073-G,2021-12-09,4
FREP-260107-Z,2021-09-14,1
FREP-259687-G,2021-12-06,3
FREP-259687-Z,2021-09-09,4
FREP-259705-G,2021-12-06,3
FREP-259720-G,2021-12-07,3
FREP-259727-Z,2021-09-09,4
FREP-259776-Z,2021-09-10,1
FREP-259776-G,2021-12-07,3
FREP-259788-Z,2021-09-10,1
FREP-259801-G,2021-12-07,3
FREP-259903-G,2021-12-07,3
FREP-259830-G,2021-12-07,3
FREP-259830-Z,2021-09-18,4
FREP-259920-Z,2021-09-11,4
FREP-260025-G,2021-12-09,4
FREP-260042-G,2021-12-08,3
FREP-260095-G,2021-12-09,4
FREP-260116-G,2021-12-09,4
FREP-260188-G,2021-12-10,1
FREP-260196-G,2021-12-10,1
FREP-260507-G,2021-12-13,2
FREP-260517-G,2021-12-22,3
FREP-260207-G,2021-12-10,1
FREP-260222-Z,2021-09-14,1
FREP-260277-Z,2021-09-14,1
FREP-260316-G,2021-12-11,4
FREP-260359-G,2021-12-12,3
FREP-260409-Z,2021-09-16,3
FREP-260416-G,2021-12-12,3
FREP-260187-Z,2022-03-31,2
FREP-260188-Z,2021-09-14,1
FREP-260203-Z,2021-09-14,1
FREP-260321-Z,2021-09-15,4
FREP-260218-Z,2021-09-14,1
FREP-260253-G,2021-12-10,1
FREP-260292-G,2022-02-17,0
FREP-260303-G,2021-12-11,4
FREP-260344-Z,2021-09-14,1
FREP-260646-Z,2021-09-16,3
FREP-260483-Z,2021-09-16,3
FREP-260408-G,2021-12-12,3
FREP-260485-J,2021-04-07,1
FREP-260508-Z,2021-09-15,4
FREP-260590-Z,2021-09-16,3
FREP-260548-Z,2021-09-15,4
FREP-260660-Z,2021-09-16,3
FREP-260569-Z,2021-09-16,3
FREP-260728-J,2021-04-01,0
FREP-260735-G,2021-12-16,0
FREP-260842-Z,2021-09-18,4
FREP-260853-G,2021-12-17,1
FREP-260911-G,2021-12-17,1
FREP-260921-Z,2021-09-19,3
FREP-260936-J,2021-04-05,2
FREP-260974-G,2021-12-19,0
FREP-260976-G,2021-12-19,0
FREP-260735-J,2021-04-01,0
FREP-260787-J,2021-04-01,0
FREP-260795-Z,2021-09-20,1
FREP-260917-G,2021-12-17,1
FREP-260822-J,2021-04-02,0
FREP-260835-J,2021-04-02,0
FREP-261003-J,2021-04-06,3
FREP-260870-J,2021-04-02,0
FREP-260888-Z,2021-09-18,4
FREP-260936-Z,2021-09-19,3
FREP-260942-Z,2021-09-19,3
FREP-260949-Z,2021-09-19,3
FREP-260963-G,2021-12-18,4
FREP-260966-G,2021-12-18,4
FREP-260971-Z,2021-09-20,1
