Incident Reference,date,fold
FREP-260344-Z,2021-09-14,1
FREP-260508-Z,2021-09-15,3
FREP-260853-G,2021-12-17,3
FREP-260949-Z,2021-09-19,0
FREP-261413-G,2021-12-24,0
FREP-261949-G,2022-01-01,4
FREP-261854-G,2021-12-31,0
FREP-262116-Z,2021-09-27,3
FREP-262013-Z,2021-09-27,3
FREP-262063-Z,2021-09-27,3
FREP-262083-Z,2021-09-27,3
FREP-262096-Z,2021-09-27,3
FREP-253697-G,2021-07-06,2
FREP-253647-G,2021-07-05,0
FREP-253907-G,2021-07-13,0
FREP-253843-G,2021-07-11,2
FREP-253700-G,2021-07-06,2
FREP-253578-G,2021-07-04,4
FREP-253595-G,2021-07-04,4
FREP-254152-G,2021-07-20,2
FREP-254038-G,2021-07-17,1
FREP-254070-G,2021-07-18,2
FREP-254083-G,2021-07-19,4
FREP-254113-G,2021-07-19,4
FREP-254257-G,2021-07-21,4
FREP-254032-Z,2021-08-07,2
FREP-254053-G,2021-07-18,2
FREP-254056-G,2021-07-18,2
FREP-254117-Z,2021-08-07,2
FREP-254120-G,2021-07-19,4
FREP-254155-Z,2021-08-08,2
FREP-254332-G,2021-07-23,0
FREP-254405-G,2021-07-25,3
FREP-254526-G,2021-07-28,1
FREP-254547-Z,2021-08-10,2
FREP-254577-G,2021-07-29,1
FREP-254758-G,2021-08-04,1
FREP-254585-Z,2021-08-10,2
FREP-254552-G,2021-07-28,1
FREP-254416-G,2021-07-25,3
FREP-254591-G,2021-07-30,0
FREP-254616-G,2021-07-30,0
FREP-254449-G,2021-07-26,1
FREP-254470-Z,2021-08-09,3
FREP-254624-G,2021-07-30,0
FREP-254843-G,2021-08-08,2
FREP-255180-G,2021-08-22,3
FREP-252013-Z,2021-07-28,1
FREP-251887-G,2021-06-02,3
FREP-252013-G,2021-06-04,2
FREP-252106-G,2021-06-06,4
FREP-252168-G,2021-06-11,3
FREP-252554-G,2021-06-13,2
FREP-252455-Z,2021-07-30,0
FREP-252206-G,2021-06-08,4
FREP-252277-Z,2021-07-30,0
FREP-252437-Z,2021-07-30,0
FREP-252446-Z,2021-07-30,0
FREP-252565-G,2021-06-13,2
FREP-252641-G,2021-06-14,0
FREP-252895-G,2021-06-17,2
FREP-252737-Z,2021-08-01,3
FREP-252890-Z,2021-08-02,3
FREP-252782-G,2021-06-16,2
FREP-252835-G,2021-06-17,2
FREP-251311-G,2021-05-24,3
FREP-251375-G,2021-05-24,3
FREP-251470-G,2021-05-26,4
FREP-251650-Z,2021-07-27,2
FREP-256078-G,2021-10-02,3
FREP-255966-G,2021-09-27,3
FREP-255958-G,2021-09-27,3
FREP-256065-G,2021-10-02,3
FREP-255828-G,2021-09-20,4
FREP-255975-Z,2021-08-17,0
FREP-53650-C,2021-10-05,0
FREP-55077-C,2021-10-23,2
FREP-5479-I,2022-10-05,4
FREP-5497-I,2022-10-05,4
FREP-55271-C,2021-10-26,4
FREP-55593-C,2021-10-31,1
FREP-55645-C,2021-11-01,4
FREP-55553-C,2021-10-31,1
FREP-55955-C,2021-11-05,4
FREP-56587-C,2021-11-18,2
FREP-56748-V,2021-04-10,4
FREP-57213-C,2021-11-27,4
FREP-57269-C,2021-11-27,4
FREP-58117-V,2021-05-03,2
FREP-58127-V,2021-05-03,2
FREP-64472-V,2021-07-18,2
FREP-64492-V,2021-07-18,2
FREP-64717-V,2021-07-20,2
FREP-64909-V,2021-07-22,1
FREP-65757-V,2021-08-01,3
FREP-382981-Z,2023-07-03,1
FREP-383341-Z,2023-07-05,4
FREP-382975-Z,2023-07-03,1
FREP-383460-Z,2023-07-05,4
FREP-383723-Z,2023-07-04,2
FREP-384491-Z,2023-07-11,2
FREP-384500-Z,2023-07-11,2
FREP-384976-Z,2023-07-12,4
FREP-385656-Z,2023-07-15,3
FREP-385599-Z,2023-07-15,3
FREP-385645-Z,2023-07-15,3
FREP-385663-Z,2023-07-16,1
FREP-385687-Z,2023-07-15,3
FREP-385713-Z,2023-07-16,1
FREP-385617-Z,2023-07-15,3
FREP-385444-Z,2023-07-14,4
FREP-385461-Z,2023-07-15,3
FREP-385557-Z,2023-07-15,3
FREP-385728-Z,2023-07-16,1
FREP-385767-Z,2023-07-16,1
FREP-385777-Z,2023-07-16,1
FREP-385778-Z,2023-07-16,1
FREP-385813-Z,2023-07-16,1
FREP-386158-Z,2023-07-19,2
FREP-386705-Z,2023-07-23,1
FREP-385762-Z,2023-07-16,1
FREP-386709-Z,2023-07-23,1
FREP-386660-Z,2023-07-22,2
FREP-387632-Z,2023-07-27,2
FREP-388431-Z,2023-07-31,1
FREP-389825-Z,2023-08-05,2
FREP-389857-Z,2023-08-05,2
FREP-389960-Z,2023-08-06,0
FREP-390001-Z,2023-08-06,0
FREP-390183-Z,2023-08-07,3
FREP-390887-Z,2023-08-10,2
FREP-390736-Z,2023-08-09,1
FREP-391492-Z,2023-08-13,3
FREP-391523-Z,2023-08-14,1
FREP-391381-Z,2023-08-12,2
FREP-393035-Z,2023-08-22,0
FREP-393036-Z,2023-08-22,0
FREP-392656-Z,2023-08-19,1
FREP-392749-Z,2023-08-20,3
FREP-393572-Z,2023-08-24,3
FREP-394141-Z,2023-08-26,3
FREP-393835-Z,2023-08-25,0
FREP-393758-Z,2023-08-24,3
FREP-394321-Z,2023-08-28,1
FREP-394320-Z,2023-08-28,1
FREP-395567-Z,2023-09-03,1
FREP-395591-Z,2023-09-03,1
FREP-396738-Z,2023-09-09,2
FREP-398159-Z,2023-09-15,1
FREP-397294-Z,2023-09-12,2
FREP-397835-Z,2023-09-14,2
FREP-398103-Z,2023-09-15,1
FREP-397438-Z,2023-09-12,2
FREP-397931-Z,2023-09-14,2
FREP-398683-Z,2023-09-18,0
FREP-398799-Z,2023-09-20,3
FREP-398724-Z,2023-09-19,4
FREP-398883-Z,2023-09-21,0
FREP-398403-Z,2023-09-17,0
FREP-398732-Z,2023-09-19,4
FREP-398741-Z,2023-09-19,4
FREP-398755-Z,2023-09-19,4
FREP-398808-Z,2023-09-20,3
FREP-399912-Z,2023-09-29,3
FREP-399657-Z,2023-09-28,4
FREP-4537-I,2022-02-18,0
FREP-4652-I,2022-03-11,4
FREP-4687-I,2022-03-14,1
FREP-49931-C,2021-07-08,1
FREP-51497-C,2021-09-09,2
FREP-53437-C,2021-10-02,3
FREP-255212-G,2021-08-24,1
FREP-255306-G,2021-08-29,0
FREP-255469-G,2021-09-04,1
FREP-255511-G,2021-09-06,0
FREP-255553-Z,2021-08-16,4
FREP-329108-Z,2022-09-18,1
FREP-329046-G,2023-08-14,1
FREP-330244-G,2023-08-24,3
FREP-330222-Z,2022-09-24,3
FREP-331410-Z,2022-09-30,1
FREP-331528-G,2023-09-04,4
FREP-331557-Z,2022-10-01,0
FREP-331945-G,2023-09-07,1
FREP-332045-G,2023-09-08,4
FREP-332105-G,2023-09-08,4
FREP-332398-G,2023-09-11,2
FREP-332166-G,2023-09-09,2
FREP-332252-Z,2022-10-05,4
FREP-332894-Z,2022-10-09,2
FREP-333113-G,2023-09-18,0
FREP-334872-Z,2022-10-19,1
FREP-334893-Z,2022-10-20,1
FREP-335522-Z,2022-10-22,1
FREP-335692-Z,2022-10-23,2
FREP-335799-Z,2022-10-23,2
FREP-335784-Z,2022-10-24,1
FREP-335708-Z,2022-10-23,2
FREP-335752-Z,2022-10-23,2
FREP-335859-Z,2022-10-24,1
FREP-333218-G,2023-09-18,0
FREP-333234-G,2023-09-18,0
FREP-333527-Z,2022-10-12,3
FREP-333213-G,2023-09-18,0
FREP-333314-G,2023-09-19,4
FREP-333435-G,2023-09-20,3
FREP-331372-Z,2022-09-30,1
FREP-331397-Z,2022-09-30,1
FREP-330903-Z,2022-09-28,0
FREP-330345-G,2023-08-24,3
FREP-330461-Z,2022-09-26,1
FREP-330354-G,2023-08-24,3
FREP-330406-Z,2022-09-26,1
FREP-330478-G,2023-08-26,3
FREP-330542-Z,2022-09-26,1
FREP-330620-G,2023-08-28,1
FREP-330622-Z,2022-09-27,1
FREP-262670-G,2022-01-09,0
FREP-263464-Z,2021-10-05,0
FREP-263668-Z,2021-10-06,1
FREP-276916-Z,2021-12-30,3
FREP-277056-Z,2022-01-01,4
FREP-277609-G,2022-05-02,3
FREP-277537-G,2022-04-30,4
FREP-278465-G,2022-05-11,3
FREP-280378-G,2022-05-28,4
FREP-280606-Z,2022-01-22,4
FREP-280929-G,2022-06-04,3
FREP-281983-G,2022-06-16,1
FREP-281898-G,2022-06-15,0
FREP-281982-G,2022-06-16,1
FREP-281989-Z,2022-01-31,4
FREP-281991-Z,2022-01-31,4
FREP-282218-G,2022-06-18,3
FREP-282080-Z,2022-01-31,4
FREP-282186-Z,2022-02-03,0
FREP-282161-Z,2022-01-31,4
FREP-282203-G,2022-06-18,3
FREP-282219-G,2022-06-19,4
FREP-282233-G,2022-06-18,3
FREP-282248-G,2022-06-18,3
FREP-282251-G,2022-06-18,3
FREP-267179-G,2022-02-18,0
FREP-267181-G,2022-02-18,0
FREP-267193-G,2022-02-18,0
FREP-267200-G,2022-02-18,0
FREP-267201-G,2022-02-18,0
FREP-267207-G,2022-02-18,0
FREP-267220-G,2022-02-18,0
FREP-267223-G,2022-02-18,0
FREP-267224-G,2022-02-18,0
FREP-267301-G,2022-02-18,0
FREP-267232-G,2022-02-18,0
FREP-267233-G,2022-02-18,0
FREP-267252-G,2022-02-21,4
FREP-267285-G,2022-02-18,0
FREP-267303-G,2022-02-18,0
FREP-267289-G,2022-02-18,0
FREP-267320-G,2022-02-18,0
FREP-267254-G,2022-02-18,0
FREP-267189-G,2022-02-18,0
FREP-267315-G,2022-02-18,0
FREP-267277-G,2022-02-18,0
FREP-267311-G,2022-02-18,0
FREP-267351-G,2022-02-18,0
FREP-267469-G,2022-02-23,1
FREP-267488-G,2022-02-19,1
FREP-267375-G,2022-02-18,0
FREP-267380-G,2022-02-18,0
FREP-267394-G,2022-02-20,2
FREP-267416-G,2022-02-18,0
FREP-267451-G,2022-02-18,0
FREP-267452-Z,2021-10-31,1
FREP-267494-Z,2021-10-31,1
FREP-267329-G,2022-02-18,0
FREP-267365-G,2022-02-18,0
FREP-267406-G,2022-02-18,0
FREP-267397-G,2022-02-18,0
FREP-267499-G,2022-02-18,0
FREP-267522-G,2022-02-19,1
FREP-267410-Z,2021-10-31,1
FREP-267415-Z,2021-10-31,1
FREP-267506-Z,2021-10-31,1
FREP-267461-Z,2021-10-31,1
FREP-267484-Z,2021-10-31,1
FREP-267509-Z,2021-10-31,1
FREP-267773-G,2022-02-18,0
FREP-267616-G,2022-02-18,0
FREP-267888-G,2022-02-18,0
FREP-267839-G,2022-02-18,0
FREP-267662-G,2022-02-18,0
FREP-267668-G,2022-02-18,0
FREP-267718-G,2022-02-18,0
FREP-267709-G,2022-02-18,0
FREP-267872-G,2022-02-23,1
FREP-267561-G,2022-02-18,0
FREP-267577-Z,2021-10-31,1
FREP-267879-G,2022-02-18,0
FREP-268195-G,2022-02-18,0
FREP-267919-G,2022-02-18,0
FREP-268182-G,2022-02-18,0
FREP-267953-G,2022-03-04,0
FREP-268015-G,2022-02-22,1
FREP-268014-G,2022-03-09,0
FREP-268115-J,2021-07-12,0
FREP-268067-G,2022-02-20,2
FREP-268173-G,2022-02-19,1
FREP-267923-G,2022-02-20,2
FREP-267962-G,2022-02-19,1
FREP-267977-G,2022-02-19,1
FREP-268034-G,2022-02-20,2
FREP-268063-G,2022-02-18,0
FREP-268299-G,2022-02-18,0
FREP-268345-G,2022-02-19,1
FREP-268351-G,2022-02-19,1
FREP-268453-G,2022-02-19,1
FREP-268545-G,2022-02-19,1
FREP-266616-G,2022-02-16,2
FREP-266624-G,2022-02-16,2
FREP-266643-G,2022-02-16,2
FREP-267094-G,2022-02-18,0
FREP-267007-G,2022-02-18,0
FREP-267051-G,2022-02-18,0
FREP-267031-G,2022-02-18,0
FREP-267037-G,2022-02-18,0
FREP-267072-G,2022-02-18,0
FREP-267080-G,2022-02-18,0
FREP-267109-G,2022-02-18,0
FREP-267147-G,2022-02-18,0
FREP-267171-G,2022-02-18,0
FREP-256084-G,2021-10-04,2
FREP-256114-G,2021-10-03,3
FREP-256254-G,2021-10-05,0
FREP-256138-G,2021-10-02,3
FREP-85953-V,2023-06-20,3
FREP-85993-V,2023-06-20,3
FREP-85968-V,2023-06-20,3
FREP-85991-V,2023-06-21,0
FREP-9418-O,2022-02-18,0
FREP-9415-O,2022-02-18,0
FREP-9535-O,2022-02-19,1
FREP-9459-O,2022-02-18,0
FREP-9458-O,2022-02-21,4
FREP-9478-O,2022-02-18,0
FREP-76890-V,2022-02-18,0
FREP-76762-V,2022-02-18,0
FREP-76794-V,2022-02-20,2
FREP-76792-V,2022-02-18,0
FREP-76823-V,2022-02-18,0
FREP-76746-V,2022-02-20,2
FREP-76939-V,2022-02-18,0
FREP-76797-V,2022-02-18,0
FREP-76940-V,2022-02-23,1
FREP-76941-V,2022-02-20,2
FREP-76828-V,2022-02-20,2
FREP-76888-V,2022-02-18,0
FREP-76898-V,2022-02-18,0
FREP-77086-V,2022-02-19,1
FREP-77089-V,2022-02-19,1
FREP-77158-V,2022-02-21,4
FREP-77178-C,2023-07-15,3
FREP-77238-C,2023-07-15,3
FREP-77327-V,2022-02-22,1
FREP-77314-V,2022-02-22,1
FREP-77036-C,2023-07-12,4
FREP-77064-C,2023-07-13,1
FREP-77067-V,2022-02-19,1
FREP-77097-V,2022-02-19,1
FREP-77103-C,2023-07-14,4
FREP-77137-V,2022-02-20,2
FREP-77148-C,2023-07-15,3
FREP-77162-V,2022-02-20,2
FREP-77210-V,2022-02-19,1
FREP-77212-C,2023-07-15,3
FREP-77217-C,2023-07-15,3
FREP-77229-C,2023-07-15,3
FREP-77285-V,2022-02-21,4
FREP-77289-C,2023-07-16,1
FREP-77505-C,2023-07-17,4
FREP-77457-C,2023-07-17,4
FREP-77521-C,2023-07-17,4
FREP-77814-V,2022-02-19,1
FREP-77933-C,2023-07-24,1
FREP-78148-V,2022-03-31,1
FREP-78164-V,2022-02-18,0
FREP-78167-V,2022-02-18,0
FREP-78451-V,2022-02-21,4
FREP-78432-V,2022-02-20,2
FREP-78845-C,2023-09-05,1
FREP-79208-V,2022-06-05,1
FREP-79430-C,2023-09-19,4
FREP-79451-C,2023-09-19,4
FREP-79460-C,2023-09-19,4
FREP-84061-V,2023-03-13,2
FREP-84043-V,2023-03-13,2
FREP-84593-V,2023-03-31,1
FREP-82844-V,2022-12-30,4
FREP-82558-V,2022-12-12,3
FREP-256748-G,2021-10-21,2
FREP-256752-G,2021-10-21,2
FREP-256813-Z,2021-08-22,3
FREP-256703-G,2021-10-20,3
FREP-256708-G,2021-10-21,2
FREP-256725-G,2021-10-21,2
FREP-256768-Z,2021-08-22,3
FREP-256806-Z,2021-08-22,3
FREP-256888-Z,2021-08-22,3
FREP-257659-G,2021-11-16,0
FREP-257601-Z,2021-08-25,3
FREP-257665-Z,2021-08-26,0
FREP-258768-G,2021-11-27,4
FREP-259139-G,2021-11-30,2
FREP-258691-G,2021-11-28,4
FREP-258703-G,2021-11-27,4
FREP-258782-G,2021-11-28,4
FREP-258793-G,2021-11-28,4
FREP-338069-Z,2022-11-03,2
FREP-340875-Z,2022-11-16,2
FREP-340895-Z,2022-11-16,2
FREP-340969-Z,2022-11-17,0
FREP-341651-Z,2022-11-20,4
FREP-341846-Z,2022-11-21,0
FREP-368184-Z,2023-04-10,1
FREP-368797-Z,2023-04-13,0
FREP-369660-Z,2023-04-18,4
FREP-376844-Z,2023-06-05,3
FREP-377083-Z,2023-06-05,3
FREP-377017-Z,2023-06-05,3
FREP-377973-Z,2023-06-09,3
FREP-377766-Z,2023-06-09,3
FREP-378157-Z,2023-06-11,4
FREP-378225-Z,2023-06-11,4
FREP-382069-Z,2023-06-29,2
FREP-382091-Z,2023-06-29,2
FREP-382100-Z,2023-06-29,2
FREP-382846-Z,2023-07-03,1
FREP-382046-Z,2023-06-29,2
FREP-382064-Z,2023-06-29,2
FREP-382066-Z,2023-06-29,2
FREP-382332-Z,2023-06-30,1
FREP-382773-Z,2023-07-03,1
FREP-353473-Z,2023-01-17,0
FREP-353816-Z,2023-01-19,4
FREP-351739-Z,2023-01-10,1
FREP-352172-Z,2023-01-12,0
FREP-350309-Z,2023-01-03,1
FREP-350261-Z,2023-01-02,0
FREP-268574-G,2022-02-19,1
FREP-268778-G,2022-02-21,4
FREP-268744-G,2022-02-19,1
FREP-268772-G,2022-02-19,1
FREP-268774-G,2022-02-19,1
FREP-268776-G,2022-02-19,1
FREP-268833-G,2022-02-19,1
FREP-268553-G,2022-02-19,1
FREP-268594-G,2022-02-19,1
FREP-268612-G,2022-02-20,2
FREP-268693-G,2022-02-21,4
FREP-268852-G,2022-02-19,1
FREP-268728-Z,2021-11-08,2
FREP-269035-G,2022-02-18,0
FREP-268894-G,2022-02-20,2
FREP-269116-G,2022-02-19,1
FREP-268931-G,2022-02-20,2
FREP-269014-G,2022-02-20,2
FREP-268947-G,2022-02-20,2
FREP-268978-G,2022-02-18,0
FREP-269018-G,2022-02-20,2
FREP-269083-J,2021-07-25,3
FREP-269125-G,2022-02-24,3
FREP-269167-G,2022-02-20,2
FREP-269164-J,2021-07-25,3
FREP-269117-G,2022-02-19,1
FREP-269585-Z,2021-11-13,0
FREP-269240-G,2022-02-20,2
FREP-269244-G,2022-02-20,2
FREP-269258-G,2022-02-26,0
FREP-269467-G,2022-02-22,1
FREP-269298-G,2022-02-20,2
FREP-269386-G,2022-03-08,3
FREP-269412-G,2022-02-22,1
FREP-269545-G,2022-02-21,4
FREP-269364-Z,2021-11-12,3
FREP-269263-Z,2021-11-11,0
FREP-269293-G,2022-02-20,2
FREP-269462-G,2022-02-21,4
FREP-269320-G,2022-02-20,2
FREP-269366-G,2022-02-21,4
FREP-269678-G,2022-02-21,4
FREP-269659-G,2022-02-21,4
FREP-269697-G,2022-02-25,3
FREP-269862-G,2022-02-21,4
FREP-269720-G,2022-02-21,4
FREP-269751-G,2022-02-21,4
FREP-269631-G,2022-02-18,0
FREP-269632-G,2022-02-21,4
FREP-269681-G,2022-02-21,4
FREP-269686-G,2022-02-21,4
FREP-269769-G,2022-02-21,4
FREP-269884-G,2022-02-20,2
FREP-269911-G,2022-02-22,1
FREP-269980-G,2022-02-22,1
FREP-269964-G,2022-02-22,1
FREP-270154-G,2022-02-27,4
FREP-270071-G,2022-02-22,1
FREP-270276-G,2022-02-23,1
FREP-269918-G,2022-02-20,2
FREP-269967-G,2022-02-22,1
FREP-270009-G,2022-02-22,1
FREP-270270-G,2022-02-22,1
FREP-270129-G,2022-02-22,1
FREP-270223-G,2022-02-21,4
FREP-270224-G,2022-02-22,1
FREP-270497-G,2022-02-23,1
FREP-270469-G,2022-02-18,0
FREP-270654-G,2022-02-24,3
FREP-270859-G,2022-02-24,3
FREP-270705-G,2022-02-24,3
FREP-270912-G,2022-02-24,3
FREP-270842-G,2022-02-24,3
FREP-271027-G,2022-02-25,3
FREP-271107-G,2022-02-25,3
FREP-271049-G,2022-02-27,4
FREP-271216-Z,2021-11-25,1
FREP-271548-G,2022-02-28,4
FREP-271557-Z,2021-11-27,4
FREP-271611-Z,2021-11-27,4
FREP-271542-Z,2021-11-27,4
FREP-271589-Z,2021-11-27,4
FREP-271713-Z,2021-11-27,4
FREP-271745-Z,2021-11-27,4
FREP-308345-G,2023-01-31,2
FREP-309228-Z,2022-06-11,3
FREP-310031-Z,2022-06-15,0
FREP-310511-Z,2022-06-17,3
FREP-310540-Z,2022-06-18,3
FREP-310386-Z,2022-06-17,3
FREP-310435-Z,2022-06-17,3
FREP-310558-Z,2022-06-18,3
FREP-310600-Z,2022-06-18,3
FREP-310713-Z,2022-06-19,4
FREP-310783-Z,2022-06-19,4
FREP-310705-Z,2022-06-18,3
FREP-310717-Z,2022-06-19,4
FREP-311230-Z,2022-06-21,0
FREP-311234-Z,2022-06-21,0
FREP-311443-Z,2022-06-22,0
FREP-311422-Z,2022-06-22,0
FREP-311590-G,2023-03-05,4
FREP-311656-Z,2022-06-23,0
FREP-312067-Z,2022-06-25,3
FREP-312119-G,2023-03-10,2
FREP-312164-G,2023-03-10,2
FREP-312138-G,2023-03-10,2
FREP-314198-Z,2022-07-07,1
FREP-314471-G,2023-04-01,0
FREP-314590-Z,2022-07-09,2
FREP-314728-G,2022-12-31,1
FREP-314782-Z,2022-07-10,1
FREP-315120-G,2023-04-09,1
FREP-315168-G,2023-04-10,1
FREP-315447-G,2023-04-12,4
FREP-315416-G,2023-04-12,4
FREP-315418-G,2023-04-12,4
FREP-315583-G,2023-04-13,0
FREP-315591-Z,2022-07-14,3
FREP-316416-Z,2022-07-18,2
FREP-316360-Z,2022-07-18,2
FREP-316398-G,2023-04-21,2
FREP-316418-Z,2022-07-18,2
FREP-316457-Z,2022-07-18,2
FREP-316535-G,2023-04-23,1
FREP-316762-Z,2022-07-19,4
FREP-316763-Z,2022-07-19,4
FREP-316647-Z,2022-07-19,4
FREP-316695-Z,2022-07-19,4
FREP-316701-Z,2022-07-19,4
FREP-316703-Z,2022-07-19,4
FREP-316749-G,2023-04-26,3
FREP-316844-Z,2022-07-19,4
FREP-316818-Z,2022-07-19,4
FREP-316837-Z,2022-07-19,4
FREP-316855-Z,2022-07-19,4
FREP-316858-Z,2022-07-19,4
FREP-316975-Z,2022-07-20,3
FREP-316907-Z,2022-07-19,4
FREP-317603-G,2023-05-05,2
FREP-318033-Z,2022-07-25,2
FREP-318169-Z,2022-07-26,3
FREP-318325-G,2023-05-12,4
FREP-318447-G,2023-05-14,2
FREP-322890-G,2023-06-25,2
FREP-323321-G,2023-06-29,2
FREP-323425-G,2023-06-29,2
FREP-323429-G,2023-06-29,2
FREP-324027-G,2023-07-04,2
FREP-324107-Z,2022-08-25,1
FREP-324534-G,2023-07-09,3
FREP-324511-G,2023-07-08,3
FREP-326845-Z,2022-09-06,3
FREP-326862-G,2023-07-27,2
FREP-326907-G,2023-07-27,2
FREP-327157-Z,2022-09-08,2
FREP-327160-G,2023-07-29,1
FREP-327190-Z,2022-09-08,2
FREP-327198-Z,2022-09-08,2
FREP-327246-G,2023-07-30,0
FREP-327398-G,2023-07-31,1
FREP-327579-Z,2022-09-10,4
FREP-327615-Z,2022-09-10,4
FREP-327698-G,2023-08-02,0
FREP-327970-G,2023-08-05,2
FREP-327994-G,2023-08-05,2
FREP-328003-G,2023-08-05,2
FREP-327961-G,2023-08-05,2
FREP-327992-G,2023-08-05,2
FREP-327980-G,2023-08-05,2
FREP-328017-G,2023-08-05,2
FREP-328022-G,2023-08-05,2
FREP-328042-G,2023-08-05,2
FREP-328030-G,2023-08-05,2
FREP-328043-G,2023-08-05,2
FREP-320730-G,2023-06-06,1
FREP-320991-G,2023-06-09,3
FREP-321179-G,2023-06-10,4
FREP-321205-G,2023-06-10,4
FREP-321276-Z,2022-08-11,2
FREP-321143-G,2023-06-10,4
FREP-321221-G,2023-06-10,4
FREP-321165-G,2023-06-10,4
FREP-321191-G,2023-06-10,4
FREP-321229-G,2023-06-10,4
FREP-321301-G,2023-06-11,4
FREP-321303-Z,2022-08-11,2
FREP-322427-Z,2022-08-17,4
FREP-321689-Z,2022-08-13,0
FREP-296446-G,2022-11-01,1
FREP-296538-G,2022-11-01,1
FREP-296758-G,2022-11-02,1
FREP-296852-G,2022-11-03,2
FREP-296688-Z,2022-03-28,0
FREP-296989-Z,2022-03-30,0
FREP-297178-Z,2022-03-31,1
FREP-297503-Z,2022-04-01,0
FREP-297585-G,2022-11-08,0
FREP-297676-G,2022-11-09,4
FREP-297947-G,2022-11-12,2
