LAD21CD,status,mean_eta,exp_mean_eta,mean_exp_eta,interpretation,regional_proxy_flag
E06000031,descriptive_common_calendar,1.6952567514912658,5.448044579227196,5.870532151718179,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000070,descriptive_common_calendar,1.9021613994081323,6.700360958898004,7.2200670724025295,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000071,descriptive_common_calendar,1.8558070612260664,6.39685882461717,6.893318561524659,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000072,descriptive_common_calendar,1.9246628264980288,6.8528376810402865,7.383706847584219,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000073,descriptive_common_calendar,1.9005356252744185,6.6894765355688595,7.209111386224857,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000074,descriptive_common_calendar,2.105274633982354,8.209357268512806,8.845629318846964,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000075,descriptive_common_calendar,2.071151665180974,7.933955118193767,8.54939138291715,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000076,descriptive_common_calendar,1.806658282903624,6.09006212551415,6.562833179199185,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000077,descriptive_common_calendar,2.112957846051206,8.272674429466784,8.914169920910968,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000095,descriptive_common_calendar,1.9525751793321748,7.04681103713896,7.593581869807924,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000096,descriptive_common_calendar,1.9334613919677768,6.913398857073057,7.449858736726772,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000098,descriptive_common_calendar,1.986538088653846,7.290251820145846,7.8550039671884315,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000099,descriptive_common_calendar,1.9572899724063861,7.080113738994954,7.628807657729919,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000102,descriptive_common_calendar,2.0735613804449073,7.95309674461761,8.569071301429142,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000103,descriptive_common_calendar,1.9746406306318722,7.204030280767683,7.763647882905379,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000105,descriptive_common_calendar,1.9010282583219222,6.692772804639656,7.212695652526776,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000106,descriptive_common_calendar,1.8756312535648878,6.524936710130698,7.03068524696749,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000107,descriptive_common_calendar,1.9632197256202744,7.1222217879794165,7.676114019138433,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000108,descriptive_common_calendar,1.8783822309147584,6.542911375842894,7.049897587674219,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000109,descriptive_common_calendar,1.9208619340011939,6.82684021979239,7.356796351846074,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000110,descriptive_common_calendar,1.880843988813297,6.559038281726357,7.068741337298376,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000111,descriptive_common_calendar,2.04736994306441,7.747497926650304,8.347135256274687,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000112,descriptive_common_calendar,1.86883939407744,6.480770412255731,6.982824141503231,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000113,descriptive_common_calendar,1.8429827342996399,6.315347198753871,6.8049072560014014,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000114,descriptive_common_calendar,1.7278118922813799,5.628325043434579,6.0639045253775645,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000115,descriptive_common_calendar,1.9574711427447438,7.08139656179787,7.630389410144857,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000116,descriptive_common_calendar,2.0019323731304985,7.403348316897618,7.977525571158914,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000143,descriptive_common_calendar,1.9332358253774309,6.911839601129801,7.44748952846488,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000144,descriptive_common_calendar,1.9505154322574714,7.0323113267136135,7.578008079673192,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000145,descriptive_common_calendar,1.8169449495938266,6.153031883916276,6.629006763526336,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000146,descriptive_common_calendar,1.8887980759125509,6.611417481707834,7.122671211005313,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000147,descriptive_common_calendar,1.971096584700722,7.1785440554160065,7.733385470019003,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000148,descriptive_common_calendar,1.755065232841537,5.7838250249923515,6.231784719770695,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000149,descriptive_common_calendar,1.9681850117040005,7.157673598062196,7.712729268812462,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000179,descriptive_common_calendar,2.0260609697415104,7.584153234666213,8.172446397935738,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000200,descriptive_common_calendar,2.061289472584302,7.856093498992858,8.465572816827999,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000202,descriptive_common_calendar,1.8127356675141268,6.12718647055001,6.6010264224069,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000203,descriptive_common_calendar,2.0564673092156656,7.818301325950239,8.426137334289903,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000207,descriptive_common_calendar,2.002041554885857,7.404156671590376,7.977153189358605,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000208,descriptive_common_calendar,2.1117954831085495,8.263064165662591,8.903719957758815,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000209,descriptive_common_calendar,1.9943650419624257,7.34753616927085,7.917999459046837,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000210,descriptive_common_calendar,2.099403537450741,8.161300550384372,8.792863996433333,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000211,descriptive_common_calendar,1.963848197134371,7.126699308339864,7.679936098612235,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000212,descriptive_common_calendar,2.0649373463599283,7.884803870515024,8.497051959598684,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000213,descriptive_common_calendar,2.0117217613512848,7.476178467392728,8.05602853128103,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000215,descriptive_common_calendar,2.0621302378500515,7.862701406991802,8.471879047640835,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000216,descriptive_common_calendar,2.049001204186555,7.760146432515063,8.362350052100412,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000217,descriptive_common_calendar,2.0332926277850065,7.639198030088541,8.230471498951506,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000223,descriptive_common_calendar,2.032060985556957,7.629795062940602,8.219495304140404,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000224,descriptive_common_calendar,1.8728228516437024,6.506637772750961,7.010913050096865,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000226,descriptive_common_calendar,1.9170431662742322,6.8008198172419325,7.3288973047903605,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000227,descriptive_common_calendar,2.012623571717405,7.482923603593331,8.062443807941339,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000228,descriptive_common_calendar,1.9720031928403825,7.185055132939524,7.743304839826166,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000229,descriptive_common_calendar,1.9447503714921064,6.991886263032067,7.533303024559167,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000240,descriptive_common_calendar,1.976456471493394,7.2171235373566285,7.775933832871134,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000241,descriptive_common_calendar,1.9743249628149317,7.201756559145031,7.759834541795381,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000242,descriptive_common_calendar,1.9624141123379353,7.116486342093147,7.66863246360078,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E07000243,descriptive_common_calendar,1.9231136134896472,6.842229395129467,7.372530565107589,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000001,descriptive_common_calendar,2.4543663634950503,11.639056280930395,12.579316316562933,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000002,descriptive_common_calendar,1.5832458760229768,4.870739998797578,5.24976370468868,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000003,descriptive_common_calendar,1.6917170540583035,5.428794240103121,5.850366007850877,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000004,descriptive_common_calendar,1.8051325959138047,6.080777681340869,6.552749297524639,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000005,descriptive_common_calendar,1.6256382793123334,5.081661521686181,5.4761919396414385,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000006,descriptive_common_calendar,1.7843375084885948,5.955633083981945,6.416827986711495,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000007,descriptive_common_calendar,1.7322300672740267,5.653246982595919,6.0901142037225755,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000008,descriptive_common_calendar,1.6491948736789752,5.2027892378711895,5.606968248457551,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000010,descriptive_common_calendar,1.6043032411601097,4.9743924430850806,5.3589880335686955,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000011,descriptive_common_calendar,1.6284779774123879,5.096112414630191,5.491228129941702,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000012,descriptive_common_calendar,1.5531636521285088,4.7263992379795345,5.092674424830117,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000013,descriptive_common_calendar,1.761782217105375,5.8228056562532355,6.273749326836883,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000014,descriptive_common_calendar,1.661540118656076,5.2674170478517786,5.674886888957573,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000015,descriptive_common_calendar,1.7580749816218189,5.801259108251418,6.251601553799025,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000016,descriptive_common_calendar,1.7902001284083227,5.990651245922854,6.456118856358565,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000017,descriptive_common_calendar,1.7324027708681036,5.654223402981245,6.094372419716821,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000019,descriptive_common_calendar,1.620987951733943,5.058084992747131,5.449874017241233,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000020,descriptive_common_calendar,1.9148587444007181,6.78598017159945,7.30994562747209,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000021,descriptive_common_calendar,1.9209806673735872,6.8276508416774595,7.356710611756206,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000022,descriptive_common_calendar,1.6073888520907496,4.98976518773824,5.3754231344240795,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000023,descriptive_common_calendar,1.6069649508640196,4.987650468401791,5.373447734134786,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000024,descriptive_common_calendar,1.853368150989606,6.3812764698549085,6.87548507796172,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000025,descriptive_common_calendar,1.548175938371129,4.702884003855354,5.068741964090292,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000026,descriptive_common_calendar,1.710846838454692,5.533645597884419,5.962971624412872,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000027,descriptive_common_calendar,1.9158223447523837,6.792522295969659,7.31795192878553,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000028,descriptive_common_calendar,1.6252202801191524,5.079537835150648,5.473132500506382,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000029,descriptive_common_calendar,1.8525710025809652,6.376191672410221,6.87016664409854,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000030,descriptive_common_calendar,1.5192736288571342,4.568905268597113,4.923100886980857,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000031,descriptive_common_calendar,1.6421861620017544,5.166451875978898,5.566513641262613,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000032,descriptive_common_calendar,1.7284884311244972,5.632134112294386,6.068579751201165,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
E09000033,descriptive_common_calendar,1.778171214185989,5.919021891328218,6.376857805579575,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim,False
