raw_driver,value,n_reference,mean_eta,exp_mean_eta,mean_exp_eta,interpretation
gust_0h,2.200000047683716,60436,2.28809996568143,9.85619277430768,10.08217228705121,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,8.912244932992117,60436,2.0199996066086343,7.538321968150565,7.7111581092726285,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,9.428571462631226,60436,2.0135703295033855,7.490011474495978,7.661739968672976,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,9.944897992270334,60436,2.0091687420322533,7.457115983132199,7.628090260414287,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,10.461224521909442,60436,2.0067948441952366,7.439434546894561,7.61000343008209,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,10.977551051548549,60436,2.006448635992336,7.436859399423795,7.607369240485827,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,11.493877581187657,60436,2.008130117423552,7.449374859718707,7.620171651095525,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,12.010204110826765,60436,2.011839288488884,7.4770571728830415,7.648488655137335,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,12.526530640465873,60436,2.0175761491883315,7.52007528480075,7.692493072030296,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,13.04285717010498,60436,2.025340699521896,7.5786925617664025,7.7524543064438545,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,13.55918369974409,60436,2.035132939489576,7.653269479592077,7.82874109905973,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,14.075510229383196,60436,2.046952869091372,7.7442673206566015,7.921825308385849,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,14.591836759022303,60436,2.060800488327284,7.85225293201511,8.032286777958264,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,15.108163288661412,60436,2.0766757971973124,7.977904613321306,8.160819359259738,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,15.62448981830052,60436,2.094578795701456,8.1220192202269,8.30823817798358,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,16.140816347939626,60436,2.114509483839717,8.28552058743832,8.475488250211365,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,16.657142877578735,60436,2.136467861612094,8.469469396091226,8.663654576023381,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,17.173469407217844,60436,2.160453929018586,8.675074632956667,8.873973861437623,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,17.689795936856953,60436,2.1864676860591956,8.903706814680334,9.107848045849993,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,18.20612246649606,60436,2.21450913273392,9.156913179308022,9.36685984186609,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,18.722448996135167,60436,2.2445782690427607,9.436435080374983,9.652790528196354,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,19.238775525774276,60436,2.2766750949857175,9.7442278565372,9.967640274851725,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,19.75510205541338,60436,2.3107996105627904,10.08248349291834,10.313651324062393,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,20.27142858505249,60436,2.3469518157739797,10.45365643998739,10.693334401122089,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,20.7877551146916,60436,2.3851317106192846,10.86049301298291,11.109498787872582,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,21.304081644330708,60436,2.4253392950987056,11.306064860962476,11.565286559120322,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,21.820408173969813,60436,2.467574569212243,11.793807071008583,12.06421156048297,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,22.336734703608922,60436,2.5118375329598974,12.327561561762584,12.610203796835814,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,22.85306123324803,60436,2.5581281863416665,12.911626523400784,13.207660005831277,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,23.369387762887136,60436,2.6064465293575516,13.550812780907336,13.861501313450107,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,23.885714292526245,60436,2.656792562007554,14.250508096981868,14.577239011224759,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,24.402040822165354,60436,2.7091662842916717,15.016750593631137,15.361049661216928,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,24.918367351804463,60436,2.7635676962099054,15.856312661557382,16.219860929252413,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,25.434693881443568,60436,2.819996797762255,16.77679694876143,17.161449774319074,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,25.951020411082677,60436,2.878453588948721,17.786746280133144,18.19455488835709,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,26.467346940721786,60436,2.9389380697693035,18.895769665102815,19.32900559297192,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,26.98367347036089,60436,3.0014502402240018,20.114686908886227,20.575869766277943,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
gust_0h,27.5,60436,3.065990100312816,21.455694764255256,21.947623804141646,exponentiated fitted log response; no conditional arithmetic-mean/smearing claim
